Unit of observation,N,Mean,SD,Min,P10,P25,Median,P75,P90,Max
Letter-event level ($M),120,8938.3,17841.8,2.2,76.3,362.6,1528.5,9768.2,21502.6,108513.5
"Firm level, at first letter ($M)",81,6648.9,13140.6,2.2,69.0,350.5,1328.8,4933.1,19712.9,78499.0
