cik,company,sic,accession,document,file_date,period_ending,items,discovery_phrase,url,lead_source,doc_chars,has_fda_context,flag_warning_letter,body_mentions_warning_letter,flag_adverse_event,body_mentions_adverse_event,flag_recall,body_mentions_recall,flag_untitled_letter,body_mentions_untitled_letter,n_flags,n_flags_incl_untitled,domain_device_hits,domain_device_lead_hits,domain_drug_hits,domain_drug_lead_hits,domain_biologic_hits,domain_biologic_lead_hits,product_domain,is_device_domain,sic_bucket,device_evidence
1180145,Cardiovascular Systems Inc  (CIK 0001180145),3841.0,0001180145-21-000054,csii-20211124.htm,2021-11-24,2021-11-24,8.01; 9.01,"""voluntary recall""",https://www.sec.gov/Archives/edgar/data/1180145/000118014521000054/csii-20211124.htm,item_anchored,4967,True,False,False,False,False,True,True,False,False,1,1,0,0,0,0,0,0,unspecified,False,device,sic_fallback
1180145,Cardiovascular Systems Inc  (CIK 0001180145),3841.0,0001180145-21-000054,exhibit991-112421.htm,2021-11-24,2021-11-24,8.01; 9.01,"""voluntary recall""",https://www.sec.gov/Archives/edgar/data/1180145/000118014521000054/exhibit991-112421.htm,exhibit_top,2459,True,False,False,False,True,True,True,False,False,1,1,2,0,0,0,0,0,device,True,device,text
886046,ARROW INTERNATIONAL INC  (CIK 0000886046),3841.0,0001188112-04-001944,tex99_1-4219.txt,2004-12-08,2004-12-03,8.01; 9.01,"""voluntary recall""",https://www.sec.gov/Archives/edgar/data/886046/000118811204001944/tex99_1-4219.txt,exhibit_top,2168,True,False,False,False,False,True,True,False,False,1,1,2,2,0,0,0,0,device,True,device,text
876188,CARDIAC SCIENCE INC  (CIK 0000876188),3845.0,0001193125-04-097038,d8k.htm,2004-06-01,2004-05-04,5,"""voluntary recall""; ""warning letter""",https://www.sec.gov/Archives/edgar/data/876188/000119312504097038/d8k.htm,exhibit_top,3881,True,False,True,False,False,True,True,False,False,1,1,0,0,0,0,0,0,unspecified,False,device,sic_fallback
749647,CELSION CORP  (IMNN)  (CIK 0000749647),3845.0,0001193125-05-114738,dex992.htm,2005-05-25,2005-05-19,8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/749647/000119312505114738/dex992.htm,exhibit_top,15659,True,True,True,False,False,False,False,False,False,1,1,3,0,1,0,4,0,mixed,False,device,sic_fallback
1127393,HEMOSENSE INC  (CIK 0001127393),3841.0,0001193125-05-200443,d8k.htm,2005-10-13,2005-10-05,8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/1127393/000119312505200443/d8k.htm,item_anchored,3875,True,True,True,False,True,False,False,False,False,1,1,1,0,0,0,0,0,device,True,device,text
1100441,REGENERATION TECHNOLOGIES INC  (CIK 0001100441),3842.0,0001193125-05-201644,dex991.htm,2005-10-14,2005-10-14,8.01; 9.01,"""recall of certain""; ""voluntary recall""",https://www.sec.gov/Archives/edgar/data/1100441/000119312505201644/dex991.htm,exhibit_top,3585,True,False,False,False,False,True,True,False,False,1,1,4,2,0,0,0,0,device,True,device,text
9892,BARD C R INC /NJ/  (CIK 0000009892),3841.0,0001193125-06-011772,dex991.htm,2006-01-25,2006-01-25,2.02; 9.01,"""product recall""",https://www.sec.gov/Archives/edgar/data/9892/000119312506011772/dex991.htm,exhibit_top,13215,True,False,False,False,False,True,True,False,False,1,1,5,0,0,0,0,0,device,True,device,text
811240,BIOLASE TECHNOLOGY INC  (BIOL)  (CIK 0000811240),3843.0,0001193125-06-188670,d8k.htm,2006-09-11,2006-09-11,8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/811240/000119312506188670/d8k.htm,item_anchored,2178,True,True,True,False,False,False,False,False,False,1,1,0,0,0,0,0,0,unspecified,False,device,sic_fallback
811240,BIOLASE TECHNOLOGY INC  (BIOL)  (CIK 0000811240),3843.0,0001193125-06-188670,dex991.htm,2006-09-11,2006-09-11,8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/811240/000119312506188670/dex991.htm,exhibit_top,4660,True,True,True,False,False,False,False,False,False,1,1,1,0,0,0,0,0,device,True,device,text
