normalized_name,firm_name_fda,gvkey,company_name_compustat,match_source,review_suggested,valid_from_year,valid_to_year,crosswalk_origin,source,n_records,match_status,n_gvkey_candidates,sic,costat,cik,cross_entity_family
NOVO NORDISK,Novo Nordisk Inc.,8020.0,NOVO NORDISK A/S,ct_override,False,1900,2099,letter_crosswalk,,,,,,,,
MERCK AND,Merck & Co. Inc,7257.0,MERCK & CO INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
MENTOR WORLDWIDE,Mentor Worldwide LLC,7250.0,MENTOR CORP,ct_dropped_device,False,1900,2099,letter_crosswalk,,,,,,,,
LCA VISION LASIK PLUS VISION CENTER,LCA Vision Inc/Lasik Plus Vision Center,61900.0,LCA VISION INC,parent_prefix,True,1900,2099,letter_crosswalk,,,,,,,,
LIFEVANTAGE,Lifevantage Corp,25027.0,LIFEVANTAGE CORP,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
LIFECELL,LifeCell Corporation,24982.0,LIFECELL CORP,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
LEMAITRE VASCULAR,"LeMaitre Vascular, Inc.",174390.0,LEMAITRE VASCULAR INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
LATIN FOODS MARKET,Latin Foods Market,21775.0,LATIN FOODS INTL INC,parent_prefix,True,1900,2099,letter_crosswalk,,,,,,,,
LANNETT,"Lannett Company, Inc.",22632.0,LANNETT CO INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
LCC,LCC Ltd.,63635.0,LCC INTERNATIONAL INC  -CL A,exact_normalized,True,1900,2099,letter_crosswalk,,,,,,,,
LCA VISION,"LCA Vision, Inc",61900.0,LCA VISION INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
MEDTRONIC,"Medtronic, Inc.",7228.0,MEDTRONIC PLC,exact_normalized,True,1900,2099,letter_crosswalk,,,,,,,,
KIMBERLY CLARK,Kimberly-Clark Corporation,6435.0,KIMBERLY-CLARK CORP,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
KERRY,Kerry Inc.,100801.0,KERRY GROUP PLC,exact_normalized,True,1900,2099,letter_crosswalk,,,,,,,,
KERR,Kerr Corporation,6402.0,KERR GROUP INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
KENVUE BRANDS,Kenvue Brands LLC,41897.0,KENVUE INC,ct_dropped_device,False,1900,2099,letter_crosswalk,,,,,,,,
KALEIDO BIOSCIENCES,"Kaleido Biosciences, Inc.",34640.0,KALEIDO BIOSCIENCES INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
JOHNSON AND JOHNSON PS,Johnson & Johnson Ps,6266.0,JOHNSON & JOHNSON,parent_prefix,True,1900,2099,letter_crosswalk,,,,,,,,
LIFEWAY FOODS,"Lifeway Foods, Inc.",15087.0,LIFEWAY FOODS INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
LINCARE,Lincare Inc,25062.0,LINCARE HOLDINGS INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
