recalling_firm,n_recalls,n_fei,first_action,last_action,normalized_name
American Contract Systems Inc,82,1,2024-05-15,2026-03-19,AMERICAN CONTRACT SYSTEMS
"Pointe Scientific, Inc.",81,1,2006-06-07,2015-05-19,POINTE SCIENTIFIC
LumiQuick Diagnostics Inc.,80,1,2014-03-04,2014-03-04,LUMIQUICK DIAGNOSTICS
"Codman & Shurtleff, Inc.",77,1,2004-03-11,2015-11-10,CODMAN AND SHURTLEFF
Bausch & Lomb Inc,76,2,2002-11-26,2018-08-08,BAUSCH AND LOMB
Remel Inc,75,1,2007-10-23,2022-10-20,REMEL
"Multi-Med, Inc.",75,1,2010-05-26,2010-08-30,MULTI MED
"Hobbs Medical, Inc.",74,1,2006-03-15,2024-10-04,HOBBS MEDICAL
Tosoh Bioscience Inc,73,1,2006-01-26,2026-06-12,TOSOH BIOSCIENCE
"Varian Medical Systems, Inc. Oncology Systems",73,1,2010-12-10,2013-03-26,VARIAN MEDICAL SYSTEMS ONCOLOGY SYSTEMS
"Randox Laboratories Ltd.
 55 Diamond Road
 Crumlin (North) Ireland",72,2,2016-08-02,2024-06-07,RANDOX LABORATORIES 55 DIAMOND ROAD CRUMLIN NORTH IRELAND
Becton Dickinson & Co. BD Diagnostic Systems,71,1,0013-04-12,2015-06-29,BECTON DICKINSON AND BD DIAGNOSTIC SYSTEMS
Wright Medical Technology Inc,71,1,2003-08-18,2021-12-03,WRIGHT MEDICAL TECHNOLOGY
"Portland Orthopaedics Pty, Ltd.
 1 South Street, Suite 3, Level 5
 Saint George Hospital
 Kogarah Australia",71,1,2008-01-11,2008-01-11,PORTLAND ORTHOPAEDICS PTY 1 SOUTH STREET SUITE 3 LEVEL 5 SAINT GEORGE HOSPITAL KOGARAH AUSTRALIA
Boston Scientific CRM Corp,71,1,2005-06-17,2014-09-17,BOSTON SCIENTIFIC CRM
Zavation,71,1,2021-03-25,2021-03-25,ZAVATION
Karl Storz Endoscopy,70,1,2014-06-25,2024-12-19,KARL STORZ ENDOSCOPY
"Smiths Medical MD, Inc.",70,1,2004-09-18,2008-12-18,SMITHS MEDICAL MD
"Wright Medical Technology, Inc.",69,2,2014-07-30,2024-03-06,WRIGHT MEDICAL TECHNOLOGY
Advanced Sterilization Products,69,1,2003-02-14,2017-01-09,ADVANCED STERILIZATION PRODUCTS
Baxter Healthcare Corp. Rt,69,1,2002-10-17,2003-12-17,BAXTER HEALTHCARE RT
Stryker Medical Div. of Stryker Corporation,68,1,2004-11-15,2010-05-15,STRYKER MEDICAL DIV OF STRYKER
Stryker GmbH Bohnackerweg 1 Selzach Switzerland,68,1,2018-03-12,2025-05-28,STRYKER BOHNACKERWEG 1 SELZACH SWITZERLAND
Siemens Medical Solutions USA Inc.,68,1,2009-08-11,2017-02-20,SIEMENS MEDICAL SOLUTIONS
Medtronic Neurosurgery,67,1,2003-09-15,2024-11-01,MEDTRONIC NEUROSURGERY
Microbiologics Inc,67,1,2007-10-12,2025-12-02,MICROBIOLOGICS
Ross Products Division Abbott Laboratories,66,1,2004-03-01,2007-06-21,ROSS PRODUCTS DIVISION ABBOTT LABORATORIES
Nobel Biocare Usa Llc,66,1,2013-10-24,2021-12-17,NOBEL BIOCARE
Stryker Sustainability Solutions,65,2,2012-08-30,2026-04-10,STRYKER SUSTAINABILITY SOLUTIONS
"International Medsurg Connection, Inc.",65,1,2006-08-16,2017-06-23,MEDSURG CONNECTION
Ethicon Endo-Surgery,65,1,2003-05-21,2005-02-28,ETHICON ENDO SURGERY
"Philips Medical Systems, Inc.",65,1,2013-04-10,2015-04-23,PHILIPS MEDICAL SYSTEMS
Radiometer America Inc,64,2,2005-01-12,2019-07-10,RADIOMETER AMERICA
"Maquet Cardiovascular Us Sales, Llc",64,2,2010-09-28,2020-11-20,MAQUET CARDIOVASCULAR SALES
"Busse Hospital Disposables, Inc.",63,1,2022-02-22,2023-11-30,BUSSE HOSPITAL DISPOSABLES
Vyaire Medical,62,2,2014-11-29,2025-04-10,VYAIRE MEDICAL
Nellcor Puritan Bennett Inc. (dba Covidien Ltd),62,1,2010-04-13,2010-04-13,NELLCOR PURITAN BENNETT COVIDIEN
Carestream Health Inc.,61,1,2013-06-03,2014-07-02,CARESTREAM HEALTH
Aesculap Implant Systems LLC,61,1,2012-03-07,2023-07-20,AESCULAP IMPLANT SYSTEMS
"Leica Microsystems, Inc.",60,2,2005-04-12,2022-11-21,LEICA MICROSYSTEMS
Linvatec Corp. dba ConMed Linvatec,60,1,2009-07-31,2013-05-30,LINVATEC CONMED LINVATEC
"Nurse Assist, Inc",59,1,2011-01-20,2016-10-04,NURSE ASSIST
Instrumentation Laboratory Co.,58,1,2003-03-07,2019-07-23,INSTRUMENTATION LABORATORY
AGFA Corp.,57,1,2003-11-25,2014-06-06,AGFA
"DePuy Spine, Inc.",57,1,2006-10-10,2022-05-20,DEPUY SPINE
"Abbott Diabetes Care, Inc.",57,1,2005-08-30,2025-11-24,ABBOTT DIABETES CARE
Linvatec Corp.,56,1,2004-08-26,2008-02-21,LINVATEC
"Synthes USA HQ, Inc.",56,1,2012-05-22,2013-10-15,SYNTHES HQ
"Biosense Webster, Inc.",56,3,2004-05-21,2025-01-05,BIOSENSE WEBSTER
Baxter Healthcare Corp.,54,2,2009-07-31,2016-10-12,BAXTER HEALTHCARE
Cook Medical Incorporated,53,1,2014-09-26,2025-09-18,COOK MEDICAL
