recalling_firm,n_recalls,n_fei,first_action,last_action,normalized_name
"Zeltiq Aesthetics, Inc",6,1,2021-07-05,2022-06-09,ZELTIQ AESTHETICS
Sunrise Medical Inc,6,1,2005-11-15,2009-02-02,SUNRISE MEDICAL
"Zhejiang Kindly Medical Devices Co., Ltd. # 758 Binghai Five Rd. Longwan Dist Wenzhou China",6,1,2021-08-24,2021-08-24,ZHEJIANG KINDLY MEDICAL DEVICES 758 BINGHAI FIVE RD LONGWAN DIST WENZHOU CHINA
"Illumina, Inc.",6,1,2022-02-22,2025-10-28,ILLUMINA
Heraeus Medical GmbH (Dental Division) Philipp-Reis-Str. 8 Wehrheim Germany,6,1,2025-12-09,2026-03-25,HERAEUS MEDICAL DENTAL DIVISION PHILIPP REIS STR 8 WEHRHEIM GERMANY
Belmont Instrument LLC,6,1,2025-01-02,2025-05-13,BELMONT INSTRUMENT
Pro-Dex Inc,6,1,2015-12-23,2024-09-23,PRO DEX
"Diagnostic Hybrids, Inc.",6,1,2015-11-03,2017-04-04,DIAGNOSTIC HYBRIDS
Diagnostic Products Corp,6,1,2003-07-31,2005-05-26,DIAGNOSTIC PRODUCTS
"HeartSine Technologies Ltd
 207 Airport Road West
 Belfast United Kingdom",6,1,2023-02-01,2025-09-18,HEARTSINE TECHNOLOGIES 207 AIRPORT ROAD WEST BELFAST UNITED KINGDOM
Stimwave Technologies Inc,6,1,2020-07-15,2020-07-15,STIMWAVE TECHNOLOGIES
Mizuho Orthopedic Systems Inc,6,1,2007-02-28,2012-02-27,MIZUHO ORTHOPEDIC SYSTEMS
"Accriva Diagnostics, Inc.",6,1,2022-03-30,2026-04-30,ACCRIVA DIAGNOSTICS
The Magstim Company Limited Spring Gardens Whitland United Kingdom,6,1,2017-09-28,2020-12-08,MAGSTIM SPRING GARDENS WHITLAND UNITED KINGDOM
"Digisonics, Inc",6,1,2007-02-09,2023-06-26,DIGISONICS
"Zimmer Spine, Inc.",6,1,2004-05-21,2016-02-12,ZIMMER SPINE
Bayer Healthcare,6,1,2015-08-04,2016-11-07,BAYER HEALTHCARE
"Access Point Medical LLC
 Three City Place Drive
 Suite 750
 St. Louis MO 63141",6,1,2006-03-10,2006-06-20,ACCESS POINT MEDICAL THREE CITY PLACE DRIVE SUITE 750 ST LOUIS MO 63141
Orascoptic Surgical Acuity,6,1,2025-07-03,2025-07-03,ORASCOPTIC SURGICAL ACUITY
Ossur Grjothals 5 Reykjavik Ireland,6,1,2005-10-21,2008-09-26,OSSUR GRJOTHALS 5 REYKJAVIK IRELAND
Prodimed Plastimed Division 3 Rue Louis Armand Le Plessis Bouchard France,6,1,2020-05-27,2020-05-27,PRODIMED PLASTIMED DIVISION 3 RUE LOUIS ARMAND LE PLESSIS BOUCHARD FRANCE
Immunetech Inc,6,1,2011-11-04,2011-11-04,IMMUNETECH
Brainlab AG Olof-Palme-Strasse 9 Munich Germany,6,2,2013-04-22,2018-02-14,BRAINLAB OLOF PALME STRASSE 9 MUNICH GERMANY
LumiraDx,6,1,2021-01-11,2023-04-25,LUMIRADX
Drug Free Enterprises Inc,6,1,2003-03-20,2003-03-20,DRUG FREE ENTERPRISES
Flexicare Medical (Dongguan) Ltd. Hengli Town No. B-15 Xicheng; Henglizhen Dongguan China,6,1,2025-07-11,2025-07-11,FLEXICARE MEDICAL DONGGUAN HENGLI TOWN NO B 15 XICHENG HENGLIZHEN DONGGUAN CHINA
"Cypress Medical Products, Ltd.",6,1,2004-05-03,2004-12-02,CYPRESS MEDICAL PRODUCTS
DeVilbiss Healthcare LLC,6,1,2013-03-07,2023-03-09,DEVILBISS HEALTHCARE
"Arthrosurface, Inc.",6,1,2014-06-09,2014-11-24,ARTHROSURFACE
Gillette Research Institute,6,1,2004-10-27,2004-10-27,GILLETTE RESEARCH INSTITUTE
Clinical Diagnostic Solutions,6,1,2010-08-04,2013-02-24,CLINICAL DIAGNOSTIC SOLUTIONS
Medtronic CardioVascular,6,1,2007-12-10,2010-04-30,MEDTRONIC CARDIOVASCULAR
"Carroll-Baccari, Inc.",6,1,2019-09-05,2019-12-23,CARROLL BACCARI
Tyco Healthcare/Kendall,6,0,2003-03-20,2003-03-20,TYCO HEALTHCARE KENDALL
"Trividia Health, Inc.",6,1,2020-04-20,2026-02-06,TRIVIDIA HEALTH
"Viasys Respiratory Care, Inc.dba Bird Products",6,1,2007-01-31,2007-12-17,VIASYS RESPIRATORY CARE BIRD PRODUCTS
Gk Photonics Inc,6,1,2019-07-10,2019-07-10,GK PHOTONICS
"Cenorin, LLC",6,1,2013-01-24,2018-04-09,CENORIN
"Viewray, Inc.",6,1,2019-03-03,2021-05-04,VIEWRAY
Sol-Millennium Medical Inc.,6,1,2024-05-09,2024-05-09,SOL MILLENNIUM MEDICAL
"Urologix, Inc.",6,1,2003-12-10,2013-10-21,UROLOGIX
"Sandhill Scientific, Inc",6,1,2003-01-08,2009-02-23,SANDHILL SCIENTIFIC
Ion Beam Applications S.A. Chemin Du Cyclotron 3 Ottignies-Louvain-La-Neuve Belgium,6,1,2023-09-18,2026-02-03,ION BEAM APPLICATIONS S A CHEMIN DU CYCLOTRON 3 OTTIGNIES LOUVAIN LA NEUVE BELGIUM
Alsius Corporation,6,1,2004-06-21,2007-01-01,ALSIUS
"Centinel Spine, Inc.",6,1,2021-03-05,2026-03-20,CENTINEL SPINE
CellEra LLC,6,1,2016-09-01,2021-12-15,CELLERA
"Geistlich Pharma North America, Inc.",6,1,2019-04-12,2020-10-19,GEISTLICH PHARMA NORTH AMERICA
Intel-GE Care Innovations LLC,6,1,2011-07-30,2017-12-06,INTEL GE CARE INNOVATIONS
Viewray Incorporated,6,1,2015-01-15,2016-03-07,VIEWRAY
Olympus Scientific Solutions Americas,6,1,2015-06-09,2017-07-11,OLYMPUS SCIENTIFIC SOLUTIONS AMERICAS
Graphic Controls Acquisition Corporation,6,1,2022-03-15,2022-03-15,GRAPHIC CONTROLS ACQUISITION
"Med-Mizer, Inc.",6,1,2014-04-18,2023-02-03,MED MIZER
Mckesson Information Solutions LLC,6,1,2011-02-02,2014-08-27,MCKESSON INFORMATION SOLUTIONS
"Apex Surgical, LLC",6,1,2003-01-17,2003-01-17,APEX SURGICAL
Circulatory Technology Inc,6,1,2009-06-03,2017-09-22,CIRCULATORY TECHNOLOGY
"Alere North Americal
 30 S Keller Rd Ste 100
 Suite 100
 Orlando FL 32810-6297",6,1,2011-03-21,2011-03-21,ALERE NORTH AMERICAL 30 S KELLER RD STE 100 SUITE 100 ORLANDO FL 32810 6297
S S C O R Inc,6,1,2005-01-06,2005-01-06,S S C O R
"Vascutek, Ltd. Newmains Avenue Inchinnan United Kingdom",6,1,2014-07-15,2025-12-18,VASCUTEK NEWMAINS AVENUE INCHINNAN UNITED KINGDOM
SPINEART SA Chemin Du Pre-Fleuri 3 Plan-Les-Ouates Switzerland,6,1,2019-02-05,2025-06-30,SPINEART CHEMIN DU PRE FLEURI 3 PLAN LES OUATES SWITZERLAND
United Orthopedic Corporation No.,6,1,2017-02-10,2024-01-03,UNITED ORTHOPEDIC NO
Sentinel CH SpA Via Robert Koch,6,1,2019-06-28,2023-09-29,SENTINEL CH VIA ROBERT KOCH
Olsen Medical,6,1,2006-08-29,2018-05-11,OLSEN MEDICAL
Anika Therapeutics,6,1,2003-10-08,2003-10-08,ANIKA THERAPEUTICS
"Cook Urological, Inc.",6,1,2003-01-22,2007-06-12,COOK UROLOGICAL
"Cardiovascular Systems, Inc.",6,1,2009-03-16,2015-03-04,CARDIOVASCULAR SYSTEMS
Curlin Medical Llc,6,1,2007-02-09,2008-05-30,CURLIN MEDICAL
"Apogee Medical, Inc",6,1,2008-07-17,2011-03-24,APOGEE MEDICAL
SHIMADZU CORPORATION MEDICAL SYSTEMS DIVISION Nishinokyo Kuwabara Cho Nakagyo-Ku,6,1,2023-04-10,2025-10-16,SHIMADZU MEDICAL SYSTEMS DIVISION NISHINOKYO KUWABARA CHO NAKAGYO KU
"Sorenson Medical, Inc.",6,1,2002-11-25,2006-10-10,SORENSON MEDICAL
"Sarken, Inc.",6,1,2013-07-29,2013-07-29,SARKEN
Cook Vascular Inc.,6,1,2007-12-17,2017-11-28,COOK VASCULAR
Integrity Implants Inc.,6,1,2018-02-27,2024-12-20,INTEGRITY IMPLANTS
Beckman Coulter Biomedical GmbH Sauerbruchstr. 50 Munchen Germany,5,1,2023-06-02,2024-07-17,BECKMAN COULTER BIOMEDICAL SAUERBRUCHSTR 50 MUNCHEN GERMANY
PENTAX of America Inc,5,1,2018-03-30,2018-12-03,PENTAX OF AMERICA
"Precision Medical, Inc.",5,1,2004-11-09,2015-10-08,PRECISION MEDICAL
PATH Landsberger Str. 65 Germering Germany,5,1,2023-09-26,2025-11-06,PATH LANDSBERGER STR 65 GERMERING GERMANY
Oculus Innovative Sciences Inc,5,1,2011-11-09,2013-02-12,OCULUS INNOVATIVE SCIENCES
Gen-Probe Inc,5,1,2007-05-02,2014-04-17,GEN PROBE
"Fisher & Paykel Healthcare, Ltd. 15 Maurice Paykel Place East Tamaki Auckland New Zealand",5,1,2014-04-15,2025-09-18,FISHER AND PAYKEL HEALTHCARE 15 MAURICE PAYKEL PLACE EAST TAMAKI AUCKLAND NEW ZEALAND
ArjoHuntleigh,5,1,2009-02-26,2009-08-18,ARJOHUNTLEIGH
M.D.L. S.r.l. Via Tavani N. 1/A Delebio Italy,5,1,2021-08-05,2021-08-05,M D L S R L VIA TAVANI N 1 A DELEBIO ITALY
"Integra Neurosciences PR, Inc. Carr",5,1,2011-11-28,2011-11-28,INTEGRA NEUROSCIENCES PR CARR
"Ossur Engineering, Inc",5,1,2008-11-09,2011-02-11,OSSUR ENGINEERING
Digene Corp,5,1,2003-02-07,2004-05-28,DIGENE
ArthroCare Medical Corporation,5,1,2013-12-09,2015-05-15,ARTHROCARE MEDICAL
Oscor Inc.,5,1,2005-09-13,2026-06-10,OSCOR
Baxter Bioscience,5,1,2007-10-25,2010-01-14,BAXTER BIOSCIENCE
"Straumann USA, LLC",5,1,2012-03-12,2014-10-27,STRAUMANN
Medica Corporation,5,1,2010-03-29,2025-12-31,MEDICA
"Valeritas, Incorporated",5,1,2019-07-03,2019-07-03,VALERITAS
"Breas Medical, Inc.",5,1,2020-01-28,2024-07-25,BREAS MEDICAL
American Optisurgical Inc,5,1,2009-03-24,2013-04-30,AMERICAN OPTISURGICAL
Sorin Group Italia S.r.l. Via Crescentino Sn Saluggia Italy,5,1,2020-07-29,2020-07-29,SORIN ITALIA S R L VIA CRESCENTINO SN SALUGGIA ITALY
Prism Medical Services USA,5,1,2013-01-27,2013-05-23,PRISM MEDICAL SERVICES
STRATASYS LTD,5,1,2024-01-19,2024-01-19,STRATASYS
SUREPULSE MEDICAL LTD Medicity D6 Thane Road Nottingham United Kingdom,5,1,2023-01-20,2023-01-20,SUREPULSE MEDICAL MEDICITY D6 THANE ROAD NOTTINGHAM UNITED KINGDOM
Wondfo USA Co Ltd,5,1,2024-04-22,2024-04-22,WONDFO
Vail Products Inc,5,1,2003-04-01,2005-05-06,VAIL PRODUCTS
"Smith & Nephew, Inc Endoscopy Division",5,1,2004-10-12,2007-04-09,SMITH AND NEPHEW ENDOSCOPY DIVISION
Integra Neuro Sciences,5,1,2005-01-21,2009-03-16,INTEGRA NEURO SCIENCES
"Merz North America, Inc.",5,2,2015-10-26,2020-09-30,MERZ NORTH AMERICA
"Flexicare Medical Ltd. Cynon Valley Business Park, Mountain Ash Rhondda Cynon Taff United Kingdom",5,1,2019-11-27,2020-09-22,FLEXICARE MEDICAL CYNON VALLEY BUSINESS PARK MOUNTAIN ASH RHONDDA CYNON TAFF UNITED KINGDOM
"Lumenis, Inc.",5,1,2007-12-18,2021-10-14,LUMENIS
ELITech Clinical Systems SAS Zone lndustrielle SEES France,5,1,2014-08-11,2015-09-22,ELITECH CLINICAL SYSTEMS SAS ZONE LNDUSTRIELLE SEES FRANCE
Materialise N.V. Technologielaan 15 Heverlee Belgium,5,1,2020-02-03,2023-06-19,MATERIALISE N V TECHNOLOGIELAAN 15 HEVERLEE BELGIUM
Fanlight Corporation Inc,5,1,2006-03-24,2006-03-24,FANLIGHT
U & I America,5,1,2003-08-18,2004-08-10,U AND I AMERICA
Zimmer Biomet Spine Inc.,5,1,2017-05-10,2023-10-16,ZIMMER BIOMET SPINE
Ekos Corp,5,1,2004-09-21,2007-02-09,EKOS
Philips Medical Systems North America Inc.,5,1,2013-10-17,2014-02-28,PHILIPS MEDICAL SYSTEMS NORTH AMERICA
Tandem Diabetes Care Inc,5,1,2014-01-10,2022-05-24,TANDEM DIABETES CARE
AMD Medicom Inc. 2555 Ch de L'Aviation Montreal Canada,5,1,2023-12-21,2026-05-08,AMD MEDICOM 2555 CH DE L AVIATION MONTREAL CANADA
Elekta Instrument AB Kungstensgatan 18 Stockholm Sweden,5,1,2018-06-27,2024-09-25,ELEKTA INSTRUMENT KUNGSTENSGATAN 18 STOCKHOLM SWEDEN
Bien-Air Surgery Sa rue de l' ouest 2b Le Noirmont Switzerland,5,1,2020-09-11,2020-09-11,BIEN AIR SURGERY RUE DE L OUEST 2B LE NOIRMONT SWITZERLAND
"Biomet 3i, Inc.",5,1,2008-02-06,2008-05-09,BIOMET 3I
Philips Medical Systems DMC GmbH Development And Manufacturing Ctr. Rontgenstr. 24-26 Hamburg Germany,5,1,2021-05-19,2021-05-19,PHILIPS MEDICAL SYSTEMS DMC DEVELOPMENT AND MANUFACTURING CTR RONTGENSTR 24 26 HAMBURG GERMANY
"O & M HALYARD, INC.",5,1,2023-08-09,2024-11-26,O AND M HALYARD
"Molnlycke Health Care, Inc",5,1,2007-07-20,2019-03-26,MOLNLYCKE HEALTH CARE
Leoni Fiber Optics GmbH Muhldamm 6 Neuhaus-Schierschnitz Germany,5,1,2018-10-17,2018-10-17,LEONI FIBER OPTICS MUHLDAMM 6 NEUHAUS SCHIERSCHNITZ GERMANY
Numed Inc,5,1,2003-06-26,2025-04-21,NUMED
"Micromedics, Inc.",5,1,2010-03-15,2016-10-20,MICROMEDICS
Peter Lazic Gmbh Immelmannweg 2 Tuttlingen Germany,5,1,2023-07-14,2023-10-06,PETER LAZIC IMMELMANNWEG 2 TUTTLINGEN GERMANY
"Nurse Assist, LLC",5,1,2023-11-06,2023-11-06,NURSE ASSIST
"Perkinelmer Life Sciences, Inc.",5,1,2003-07-21,2017-08-02,PERKINELMER LIFE SCIENCES
Hyphen BioMed 155 rue d Eragny Neuville Sur Oise France,5,1,2011-11-09,2018-02-05,HYPHEN BIOMED 155 RUE D ERAGNY NEUVILLE SUR OISE FRANCE
"THOR Photomedicine Ltd
 2 Anglo Office Park
 Units 1 &; 67 White Lion Road
 Amersham United Kingdom",5,1,2023-11-20,2025-07-24,THOR PHOTOMEDICINE 2 ANGLO OFFICE PARK UNITS 1 AND 67 WHITE LION ROAD AMERSHAM UNITED KINGDOM
TECHNO-PATH MANUFACTURING LTD. Fort Henry Business Park Ballina Tipperary Ireland,5,1,2023-08-25,2025-10-17,TECHNO PATH MANUFACTURING FORT HENRY BUSINESS PARK BALLINA TIPPERARY IRELAND
"Philips Medical Systems, Inc. Cardiac & Monitoring Systems",5,1,2002-11-25,2003-01-02,PHILIPS MEDICAL SYSTEMS CARDIAC AND MONITORING SYSTEMS
Nova Ortho-Med Inc,5,1,2016-10-01,2024-08-26,NOVA ORTHO MED
"Combat Medical Systems, LLC",5,1,2020-12-23,2020-12-23,COMBAT MEDICAL SYSTEMS
Colgate Palmolive Company,5,1,2012-03-23,2012-03-23,COLGATE PALMOLIVE
Highland Metals,5,1,2008-01-07,2011-07-12,HIGHLAND METALS
Bolton Medical Inc.,5,1,2022-12-20,2026-04-22,BOLTON MEDICAL
LivaNova Deutschland GmbH Lindberghstr. 25 Munich Germany,5,1,2019-08-26,2024-10-18,LIVANOVA DEUTSCHLAND LINDBERGHSTR 25 MUNICH GERMANY
"Young Dental Manufacturing I, LLC",5,1,2022-12-05,2024-08-23,YOUNG DENTAL MANUFACTURING I
Polymer Technology Systems,5,1,2016-12-02,2016-12-02,POLYMER TECHNOLOGY SYSTEMS
Interpore Cross International Inc,5,1,2003-02-07,2007-10-15,INTERPORE CROSS
"Vascular Technology, Inc.",5,1,2014-05-28,2018-06-19,VASCULAR TECHNOLOGY
"Go Medical Industries Pty., Ltd. 200 Churchill Avenue Subiaco Perth, Western Australia Australia",5,1,2011-09-03,2011-09-03,GO MEDICAL INDUSTRIES PTY 200 CHURCHILL AVENUE SUBIACO PERTH WESTERN AUSTRALIA AUSTRALIA
Plus Orthopedics,5,1,2002-09-09,2005-01-04,PLUS ORTHOPEDICS
ORTHO-CLINICAL DIAGNOSTICS Felindre Meadows Bridgend United Kingdom,5,1,2018-11-01,2023-06-05,ORTHO CLINICAL DIAGNOSTICS FELINDRE MEADOWS BRIDGEND UNITED KINGDOM
Hollister Incorporated,5,1,2021-02-11,2024-12-23,HOLLISTER
Sunrise Medical,5,1,2006-08-24,2008-10-30,SUNRISE MEDICAL
"HoMedics, Inc.",5,1,2007-02-09,2007-02-09,HOMEDICS
Palodex Group Oy Nahkelantie 160 Tuusula Finland,5,1,2020-01-07,2021-10-28,PALODEX NAHKELANTIE 160 TUUSULA FINLAND
"OPTI Medical Systems, Inc",5,1,2009-04-20,2021-06-25,OPTI MEDICAL SYSTEMS
"Biosound Esaote, Inc.",5,1,2003-01-22,2014-06-26,BIOSOUND ESAOTE
"Zeus Scientific, Inc.",5,1,2012-03-08,2023-10-31,ZEUS SCIENTIFIC
Cochlear Americas Inc.,5,1,2009-09-30,2018-12-18,COCHLEAR AMERICAS
Bioseal Corporation,5,1,2017-10-18,2021-03-23,BIOSEAL
ARJOHUNTLEIGH POLSKA Sp. z.o.o. Ul. Ks. Piotra Wawrzyniaka 2 Komorniki Poland,5,1,2021-06-10,2026-03-10,ARJOHUNTLEIGH POLSKA SP Z O O UL KS PIOTRA WAWRZYNIAKA 2 KOMORNIKI POLAND
"Aaren Scientific, Incorporated",5,1,2011-08-02,2015-02-13,AAREN SCIENTIFIC
"Helena Laboratories, Inc.",5,1,2016-04-20,2017-04-04,HELENA LABORATORIES
"Bunnell, Inc.",5,1,2005-04-04,2022-11-02,BUNNELL
"Neusoft Medical Systems Co., Ltd. NO.",5,1,2015-05-02,2017-05-19,NEUSOFT MEDICAL SYSTEMS NO
Atom Medical Corporation 3-18-15 Hongo Bunkyo-Ku Japan,5,1,2011-08-23,2012-05-01,ATOM MEDICAL 3 18 15 HONGO BUNKYO KU JAPAN
Alliant Enterprises LLC,5,1,2011-07-21,2011-07-21,ALLIANT ENTERPRISES
"Gunnell, Inc.",5,1,2011-11-01,2011-11-01,GUNNELL
Darex Container Products Div of W.R. Grace & Co.,5,1,2003-02-11,2010-10-20,DAREX CONTAINER PRODUCTS DIV OF W R GRACE AND
"Data Innovations, Inc.",5,1,2006-08-10,2013-11-06,DATA INNOVATIONS
Hamilton Medical AG Parc Industrial Vial 10 Domat/Ems Switzerland,5,1,2022-09-22,2026-05-29,HAMILTON MEDICAL PARC INDUSTRIAL VIAL 10 DOMAT EMS SWITZERLAND
SonarMed Inc,5,1,2017-04-17,2024-03-25,SONARMED
Heartport Inc Route,5,1,2003-10-02,2003-10-02,HEARTPORT ROUTE
Randox Laboratories,5,1,2017-04-27,2023-02-01,RANDOX LABORATORIES
Omnilife Science Inc.,5,1,2014-05-09,2015-06-09,OMNILIFE SCIENCE
Therakos Inc,5,1,2006-07-18,2015-12-21,THERAKOS
Hansen Medical Inc,5,1,2008-05-21,2016-03-25,HANSEN MEDICAL
Medtronic Vascular Galway DBA Medtronic Ireland Parkmore Business Park West Galway Ireland,5,1,2017-07-13,2020-05-12,MEDTRONIC VASCULAR GALWAY MEDTRONIC IRELAND PARKMORE BUSINESS PARK WEST GALWAY IRELAND
"MRL, Inc., A Welch Allyn Company",5,1,2004-04-26,2006-11-15,MRL A WELCH ALLYN
"Galil Medical, Inc.",5,1,2010-12-20,2019-10-25,GALIL MEDICAL
Advanced Bionics LLC,5,1,2008-07-24,2009-06-10,ADVANCED BIONICS
"Ra Medical Systems, Inc.",5,1,2019-08-23,2020-10-16,RA MEDICAL SYSTEMS
Medical Product Specialist Inc dba MPS Acacia,5,1,2009-12-18,2009-12-18,MEDICAL PRODUCT SPECIALIST MPS ACACIA
Advanced Bionics Corp,5,1,2007-01-30,2008-09-22,ADVANCED BIONICS
SAMMONS PRESTON ROLYAN,5,1,2006-01-25,2006-01-25,SAMMONS PRESTON ROLYAN
BD Diagnostic Systems Lee Laboratories,5,1,2007-08-08,2007-09-06,BD DIAGNOSTIC SYSTEMS LEE LABORATORIES
GOLD STAR DISTRIBUTION INC,5,1,2025-12-26,2025-12-26,GOLD STAR DISTRIBUTION
Sonitus Medical Inc.,5,1,2012-02-02,2012-02-02,SONITUS MEDICAL
Reckitt Benckiser LLC,5,1,2016-11-22,2018-12-19,RECKITT BENCKISER
"Gyrus Medical, Inc",5,1,2003-12-05,2014-08-27,GYRUS MEDICAL
"Respironics Novametrix, LLC.",5,1,2006-08-11,2011-07-29,RESPIRONICS NOVAMETRIX
Cardiocommand Inc.,5,1,2003-10-27,2019-06-24,CARDIOCOMMAND
Medtronic Gastroenterology Urology,5,1,2004-02-06,2006-04-06,MEDTRONIC GASTROENTEROLOGY UROLOGY
Max Mobility LLC,5,1,2024-12-20,2025-08-12,MAX MOBILITY
"Vital Diagnostics, Inc.",5,1,2009-12-04,2013-08-29,VITAL DIAGNOSTICS
Mckesson Medical Immaging Suite 130-10711 Cambie Road Richmond Canada British Columbia,5,1,2010-05-07,2016-02-18,MCKESSON MEDICAL IMMAGING SUITE 130 10711 CAMBIE ROAD RICHMOND CANADA BRITISH COLUMBIA
"Allen Medical Systems, Inc. One Post Office Square",5,1,2007-11-27,2017-01-03,ALLEN MEDICAL SYSTEMS ONE POST OFFICE SQUARE
"Spacelabs Healthcare, Ltd. Unit B Foxholes Centre; John Tate Road Hertford United Kingdom",5,1,2018-07-11,2025-09-16,SPACELABS HEALTHCARE UNIT B FOXHOLES CENTRE JOHN TATE ROAD HERTFORD UNITED KINGDOM
Spacelabs Medical Incorporated,5,1,2005-01-07,2006-05-05,SPACELABS MEDICAL
"Optovue, Inc.",5,1,2013-05-14,2017-07-27,OPTOVUE
Medtronic Cardiac Surgery Technologies,5,1,2002-11-11,2008-02-25,MEDTRONIC CARDIAC SURGERY TECHNOLOGIES
"Torax Medical, Inc.",5,1,2018-04-20,2018-04-20,TORAX MEDICAL
Candela Corporation,5,1,2013-11-06,2019-09-10,CANDELA
Hach Co,5,1,2008-05-23,2009-04-21,HACH
NewDeal SA Immeuble Sequoia,5,1,2018-05-22,2018-05-22,NEWDEAL IMMEUBLE SEQUOIA
"Ion Genius, Inc.",5,1,2012-01-06,2012-01-06,ION GENIUS
Spes Medica Via Buccari,5,1,2021-04-08,2021-04-08,SPES MEDICA VIA BUCCARI
California Medical Laboratories Inc,5,1,2008-01-24,2012-11-02,CALIFORNIA MEDICAL LABORATORIES
"MEDTRONIC ATS MEDICAL, INC.",5,1,2020-02-11,2020-10-12,MEDTRONIC ATS MEDICAL
Millipore Corp.,5,1,2004-01-26,2004-01-26,MILLIPORE
Bard Medical Division,5,1,2017-11-08,2018-12-13,BARD MEDICAL DIVISION
"Ventec Life Systems, Inc.",5,1,2021-05-10,2026-05-08,VENTEC LIFE SYSTEMS
"Fujifilm Medical System USA, Inc.",5,1,2003-05-12,2012-06-29,FUJIFILM MEDICAL SYSTEM
Sterile Surgical Systems Llc,5,1,2002-06-04,2002-06-04,STERILE SURGICAL SYSTEMS
Welch Allyn Inc Mortara,5,1,2021-03-31,2021-09-03,WELCH ALLYN MORTARA
Nobel Biocare Procera LLC,5,1,2021-03-29,2021-03-29,NOBEL BIOCARE PROCERA
Trek Diagnostic Systems,5,1,2005-03-04,2012-07-23,TREK DIAGNOSTIC SYSTEMS
Western/Scott Fetzer Company,5,1,2021-10-16,2023-01-03,WESTERN SCOTT FETZER
Devicor Medical Products Inc,5,1,2016-05-19,2026-04-24,DEVICOR MEDICAL PRODUCTS
Merete Medical GmbH Alt-Lankwitz 102 Berlin Germany,5,1,2020-09-18,2022-01-18,MERETE MEDICAL ALT LANKWITZ 102 BERLIN GERMANY
"MED-EL Elektromedizinische Gereate, Gmbh Furstenweg 77a Innsbruck Austria",5,1,2016-10-25,2024-04-18,MED EL ELEKTROMEDIZINISCHE GEREATE FURSTENWEG 77A INNSBRUCK AUSTRIA
Quantimetrix Corporation,5,1,2007-06-01,2017-12-21,QUANTIMETRIX
Action Products Incorporated,5,1,2002-05-14,2009-06-26,ACTION PRODUCTS
"Ace Surgical Supply Co., Inc.",5,1,2010-05-14,2022-02-02,ACE SURGICAL SUPPLY
"Heart Sync, Inc.",5,1,2014-11-11,2014-11-11,HEART SYNC
"Soft Computer Consultants, Inc.",5,1,2016-10-06,2021-03-31,SOFT COMPUTER CONSULTANTS
"Quest Medical, Inc.",5,1,2015-02-26,2023-07-14,QUEST MEDICAL
"Wescor, Inc",5,1,2007-12-26,2010-01-06,WESCOR
Nephron Pharmaceuticals Corp.,5,1,2013-04-30,2015-11-16,NEPHRON PHARMACEUTICALS
"Asahi Medical Co., Ltd",5,1,2006-10-12,2006-10-12,ASAHI MEDICAL
Barco N.V. President Kennedypark 35 Kortrijk Belgium,5,1,2017-03-30,2025-05-09,BARCO N V PRESIDENT KENNEDYPARK 35 KORTRIJK BELGIUM
National Biological Corp,4,1,2008-02-19,2017-01-27,NATIONAL BIOLOGICAL
Life Technologies Holdings Pte Ltd Blk,4,1,2019-09-26,2019-09-26,LIFE TECHNOLOGIES BLK
"NuVasive Specialized Orthopedics, Inc.",4,1,2019-06-25,2024-09-30,NUVASIVE SPECIALIZED ORTHOPEDICS
"Hsmg, Inc. D/b/a Smartinfuser Usa",4,1,2009-01-08,2010-03-17,HSMG D B A SMARTINFUSER
Guidant Cardiac Surgery,4,1,2003-11-19,2006-12-01,GUIDANT CARDIAC SURGERY
Iris Diagnostics,4,1,2012-07-09,2015-07-15,IRIS DIAGNOSTICS
"GE Medical Systems Information Tecnology
 9900 Inovation Drive
 RP 2122 3rd Floor
 Wauwatosa WI 53226",4,1,2006-02-06,2009-03-10,GE MEDICAL SYSTEMS INFORMATION TECNOLOGY 9900 INOVATION DRIVE RP 2122 3RD FLOOR WAUWATOSA WI 53226
Novarad Corporation,4,1,2013-05-09,2019-09-10,NOVARAD
"Parker Laboratories, Inc.",4,1,2014-08-06,2024-03-22,PARKER LABORATORIES
"Kelyniam Global, Inc.",4,1,2017-06-10,2017-06-10,KELYNIAM GLOBAL
Maquet Cardiopulmonary Ag Kehler Strasse 31 Rastatt Germany,4,1,2018-04-04,2018-05-14,MAQUET CARDIOPULMONARY KEHLER STRASSE 31 RASTATT GERMANY
Optovue Inc.,4,1,2010-01-08,2012-09-07,OPTOVUE
Gish Biomedical Inc,4,1,2003-03-31,2005-11-28,GISH BIOMEDICAL
Iba Dosimetry Gmbh Bahnhofstr. 5 Schwarzenbruck Germany,4,1,2013-08-20,2015-12-10,IBA DOSIMETRY BAHNHOFSTR 5 SCHWARZENBRUCK GERMANY
"Ethicon Endo Surgery, LLC",4,1,2025-03-07,2025-03-07,ETHICON ENDO SURGERY
Microsoft Corporation Health Solutions Group,4,1,2010-07-27,2012-04-12,MICROSOFT HEALTH SOLUTIONS
"Epimed International, Inc.",4,1,2016-04-22,2021-02-01,EPIMED
IMPRIS Imaging Inc,4,1,2025-09-30,2025-09-30,IMPRIS IMAGING
Medtronic Cardiovascular Surgery-the Heart Valve Division,4,1,2014-01-09,2016-08-03,MEDTRONIC CARDIOVASCULAR SURGERY HEART VALVE DIVISION
