firm_name_fda,normalized_name,source,n_records,match_status,n_gvkey_candidates,gvkey,company_name_compustat,sic,costat,cik,cross_entity_family
"Vision-Sciences, Inc.",VISION SCIENCES,part806_recall,2,ambiguous,2.0,,,,,,
"Bausch and Lomb, Incorporated",BAUSCH AND LOMB,part806_recall,2,ambiguous,2.0,,,,,,
"Solta Medical, Inc.",SOLTA MEDICAL,part806_recall,2,ambiguous,2.0,,,,,,
Physio-Control Inc,PHYSIO CONTROL,part806_recall,2,ambiguous,2.0,,,,,,
"Microtek Medical, Inc.",MICROTEK MEDICAL,part806_recall,2,ambiguous,2.0,,,,,,
"SOLTA MEDICAL INC,",SOLTA MEDICAL,part803_maude,2,ambiguous,2.0,,,,,,
"Mallinckrodt, LLC.",MALLINCKRODT,part806_recall,1,ambiguous,2.0,,,,,,
ALCON CO.,ALCON,part803_maude,1,ambiguous,2.0,,,,,,
"MENTOR, CORPORATION",MENTOR,part803_maude,1,ambiguous,2.0,,,,,,
"Lifecore Biomedical, Inc.",LIFECORE BIOMEDICAL,part806_recall,1,ambiguous,2.0,,,,,,
Dade Behring,DADE BEHRING,part806_recall,1,ambiguous,2.0,,,,,,
ALCON INC.,ALCON,part803_maude,1,ambiguous,2.0,,,,,,
Cardiogenesis Corporation,CARDIOGENESIS,part806_recall,1,ambiguous,2.0,,,,,,
"Bausch & Lomb, Inc.",BAUSCH AND LOMB,part806_recall,1,ambiguous,2.0,,,,,,
Bausch & Lomb,BAUSCH AND LOMB,part806_recall,1,ambiguous,2.0,,,,,,
ALCON INC,ALCON,part803_maude,1,ambiguous,2.0,,,,,,
THE ALCON COMPANY,ALCON,part803_maude,1,ambiguous,2.0,,,,,,
THE KENDALL COMPANY,KENDALL,part803_maude,1,ambiguous,2.0,,,,,,
MENTOR          .,MENTOR,part803_maude,1,ambiguous,2.0,,,,,,
MENTOR LLC,MENTOR,part803_maude,1,ambiguous,2.0,,,,,,
MENTOR CORPORATION .,MENTOR,part803_maude,1,ambiguous,2.0,,,,,,
MINIMED INC .,MINIMED,part803_maude,1,ambiguous,2.0,,,,,,
MENTOR COMPANY,MENTOR,part803_maude,1,ambiguous,2.0,,,,,,
MINIMED USA,MINIMED,part803_maude,1,ambiguous,2.0,,,,,,
MENTOR CO.,MENTOR,part803_maude,1,ambiguous,2.0,,,,,,
MENTOR .,MENTOR,part803_maude,1,ambiguous,2.0,,,,,,
SOLTA MEDICAL  INC,SOLTA MEDICAL,part803_maude,1,ambiguous,2.0,,,,,,
"MENTOR, INC",MENTOR,part803_maude,1,ambiguous,2.0,,,,,,
"SOLTA MEDICAL , INC.",SOLTA MEDICAL,part803_maude,1,ambiguous,2.0,,,,,,
MALLINCKRODT INC.,MALLINCKRODT,part803_maude,1,ambiguous,2.0,,,,,,
BAUSCH AND LOMB,BAUSCH AND LOMB,part803_maude,1,ambiguous,2.0,,,,,,
BAUSCH & LOMB INCORPORATED,BAUSCH AND LOMB,part803_maude,1,ambiguous,2.0,,,,,,
BAUSCH & LOMB,BAUSCH AND LOMB,part803_maude,1,ambiguous,2.0,,,,,,
"SOLTA MEDICAL, INC.,",SOLTA MEDICAL,part803_maude,1,ambiguous,2.0,,,,,,
"SOLTA MEDICAL,INC",SOLTA MEDICAL,part803_maude,1,ambiguous,2.0,,,,,,
"ASTRA, LLC",ASTRA,part806_recall,1,ambiguous,2.0,,,,,,
