company_name_fda,normalized_name,candidate_compustat_name,candidate_gvkey,similarity,n_letters,product_types,accept
CellEra LLC,CELLERA,CELERA,127234,92.3,1,Devices,
Brands International Corporation,BRANDS,IBRANDS,107726,92.3,1,Drugs,
"ECI Pharmaceuticals, LLC",ECI PHARMACEUTICALS,CASI PHARMACEUTICALS,063030,92.3,1,Drugs,
Argo Medical Technologies Inc.,ARGO MEDICAL TECHNOLOGIES,MEDICAL CARE TECHNOLOGIES,180637,92.0,1,Devices,
"Trilogy Laboratories, LLC",TRILOGY LABORATORIES,TRIO LABORATORIES,010739,91.9,1,Drugs,
"SCA Pharmaceuticals, Inc.",SCA PHARMACEUTICALS,RA PHARMACEUTICALS,028470,91.9,1,Drugs,
Rpk Pharmaceuticals Inc,RPK PHARMACEUTICALS,RA PHARMACEUTICALS,028470,91.9,1,Drugs,
Vega Technologies Inc.,VEGA TECHNOLOGIES,VEGA BIOTECHNOLOGIES,011126,91.9,2,Devices,
"Paradigm RE, LLC",PARADIGM RE,PARADIGM REDH,176354,91.7,1,Drugs,
Innoveix Pharmaceuticals Inc,INNOVEIX PHARMACEUTICALS,INNOVIVE PHARMACEUTICALS,175386,91.7,1,Drugs,
"Raritan Pharmaceuticals, Inc.",RARITAN PHARMACEUTICALS,SAMARITAN PHARMACEUTICALS,065832,91.7,1,Drugs,
Global Medical Production Co Ltd,GLOBAL MEDICAL PRODUCTION,GLOBAL MEDICAL PRODUCTS,114653,91.7,2,Devices,
Provident Pharmaceuticals Llc,PROVIDENT PHARMACEUTICALS,PROTIDE PHARMACEUTICALS,025003,91.7,1,Drugs,
"Salon Technologies International, Inc",SALON TECHNOLOGIES,ARLO TECHNOLOGIES,033766,91.4,1,Drugs,
IVIM Technologies,IVIM TECHNOLOGIES,IVIVI TECHNOLOGIES,163048,91.4,1,Drugs,
Ipca Laboratories Limited,IPCA LABORATORIES,IMPAX LABORATORIES,061745,91.4,1,Drugs,
"KM PHARMACEUTICAL CO., LTD.",KM PHARMACEUTICAL,K V PHARMACEUTICAL,006315,91.4,1,Drugs,
Tower Laboratories Ltd.,TOWER LABORATORIES,TORR LABORATORIES,010620,91.4,1,Drugs,
"IDEV Technologies, Inc.",IDEV TECHNOLOGIES,EXIDE TECHNOLOGIES,013634,91.4,1,Devices,
"ARG Laboratories, Inc.",ARG LABORATORIES,AURIGA LABORATORIES,183523,91.4,1,Drugs,
Omega Laboratories Inc,OMEGA LABORATORIES,MESA LABORATORIES,007275,91.4,1,Devices,
"ABCO Laboratories, Inc.",ABCO LABORATORIES,ALCON LABORATORIES,001248,91.4,1,Drugs,
Gadal Laboratories Inc.,GADAL LABORATORIES,ADAC LABORATORIES,001115,91.4,1,Drugs,
"XZeal Technologies, Inc.",XZEAL TECHNOLOGIES,XETA TECHNOLOGIES,013443,91.4,1,Devices,
"Bella Pharmaceuticals, Inc.",BELLA PHARMACEUTICALS,LIPELLA PHARMACEUTICALS,041448,90.9,1,Drugs,
"Bell International Laboratories, Inc.",BELL LABORATORIES,DEL LABORATORIES,003840,90.9,1,Drugs,
Olympia Pharmaceuticals,OLYMPIA PHARMACEUTICALS,OLEMA PHARMACEUTICALS,037412,90.9,2,Drugs,
"Par Health USA, LLC",PAR HEALTH,PACER HEALTH,061974,90.9,1,Drugs,
Marel Corporation,MAREL,MARKEL,012909,90.9,1,Devices,
"Toxin Technology, Inc.",TOXIN TECHNOLOGY,YOUXIN TECHNOLOGY,043857,90.9,1,Drugs,
Akan Biosciences Inc,AKAN BIOSCIENCES,AKOYA BIOSCIENCES,038527,90.9,1,Biologics,
"Tenex Health, Inc.",TENEX HEALTH,HEALTH TEX,005550,90.9,2,Devices,
OEM Systems Co. Ltd.,OEM SYSTEMS,COM SYSTEMS,003212,90.9,1,Devices,
"Quadex Pharmaceuticals, Llc",QUADEX PHARMACEUTICALS,QUATRX PHARMACEUTICALS,166481,90.9,1,Drugs,
"Teco Diagnostics, Inc.",TECO DIAGNOSTICS,LEECO DIAGNOSTICS,006644,90.9,1,Devices,
Alan Neuromedical Technologies,ALAN NEUROMEDICAL TECHNOLOGIES,NEUROMEDICAL TECHNOLOGIES,015400,90.9,1,Devices,
"Stason Pharmaceuticals, Inc.",STASON PHARMACEUTICALS,TRACON PHARMACEUTICALS,022697,90.9,1,Drugs,
"Samson Pharmaceuticals, Inc",SAMSON PHARMACEUTICALS,SHAMAN PHARMACEUTICALS,027756,90.9,1,Drugs,
Portal Pharmaceutical,PORTAL PHARMACEUTICAL,PORTOLA PHARMACEUTICALS,017931,90.9,1,Drugs,
Sal Pharma,SAL PHARMA,SMALL PHARMA,034444,90.9,2,Drugs,
"Neitz Instruments Co., Ltd.",NEITZ INSTRUMENTS,UNIT INSTRUMENTS,001877,90.9,1,Devices,
Neilmed Pharmaceuticals Inc,NEILMED PHARMACEUTICALS,INMED PHARMACEUTICALS,064717,90.9,1,Drugs,
Dexta Corporation,DEXTA,DEXTRA,003912,90.9,1,Devices,
Dexcel Ltd.,DEXCEL,EXCEL,017100,90.9,1,Drugs,
"Zyber Pharmaceuticals, Inc",ZYBER PHARMACEUTICALS,ZYNERBA PHARMACEUTICALS,025128,90.9,1,Drugs,
"Denison Pharmaceuticals, LLC",DENISON PHARMACEUTICALS,ENZON PHARMACEUTICALS,004409,90.9,1,Drugs,
AG Industries LLC,INDUSTRIES,1 INDUSTRIES,010676,90.9,1,Devices,
Vilvet Pharmaceuticals Inc.,VILVET PHARMACEUTICALS,VIAMET PHARMACEUTICALS,021024,90.9,1,Drugs,
"Higley Industries, Inc.",HIGLEY INDUSTRIES,HALEY INDUSTRIES,013954,90.9,1,Drugs,
"ASI Medical, Inc.",ASI MEDICAL,ATI MEDICAL,012227,90.9,2,Devices,
"Huron Pharmaceuticals, Inc.",HURON PHARMACEUTICALS,AGOURON PHARMACEUTICALS,013308,90.9,1,Drugs,
Cenova AB,CENOVA,CNOVA,021451,90.9,1,Devices,
VITANG TECHNOLOGY LLC,VITANG TECHNOLOGY,VIANT TECHNOLOGY,037824,90.9,1,Devices,
"Acella Pharmaceuticals, LLC",ACELLA PHARMACEUTICALS,ALLENA PHARMACEUTICALS,032529,90.9,1,Drugs,
JCB Laboratories LLC,JCB LABORATORIES,COBE LABORATORIES,003135,90.9,1,Drugs,
Cardionics SA,CARDIONICS,CARDIOGENICS,183346,90.9,1,Devices,
Leltek Inc.,LELTEK,ELTEK,064278,90.9,1,Devices,
Lux Therapeutics LLC,LUX THERAPEUTICS,LYNX THERAPEUTICS,062846,90.9,1,Biologics,
Lydia Co Ltd.,LYDIA,LYDIAN,179229,90.9,1,Drugs,
CENTURA PHARMACEUTICALS INC,CENTURA PHARMACEUTICALS,ACURA PHARMACEUTICALS,011929,90.9,1,Drugs,
Medical Mega,MEDICAL MEGA,MEGA MEDIA,142298,90.9,1,Drugs,
Merete GmbH,MERETE,MERET,002614,90.9,1,Devices,
Slate Pharmaceuticals,SLATE PHARMACEUTICALS,SANTEN PHARMACEUTICAL,208799,90.5,1,Drugs,
"Edwards Pharmaceuticals, Inc",EDWARDS PHARMACEUTICALS,ARS PHARMACEUTICALS,037495,90.5,1,Drugs,
"AACE Pharmaceuticals, Inc.",AACE PHARMACEUTICALS,ACUMEN PHARMACEUTICALS,038986,90.5,1,Drugs,
