company_name_fda,normalized_name,match_status,gvkey,company_name_compustat,n_gvkey_candidates,review_suggested,n_letters,first_letter_date,last_letter_date,any_device_letter,any_drug_letter,any_biologic_letter,any_medtech_pharma,product_types
"NutraStar, Inc.",NUTRASTAR,matched,158133,NUTRASTAR INTERNATIONAL INC,1,False,1,2013-08-02,2013-08-02,False,False,False,False,Food/Cosmetics
Ocular Therapeutix Inc.,OCULAR THERAPEUTIX,matched,021015,OCULAR THERAPEUTIX INC,1,False,1,2020-09-02,2020-09-02,True,False,False,True,Devices
Option Care,OPTION CARE,matched,025168,OPTION CARE INC,1,False,2,2015-08-27,2016-10-19,False,True,False,True,Drugs
"OraLabs, Incorporated",ORALABS,matched,009413,ORALABS HOLDING CORP,1,False,1,2026-03-11,2026-03-11,False,True,False,True,Drugs
Ortho Clinical Diagnostics Gmbh,ORTHO CLINICAL DIAGNOSTICS,matched,037680,ORTHO CLINICAL DIAG HLDG PLC,1,False,1,2015-09-03,2015-09-03,True,False,False,True,Devices
"Orthosoft, Inc.",ORTHOSOFT,matched,158599,ORTHOSOFT INC,1,False,1,2016-05-27,2016-05-27,True,False,False,True,Devices
"Outset Medical, Inc.",OUTSET MEDICAL,matched,036885,OUTSET MEDICAL INC,1,False,1,2023-07-05,2023-07-05,True,False,False,True,Devices
"PERFORMANCE FOOD GROUP, INC.",PERFORMANCE FOOD,matched,028787,PERFORMANCE FOOD GROUP CO,1,False,1,2010-12-23,2010-12-23,False,False,False,False,Food/Cosmetics
PRONET,PRONET,matched,013628,PRONET INC,1,False,1,2012-09-18,2012-09-18,False,True,False,True,Drugs
Penumbra Inc.,PENUMBRA,matched,026147,PENUMBRA INC,1,False,1,2009-12-31,2009-12-31,True,False,False,True,Devices
Pfizer Inc.,PFIZER,matched,008530,PFIZER INC,1,False,2,2010-05-26,2012-05-24,False,True,False,True,Drugs
"Pfizer, Inc.",PFIZER,matched,008530,PFIZER INC,1,False,1,2010-04-09,2010-04-09,False,True,False,True,Drugs
"PotNetwork Holdings, Inc.",POTNETWORK,matched,019751,POTNETWORK HOLDINGS INC,1,False,1,2019-03-28,2019-03-28,False,False,False,False,Food/Cosmetics
"Power Medical Interventions, Inc",POWER MEDICAL INTERVENTIONS,matched,178722,POWER MEDICAL INTERVENTIONS,1,False,1,2008-10-21,2008-10-21,True,False,False,True,Devices
Prostar Inc.,PROSTAR,matched,183664,PROSTAR HOLDINGS INC,1,False,1,2011-05-19,2011-05-19,False,False,False,False,Food/Cosmetics
Purcell International,PURCELL,matched,008825,PURCELL CO INC,1,False,1,2024-11-05,2024-11-05,False,False,False,False,Food/Cosmetics
QUANTA INC,QUANTA,matched,034011,QUANTA INC,1,False,1,2023-04-19,2023-04-19,False,True,False,True,Drugs
QUANTA INC.,QUANTA,matched,034011,QUANTA INC,1,False,1,2023-04-19,2023-04-19,False,True,False,True,Drugs
Radnostix,RADNOSTIX,matched,065280,RADNOSTIX INC,1,False,1,2011-10-26,2011-10-26,False,True,False,True,Drugs
Reser's Fine Foods Inc.,RESER S FINE FOODS,matched,009075,RESER'S FINE FOODS INC,1,False,1,2016-07-01,2016-07-01,False,False,False,False,Food/Cosmetics
"Reser's Fine Foods, Inc.",RESER S FINE FOODS,matched,009075,RESER'S FINE FOODS INC,1,False,1,2013-11-01,2013-11-01,False,False,False,False,Food/Cosmetics
Ridley USA Inc.,RIDLEY,matched,065238,RIDLEY INC,1,False,1,2017-08-03,2017-08-03,False,False,False,False,Veterinary
Riser Foods Company,RISER FOODS,matched,014792,RISER FOODS INC  -CL A,1,False,1,2013-05-22,2013-05-22,False,False,False,False,Food/Cosmetics
Rite Aid Corporation,RITE AID,matched,009155,RITE AID CORP,1,False,1,2022-10-19,2022-10-19,False,True,False,True,Drugs
Salix Pharmaceuticals Inc,SALIX PHARMACEUTICALS,matched,062977,SALIX PHARMACEUTICALS LTD,1,True,1,2010-03-19,2010-03-19,False,True,False,True,Drugs
Sandoz Incorporated,SANDOZ,matched,043362,SANDOZ GROUP AG,1,True,1,2011-11-18,2011-11-18,False,True,False,True,Drugs
"Scotty's, Inc.",SCOTTY S,matched,009522,SCOTTY'S INC,1,False,1,2009-11-09,2009-11-09,False,False,False,False,Food/Cosmetics
"Sea World, LLC",SEA WORLD,matched,009536,SEA WORLD INC,1,False,1,2012-05-02,2012-05-02,False,False,False,False,Food/Cosmetics
"Sientra, Inc",SIENTRA,matched,022037,SIENTRA INC,1,False,1,2019-03-18,2019-03-18,True,False,False,True,Devices
Sintx Technologies Inc,SINTX TECHNOLOGIES,matched,177981,SINTX TECHNOLOGIES INC,1,False,1,2009-01-27,2009-01-27,True,False,False,True,Devices
Smith & Nephew Inc.,SMITH AND NEPHEW,matched,101317,SMITH & NEPHEW PLC,1,True,1,2015-04-30,2015-04-30,True,False,False,True,Devices
"Smith & Nephew, Inc.",SMITH AND NEPHEW,matched,101317,SMITH & NEPHEW PLC,1,True,1,2014-06-11,2014-06-11,True,False,False,True,Devices
"Snyder's Lance, Inc.",SNYDER S LANCE,matched,006574,SNYDERS-LANCE INC,1,False,1,2017-10-04,2017-10-04,False,False,False,False,Food/Cosmetics
Spectranetics Corporation,SPECTRANETICS,matched,024853,SPECTRANETICS CORP,1,False,1,2016-05-23,2016-05-23,True,False,False,True,Devices
"Spinal Elements, Inc",SPINAL ELEMENTS,matched,037043,SPINAL ELEME HOLDI INC -REDH,1,False,1,2014-06-12,2014-06-12,True,False,False,True,Devices
St. Jude Medical,ST JUDE MEDICAL,matched,009372,ST JUDE MEDICAL INC,1,False,3,2009-04-17,2015-09-30,True,False,False,True,Devices
Staar Surgical Company,STAAR SURGICAL,matched,009969,STAAR SURGICAL CO,1,False,1,2014-05-21,2014-05-21,True,False,False,True,Devices
Staples Inc.,STAPLES,matched,015521,STAPLES INC,1,False,1,2012-03-07,2012-03-07,False,False,False,False,Food/Cosmetics
Steris Corporation,STERIS,matched,025313,STERIS PLC,1,True,1,2011-02-09,2011-02-09,True,False,False,True,Devices
Stryker Corporation,STRYKER,matched,010115,STRYKER CORP,1,False,1,2013-03-06,2013-03-06,True,False,False,True,Devices
"Sumitomo Chemical Co., Ltd.",SUMITOMO CHEMICAL,matched,100689,SUMITOMO CHEMICAL CO LTD,1,False,1,2009-08-24,2009-08-24,False,True,False,True,Drugs
"Summer Infant, Inc.",SUMMER INFANT,matched,176874,SUMMER INFANT INC,1,False,1,2010-08-12,2010-08-12,True,False,False,True,Devices
Sunrise International Group,SUNRISE,matched,108397,SUNRISE INTL INC,1,False,1,2021-05-07,2021-05-07,False,False,False,False,Food/Cosmetics
"Symmetry Medical USA, Inc",SYMMETRY MEDICAL,matched,160600,SYMMETRY MEDICAL INC,1,False,1,2009-10-07,2009-10-07,True,False,False,True,Devices
"Symmetry Surgical, Inc.",SYMMETRY SURGICAL,matched,022330,SYMMETRY SURGICAL INC,1,False,1,2009-10-07,2009-10-07,True,False,False,True,Devices
SynCardia Systems LLC,SYNCARDIA SYSTEMS,matched,026196,SYNCARDIA SYSTEMS INC  -REDH,1,False,1,2018-04-03,2018-04-03,True,False,False,True,Devices
Synbiotics Limited,SYNBIOTICS,matched,010237,SYNBIOTICS CORP,1,True,1,2010-12-16,2010-12-16,False,True,False,True,Drugs
TELEMED,TELEMED,matched,010409,TELEMED CORP,1,False,1,2017-11-14,2017-11-14,True,False,False,True,Devices
TLC Vision Corporation,TLC VISION,matched,062465,TLC VISION CORP,1,False,1,2010-04-20,2010-04-20,True,False,False,True,Devices
Takeda Pharmaceutical Company Limited,TAKEDA PHARMACEUTICAL,matched,100718,TAKEDA PHARMACEUTICAL CO LTD,1,False,1,2020-06-10,2020-06-10,False,True,False,True,Drugs
Tercica,TERCICA,matched,156293,TERCICA INC,1,False,1,2010-11-02,2010-11-02,False,True,False,True,Drugs
Teva Pharmaceutical Industries,TEVA PHARMACEUTICAL INDUSTRIES,matched,014538,TEVA PHARMACEUTICALS,1,False,1,2011-01-31,2011-01-31,False,True,False,True,Drugs
"The Cherry Co., Ltd.",CHERRY,matched,002975,CHERRY CORP,1,True,1,2011-09-12,2011-09-12,False,False,False,False,Food/Cosmetics
The Coca-Cola Company,COCA COLA,matched,003144,COCA-COLA CO,1,False,1,2008-12-10,2008-12-10,False,False,False,False,Food/Cosmetics
"The Hain Celestial Group, Inc",HAIN CELESTIAL,matched,029609,HAIN CELESTIAL GROUP INC,1,False,1,2010-02-22,2010-02-22,False,False,False,False,Food/Cosmetics
"The Hain Celestial Group, Inc.",HAIN CELESTIAL,matched,029609,HAIN CELESTIAL GROUP INC,1,False,1,2010-12-03,2010-12-03,False,False,False,False,Food/Cosmetics
The Hershey Company,HERSHEY,matched,005597,HERSHEY CO,1,False,1,2012-02-14,2012-02-14,False,False,False,False,Food/Cosmetics
The Kroger Co.,KROGER,matched,006502,KROGER CO,1,False,1,2025-12-12,2025-12-12,False,False,False,False,Food/Cosmetics
"The Lennox International, Inc",LENNOX,matched,122380,LENNOX INTERNATIONAL INC,1,False,1,2020-09-29,2020-09-29,False,False,False,False,Veterinary
The Procter & Gamble Co.,PROCTER AND GAMBLE,matched,008762,PROCTER & GAMBLE CO,1,False,1,2009-10-29,2009-10-29,False,True,False,True,Drugs
The Quaker Oats Co.,QUAKER OATS,matched,008852,QUAKER OATS CO,1,False,1,2024-06-12,2024-06-12,False,False,False,False,Food/Cosmetics
Thoratec LLC,THORATEC,matched,010550,THORATEC CORP,1,False,1,2012-01-03,2012-01-03,True,False,False,True,Devices
Tropic Trading Co.,TROPIC TRADING,matched,026120,TROPIC TRADING LTD,1,True,1,2021-12-06,2021-12-06,False,False,False,False,Food/Cosmetics
"US Foods, Inc.",FOODS,matched,018312,US FOODS HOLDING CORP,1,False,1,2013-06-04,2013-06-04,False,False,False,False,Food/Cosmetics
Us Lab Research,LAB RESEARCH,matched,175321,LAB RESEARCH INC,1,False,1,2009-01-06,2009-01-06,False,True,False,True,Drugs
"Varian Medical Systems, Inc.",VARIAN MEDICAL SYSTEMS,matched,011115,VARIAN MEDICAL SYSTEMS INC,1,False,1,2010-05-17,2010-05-17,True,False,False,True,Devices
Virbac Corporation,VIRBAC,matched,030451,VIRBAC CORP,1,False,2,2008-12-10,2015-12-18,False,False,False,False,Veterinary
"Vita Food Products, Inc.",VITA FOOD PRODUCTS,matched,064760,VITA FOOD PRODUCTS INC,1,False,1,2015-02-18,2015-02-18,False,False,False,False,Food/Cosmetics
Vitality Products Company Inc.,VITALITY PRODUCTS,matched,108767,VITALITY PRODUCTS INC,1,False,1,2010-11-01,2010-11-01,False,False,False,False,Food/Cosmetics
"Vivos Therapeutics, Inc.",VIVOS THERAPEUTICS,matched,037290,VIVOS THERAPEUTICS INC,1,False,1,2018-01-12,2018-01-12,True,False,False,True,Devices
WESTMINSTER INTERNATIONAL,WESTMINSTER,matched,011438,WESTMINSTER CORP,1,False,1,2021-03-04,2021-03-04,True,False,False,True,Devices
Walmart Inc.,WALMART,matched,011259,WALMART INC,1,False,1,2025-12-12,2025-12-12,False,False,False,False,Food/Cosmetics
Whole Foods Market Group Inc.,WHOLE FOODS MARKET,matched,024893,WHOLE FOODS MARKET INC,1,False,1,2016-06-08,2016-06-08,False,False,False,False,Food/Cosmetics
"XTANT Medical Holdings, Inc",XTANT MEDICAL,matched,185193,XTANT MEDICAL HOLDINGS INC,1,False,2,2013-01-28,2013-01-28,True,False,False,True,Devices
Xanodyne Pharmaceuticals Inc,XANODYNE PHARMACEUTICALS,matched,179833,XANODYNE PHARMACEUTICLS-REDH,1,False,1,2009-03-30,2009-03-30,False,True,False,True,Drugs
ZOLL Medical Corporation,ZOLL MEDICAL,matched,025579,ZOLL MEDICAL CORP,1,False,3,2010-09-30,2026-04-30,True,False,False,True,Devices
"Zevex, Inc.",ZEVEX,matched,023387,ZEVEX INTERNATIONAL INC,1,False,1,2011-04-20,2011-04-20,True,False,False,True,Devices
Zoll Medical Corporation,ZOLL MEDICAL,matched,025579,ZOLL MEDICAL CORP,1,False,1,2010-02-05,2010-02-05,True,False,False,True,Devices
"bioMerieux, Inc.",BIOMERIEUX,matched,270578,BIOMERIEUX SA,1,True,1,2012-08-23,2012-08-23,True,False,False,True,Devices
"iSatori, Inc.",ISATORI,matched,171057,ISATORI INC,1,False,1,2012-04-24,2012-04-24,False,False,False,False,Food/Cosmetics
