company_name_fda,normalized_name,match_status,gvkey,company_name_compustat,n_gvkey_candidates,review_suggested,n_letters,first_letter_date,last_letter_date,any_device_letter,any_drug_letter,any_biologic_letter,any_medtech_pharma,product_types
Becton Dickinson & Company,BECTON DICKINSON AND,matched,002111,BECTON DICKINSON & CO,1,False,2,2009-05-11,2018-01-11,True,False,False,True,Devices
"Beta Bionics, Inc.",BETA BIONICS,matched,045785,BETA BIONICS INC,1,False,1,2026-01-29,2026-01-29,True,False,False,True,Devices
Bio-Rad Laboratories GmbH,BIO RAD LABORATORIES,matched,002220,BIO-RAD LABORATORIES INC,1,True,1,2015-09-03,2015-09-03,True,False,False,True,Devices
BioReliance Corporation,BIORELIANCE,matched,065169,BIORELIANCE CORP,1,False,1,2009-01-05,2009-01-05,False,False,True,True,Biologics
"Biogenix USA, LLC",BIOGENIX,matched,002227,BIOGENIX INC,1,False,1,2014-12-11,2014-12-11,False,False,False,False,Food/Cosmetics
Biomerieux Inc,BIOMERIEUX,matched,270578,BIOMERIEUX SA,1,True,1,2014-10-10,2014-10-10,True,False,False,True,Devices
"Biomet, Inc.",BIOMET,matched,002230,BIOMET INC,1,False,2,2010-07-27,2018-08-24,True,False,False,True,Devices
Boston Scientific Corporation,BOSTON SCIENTIFIC,matched,025279,BOSTON SCIENTIFIC CORP,1,False,1,2014-04-10,2014-04-10,True,False,False,True,Devices
Burzynski Research Institute,BURZYNSKI RESEARCH INSTITUTE,matched,022401,BURZYNSKI RESEARCH INSTITUTE,1,False,1,2013-12-03,2013-12-03,False,True,False,True,Drugs
CHEWY INC,CHEWY,matched,035287,CHEWY INC,1,False,1,2023-11-30,2023-11-30,False,False,False,False,Veterinary
CUE HEALTH INC,CUE HEALTH,matched,039563,CUE HEALTH INC,1,False,1,2024-05-09,2024-05-09,True,False,False,True,Devices
CVS Health,CVS HEALTH,matched,007241,CVS HEALTH CORP,1,False,2,2010-09-27,2023-09-11,False,True,False,True,Drugs
Calavo Growers Inc,CALAVO GROWERS,matched,147708,CALAVO GROWERS INC,1,False,1,2024-10-25,2024-10-25,False,False,False,False,Food/Cosmetics
"Caliber Imaging & Diagnostics,",CALIBER IMAGING AND DIAGNOSTICS,matched,189363,CALIBER IMAGING & DIAGNOSTIC,1,False,1,2015-01-08,2015-01-08,True,False,False,True,Devices
Cantronic Systems Inc.,CANTRONIC SYSTEMS,matched,150760,CANTRONIC SYSTEMS INC,1,False,1,2021-03-04,2021-03-04,True,False,False,True,Devices
Carey USA LLC,CAREY,matched,064822,CAREY INTERNATIONAL INC,1,False,1,2020-06-10,2020-06-10,False,False,False,False,Food/Cosmetics
Cel-Sci Corporation,CEL SCI,matched,012711,CEL-SCI CORP,1,False,1,2011-08-05,2011-08-05,False,True,False,True,Drugs
Celularity Inc,CELULARITY,matched,039277,CELULARITY INC,1,False,1,2025-12-01,2025-12-01,False,False,True,True,Biologics
Cepheid Ab,CEPHEID,matched,136804,CEPHEID INC,1,True,1,2015-07-23,2015-07-23,True,False,False,True,Devices
Chattem Inc,CHATTEM,matched,002950,CHATTEM INC,1,False,1,2011-01-28,2011-01-28,False,True,False,True,Drugs
Church & Dwight Inc,CHURCH AND DWIGHT,matched,003026,CHURCH & DWIGHT INC,1,False,1,2011-05-16,2011-05-16,True,False,False,True,Devices
Clorox Co (The),CLOROX,matched,003121,CLOROX CO/DE,1,False,1,2016-12-15,2016-12-15,False,True,False,True,Drugs
Coastal Contacts Inc.,COASTAL CONTACTS,matched,266196,COASTAL CONTACTS INC,1,False,1,2013-12-11,2013-12-11,True,False,False,True,Devices
ConAgra Brands Inc,CONAGRA BRANDS,matched,003362,CONAGRA BRANDS INC,1,False,1,2013-09-20,2013-09-20,False,False,False,False,Food/Cosmetics
ConMed Corporation,CONMED,matched,013623,CONMED CORP,1,False,1,2014-01-29,2014-01-29,True,False,False,True,Devices
Conair LLC,CONAIR,matched,013148,CONAIR CORP/DE,1,False,1,2013-08-12,2013-08-12,True,False,False,True,Devices
Conformis Inc.,CONFORMIS,matched,024084,CONFORMIS INC,1,False,1,2019-12-10,2019-12-10,True,False,False,True,Devices
"ConvaTec, Inc",CONVATEC,matched,322728,CONVATEC GROUP PLC,1,True,1,2013-05-24,2013-05-24,True,False,False,True,Devices
Cook Incorporated,COOK,matched,003493,COOK INTERNATIONAL INC,1,False,1,2014-09-16,2014-09-16,True,False,False,True,Devices
Cordis LLC,CORDIS,matched,003520,CORDIS CORP,1,False,1,2011-02-16,2011-02-16,True,False,False,True,Devices
"Cosco International, Inc.",COSCO,matched,003544,COSCO INC,1,False,1,2025-04-14,2025-04-14,False,True,False,True,Drugs
Covalon Technologies Ltd.,COVALON TECHNOLOGIES,matched,161840,COVALON TECHNOLOGIES LTD,1,False,1,2021-05-06,2021-05-06,False,True,False,True,Drugs
"Covidien, LP",COVIDIEN,matched,177264,COVIDIEN PLC,1,True,1,2012-06-14,2012-06-14,True,False,False,True,Devices
"Craftmatic Industries, Inc.",CRAFTMATIC INDUSTRIES,matched,012737,CRAFTMATIC INDUSTRIES INC,1,False,1,2015-02-17,2015-02-17,True,False,False,True,Devices
"Cutera, Inc.",CUTERA,matched,146648,CUTERA INC,1,False,2,2012-07-09,2022-11-10,True,False,False,True,Devices
"CytoDyn, Inc.",CYTODYN,matched,164720,CYTODYN INC,1,False,1,2022-02-11,2022-02-11,False,True,False,True,Drugs
"DEWMAR INTERNATIONAL BMC, INC",DEWMAR BMC,matched,006014,DEWMAR INTL BMC INC,1,False,1,2014-03-27,2014-03-27,False,False,False,False,Food/Cosmetics
DSM - Firmenich,DSM FIRMENICH,matched,102454,DSM FIRMENICH AG,1,False,1,2019-10-11,2019-10-11,False,False,False,False,Veterinary
"Darling Ingredients, Inc.",DARLING INGREDIENTS,matched,030651,DARLING INGREDIENTS INC,1,False,1,2019-11-18,2019-11-18,False,False,False,False,Veterinary
Datascope Corp.,DATASCOPE,matched,003786,DATASCOPE CORP,1,False,2,2018-09-11,2019-02-06,True,False,False,True,Devices
"Delta Air Lines, Inc.",DELTA AIR LINES,matched,003851,DELTA AIR LINES INC,1,False,1,2011-04-13,2011-04-13,False,False,False,False,Food/Cosmetics
Dentsply Sirona Inc.,DENTSPLY SIRONA,matched,013700,DENTSPLY SIRONA INC,1,False,1,2013-04-11,2013-04-11,True,False,False,True,Devices
"Dexcom, Inc.",DEXCOM,matched,162887,DEXCOM INC,1,False,3,2010-05-21,2025-03-04,True,False,False,True,Devices
Diamond Foods LLC,DIAMOND FOODS,matched,163627,DIAMOND FOODS INC,1,False,1,2010-02-22,2010-02-22,False,False,False,False,Food/Cosmetics
"Dr Pepper/Seven Up, Inc.",DR PEPPER SEVEN UP,matched,015273,DR PEPPER/SEVEN UP,1,False,1,2010-08-31,2010-08-31,False,False,False,False,Food/Cosmetics
Dr. Reddy's Laboratories Limited,DR REDDY S LABORATORIES,matched,223098,DR REDDY'S LABORATORIES LTD,1,False,1,2015-11-05,2015-11-05,False,True,False,True,Drugs
Dr. Reddy's Laboratories Ltd.,DR REDDY S LABORATORIES,matched,223098,DR REDDY'S LABORATORIES LTD,1,False,1,2015-11-05,2015-11-05,False,True,False,True,Drugs
"Dreyer's Grand Ice Cream, Inc.",DREYER S GRAND ICE CREAM,matched,004078,DREYER'S GRAND ICE CRM HLDGS,1,False,1,2010-02-22,2010-02-22,False,False,False,False,Food/Cosmetics
EAGLE ENERGY USA INC,EAGLE ENERGY,matched,185970,EAGLE ENERGY INC,1,False,1,2021-12-01,2021-12-01,False,True,False,True,Drugs
EFT Inc,EFT,matched,106554,EFT HOLDINGS INC,1,False,1,2009-08-19,2009-08-19,False,False,False,False,Food/Cosmetics
"Edwards Lifesciences, LLC",EDWARDS LIFESCIENCES,matched,133366,EDWARDS LIFESCIENCES CORP,1,False,2,2010-03-01,2013-05-24,True,False,False,True,Devices
"Eisai, Inc.",EISAI,matched,100418,EISAI CO LTD,1,True,1,2009-11-06,2009-11-06,False,True,False,True,Drugs
Elevate,ELEVATE,matched,182908,ELEVATE INC,1,False,1,2025-09-09,2025-09-09,False,True,False,True,Drugs
Eli Lilly & Company,ELI LILLY AND,matched,006730,LILLY (ELI) & CO,1,False,3,2025-09-09,2025-09-09,False,True,False,True,Drugs
Encompass Group LLC,ENCOMPASS,matched,031283,ENCOMPASS HOLDINGS INC,1,False,1,2010-06-03,2010-06-03,True,False,False,True,Devices
Entellus Medical Inc.,ENTELLUS MEDICAL,matched,022667,ENTELLUS MEDICAL INC,1,False,1,2017-04-06,2017-04-06,True,False,False,True,Devices
Entia Biosciences Inc,ENTIA BIOSCIENCES,matched,178743,ENTIA BIOSCIENCES INC,1,False,1,2021-01-06,2021-01-06,False,False,False,False,Food/Cosmetics
Envoy Medical Corporation,ENVOY MEDICAL,matched,038030,ENVOY MEDICAL INC,1,False,1,2025-11-13,2025-11-13,True,False,False,True,Devices
Evenflo Co Inc,EVENFLO,matched,146214,EVENFLO INC,1,False,1,2009-08-25,2009-08-25,True,False,False,True,Devices
Evoqua Water Technologies LLC,EVOQUA WATER TECHNOLOGIES,matched,032610,EVOQUA WATER TECH,1,False,1,2014-04-17,2014-04-17,True,False,False,True,Devices
"Exactech, Inc.",EXACTECH,matched,062948,EXACTECH INC,1,False,1,2024-01-19,2024-01-19,True,False,False,True,Devices
"EyePoint US, Inc.",EYEPOINT,matched,253527,EYEPOINT INC,1,False,1,2024-07-12,2024-07-12,False,True,False,True,Drugs
Fresenius SE & Co. KGaA,FRESENIUS SE AND KGAA,matched,202305,FRESENIUS SE & CO KGAA,1,False,2,2011-01-28,2011-04-06,True,False,False,True,Devices
Fujifilm Corporation,FUJIFILM,matched,004925,FUJIFILM HLDGS CORP,1,False,1,2018-03-09,2018-03-09,True,False,False,True,Devices
"Galena Biopharma, Inc.",GALENA BIOPHARMA,matched,179605,GALENA BIOPHARMA INC,1,False,1,2015-04-03,2015-04-03,False,True,False,True,Drugs
General Medical Company,GENERAL MEDICAL,matched,005067,GENERAL MEDICAL CORP,1,False,1,2016-06-02,2016-06-02,True,False,False,True,Devices
"General Mills, Inc",GENERAL MILLS,matched,005071,GENERAL MILLS INC,1,False,1,2009-05-05,2009-05-05,False,False,False,False,Food/Cosmetics
Genzyme Corporation,GENZYME,matched,012233,GENZYME CORP,1,False,1,2025-01-15,2025-01-15,False,True,False,True,Drugs
"GeoTec, Inc.",GEOTEC,matched,125377,GEOTEC INC,1,False,1,2015-09-30,2015-09-30,True,False,False,True,Devices
Gerber Products Company,GERBER PRODUCTS,matched,005141,GERBER PRODUCTS CO,1,False,1,2010-02-22,2010-02-22,False,False,False,False,Food/Cosmetics
Gilead Sciences Inc,GILEAD SCIENCES,matched,024856,GILEAD SCIENCES INC,1,False,1,2010-09-21,2010-09-21,False,True,False,True,Drugs
"Globus Medical, Inc.",GLOBUS MEDICAL,matched,171002,GLOBUS MEDICAL INC,1,False,2,2013-09-26,2024-07-15,True,False,False,True,Devices
Granules India Limited,GRANULES INDIA,matched,257195,GRANULES INDIA LTD,1,False,1,2025-02-26,2025-02-26,False,True,False,True,Drugs
Gsk,GSK,matched,005180,GSK PLC,1,False,1,2010-04-19,2010-04-19,False,True,False,True,Drugs
Hanover Foods Corporation,HANOVER FOODS,matched,028730,HANOVER FOODS CORP/PA,1,False,2,2010-10-21,2021-03-26,False,False,False,False,Food/Cosmetics
"Heartware, Inc.",HEARTWARE,matched,271794,HEARTWARE INTERNATIONAL INC,1,False,1,2014-06-02,2014-06-02,True,False,False,True,Devices
Hill-Rom Inc,HILL ROM,matched,005639,HILL-ROM HOLDINGS INC,1,False,1,2012-03-02,2012-03-02,True,False,False,True,Devices
"Hillestad Pharmaceuticals USA, Inc.",HILLESTAD PHARMACEUTICALS,matched,106836,HILLESTAD PHARMACEUTICALS IN,1,False,1,2013-04-17,2013-04-17,False,False,False,False,Food/Cosmetics
"Hologic, Inc",HOLOGIC,matched,020904,HOLOGIC INC,1,False,1,2024-12-18,2024-12-18,True,False,False,True,Devices
"Hooper Holmes, Inc.",HOOPER HOLMES,matched,005697,HOOPER HOLMES INC,1,False,1,2010-12-22,2010-12-22,True,False,False,True,Devices
Horizon Air Industries Inc,HORIZON AIR INDUSTRIES,matched,005701,HORIZON AIR INDUSTRIES INC,1,False,1,2016-05-13,2016-05-13,False,False,False,False,Food/Cosmetics
Hospira Inc,HOSPIRA,matched,160255,HOSPIRA INC,1,False,1,2009-08-12,2009-08-12,True,False,False,True,Devices
"Hospira, Inc.",HOSPIRA,matched,160255,HOSPIRA INC,1,False,4,2010-04-12,2017-02-14,True,True,False,True,Devices; Drugs
ICU Medical Inc.,ICU MEDICAL,matched,025110,ICU MEDICAL INC,1,False,2,2021-10-01,2025-04-04,True,False,False,True,Devices
"ICU Medical, Inc.",ICU MEDICAL,matched,025110,ICU MEDICAL INC,1,False,3,2010-04-12,2013-05-09,True,True,False,True,Devices; Drugs
Illinois Tool Works Inc,ILLINOIS TOOL WORKS,matched,005878,ILLINOIS TOOL WORKS,1,False,1,2016-10-19,2016-10-19,False,True,False,True,Drugs
"Impax Laboratories, LLC.",IMPAX LABORATORIES,matched,061745,IMPAX LABORATORIES INC,1,False,1,2011-05-31,2011-05-31,False,True,False,True,Drugs
Insulet Corporation,INSULET,matched,177227,INSULET CORP,1,False,1,2015-06-05,2015-06-05,True,False,False,True,Devices
Integra LifeSciences Corporation,INTEGRA LIFESCIENCES,matched,061181,INTEGRA LIFESCIENCES HOLDNGS,1,False,2,2011-12-21,2024-12-19,True,False,False,True,Devices
"Intuitive Surgical, Inc.",INTUITIVE SURGICAL,matched,136725,INTUITIVE SURGICAL INC,1,False,1,2013-07-16,2013-07-16,True,False,False,True,Devices
Invacare Corporation,INVACARE,matched,006158,INVACARE CORP,1,False,2,2010-12-15,2021-11-18,True,False,False,True,Devices
J.M. Smucker LLC,J M SMUCKER,matched,009777,SMUCKER (JM) CO,1,False,1,2023-01-24,2023-01-24,False,False,False,False,Food/Cosmetics
"Jazz Pharmaceuticals, Inc",JAZZ PHARMACEUTICALS,matched,177287,JAZZ PHARMACEUTICALS PLC,1,True,3,2010-07-06,2012-09-18,False,True,False,True,Drugs
"Kaleido Biosciences, Inc.",KALEIDO BIOSCIENCES,matched,034640,KALEIDO BIOSCIENCES INC,1,False,1,2021-08-26,2021-08-26,False,True,False,True,Drugs
Kerr Corporation,KERR,matched,006402,KERR GROUP INC,1,False,1,2012-07-17,2012-07-17,True,False,False,True,Devices
Kerry Inc,KERRY,matched,100801,KERRY GROUP PLC,1,True,1,2018-07-27,2018-07-27,False,False,False,False,Food/Cosmetics
Kerry Inc.,KERRY,matched,100801,KERRY GROUP PLC,1,True,2,2009-11-13,2019-04-02,False,False,False,False,Food/Cosmetics
Kimberly-Clark Corporation,KIMBERLY CLARK,matched,006435,KIMBERLY-CLARK CORP,1,False,1,2012-08-08,2012-08-08,True,False,False,True,Devices
LCA Vision Inc,LCA VISION,matched,061900,LCA VISION INC,1,False,1,2009-10-30,2009-10-30,True,False,False,True,Devices
LCA Vision Inc.,LCA VISION,matched,061900,LCA VISION INC,1,False,2,2009-10-09,2009-10-09,True,False,False,True,Devices
"LCA Vision, Inc",LCA VISION,matched,061900,LCA VISION INC,1,False,1,2009-10-09,2009-10-09,True,False,False,True,Devices
LCC Ltd.,LCC,matched,063635,LCC INTERNATIONAL INC  -CL A,1,True,2,2023-08-03,2024-11-22,False,True,False,True,Drugs
"Lannett Company, Inc.",LANNETT,matched,022632,LANNETT CO INC,1,False,1,2009-03-30,2009-03-30,False,True,False,True,Drugs
"LeMaitre Vascular, Inc.",LEMAITRE VASCULAR,matched,174390,LEMAITRE VASCULAR INC,1,False,2,2010-05-11,2025-08-11,True,False,False,True,Devices
LifeCell Corp,LIFECELL,matched,024982,LIFECELL CORP,1,False,1,2015-06-01,2015-06-01,True,False,False,True,Devices
LifeCell Corporation,LIFECELL,matched,024982,LIFECELL CORP,1,False,2,2008-10-10,2011-05-06,True,False,False,True,Devices
Lifevantage Corp,LIFEVANTAGE,matched,025027,LIFEVANTAGE CORP,1,False,1,2017-04-17,2017-04-17,False,True,False,True,Drugs; Food/Cosmetics
"Lifeway Foods, Inc.",LIFEWAY FOODS,matched,015087,LIFEWAY FOODS INC,1,False,1,2011-02-18,2011-02-18,False,False,False,False,Food/Cosmetics
Lincare Inc,LINCARE,matched,025062,LINCARE HOLDINGS INC,1,False,1,2016-04-25,2016-04-25,False,True,False,True,Drugs
LivaNova USA Inc.,LIVANOVA,matched,027810,LIVANOVA PLC,1,True,1,2015-12-29,2015-12-29,True,False,False,True,Devices
Loreal,LOREAL,matched,100581,LOREAL SA,1,False,1,2015-02-12,2015-02-12,False,False,False,False,Food/Cosmetics
Luminex Corporation,LUMINEX,matched,133504,LUMINEX CORP,1,False,3,2009-05-14,2020-06-26,True,False,False,True,Devices
MIT,MIT,matched,176745,MIT HOLDING INC,1,False,1,2024-06-21,2024-06-21,False,False,True,True,Biologics
MannKind Corporation,MANNKIND,matched,160340,MANNKIND CORP,1,False,1,2018-10-05,2018-10-05,False,True,False,True,Drugs
Mannatech Inc,MANNATECH,matched,112968,MANNATECH INC,1,False,1,2017-11-14,2017-11-14,False,False,False,False,Food/Cosmetics
Market America Inc,MARKET AMERICA,matched,031057,MARKET AMERICA INC,1,False,1,2020-02-12,2020-02-12,False,False,False,False,Food/Cosmetics
Masimo Corporation,MASIMO,matched,177881,MASIMO CORP,1,False,1,2014-08-13,2014-08-13,True,False,False,True,Devices
"Matrixx Initiatives, Inc.",MATRIXX INITIATIVES,matched,062700,MATRIXX INITIATIVES INC,1,False,2,2009-06-16,2011-06-03,False,True,False,True,Drugs
McKesson,MCKESSON,matched,007171,MCKESSON CORP,1,False,1,2019-02-07,2019-02-07,False,True,False,True,Drugs
McKesson Corporation,MCKESSON,matched,007171,MCKESSON CORP,1,False,1,2020-01-29,2020-01-29,False,False,False,False,Veterinary
"Measurement Specialties, Inc.",MEASUREMENT SPECIALTIES,matched,012236,MEASUREMENT SPECIALTIES INC,1,False,1,2011-10-12,2011-10-12,True,False,False,True,Devices
MedX Health Corp,MEDX HEALTH,matched,164696,MEDX HEALTH CORP,1,False,1,2014-09-11,2014-09-11,True,False,False,True,Devices
Medical Innovations,MEDICAL INNOVATIONS,matched,015852,MEDICAL INNOVATIONS INC,1,False,1,2014-05-12,2014-05-12,True,False,False,True,Devices
Medivators Inc,MEDIVATORS,matched,024498,MEDIVATORS INC,1,False,1,2009-07-31,2009-07-31,True,False,False,True,Devices
"Medline Industries, LP",MEDLINE INDUSTRIES,matched,007224,MEDLINE INDUSTRIES INC,1,False,4,2010-03-12,2026-05-28,True,True,False,True,Devices; Drugs
"Medtronic, Inc.",MEDTRONIC,matched,007228,MEDTRONIC PLC,1,True,2,2009-11-09,2018-07-30,True,False,False,True,Devices
Merck & Co Inc,MERCK AND,matched,007257,MERCK & CO INC,1,False,1,2012-02-17,2012-02-17,False,True,False,True,Drugs
Merck & Co. Inc,MERCK AND,matched,007257,MERCK & CO INC,1,False,1,2010-03-12,2010-03-12,False,False,False,False,Veterinary
Merck Serono SA,MERCK SERONO,matched,102045,MERCK SERONO SA,1,False,1,2011-12-15,2011-12-15,False,True,False,True,Drugs
"Merge Healthcare, Inc.",MERGE HEALTHCARE,matched,066630,MERGE HEALTHCARE INC,1,False,1,2015-09-30,2015-09-30,True,False,False,True,Devices
"MiMedx Group, Inc.",MIMEDX,matched,178157,MIMEDX GROUP INC,1,False,1,2023-12-20,2023-12-20,False,False,True,True,Biologics
Micro Labs Limited,MICRO LABS,matched,107413,MICRO LABS INC,1,True,1,2015-01-09,2015-01-09,False,True,False,True,Drugs
Momentum,MOMENTUM,matched,021092,MOMENTUM CORP,1,False,1,2026-06-08,2026-06-08,False,True,False,True,Drugs
Moog Inc,MOOG,matched,007549,MOOG INC  -CL A,1,False,1,2011-04-20,2011-04-20,True,False,False,True,Devices
Nature'S Sunshine Products Inc,NATURE S SUNSHINE PRODUCTS,matched,007799,NATURES SUNSHINE PRODS INC,1,False,1,2009-06-05,2009-06-05,False,False,False,False,Food/Cosmetics
Natus Medical Incorporated,NATUS MEDICAL,matched,144436,NATUS MEDICAL INC,1,False,1,2015-04-10,2015-04-10,True,False,False,True,Devices
Neogen Corporation,NEOGEN,matched,016453,NEOGEN CORP,1,False,1,2016-01-26,2016-01-26,False,False,False,False,Veterinary
"Nephros, Inc.",NEPHROS,matched,151423,NEPHROS INC,1,False,1,2015-05-27,2015-05-27,True,False,False,True,Devices
Nestle USA,NESTLE,matched,016603,NESTLE SA/AG,1,False,1,2009-12-04,2009-12-04,False,False,False,False,Food/Cosmetics
"North West Company International, Inc.",NORTH WEST,matched,023994,NORTH WEST CO INC,1,False,1,2011-08-08,2011-08-08,False,False,False,False,Food/Cosmetics
"Noven Pharmaceuticals, Inc.",NOVEN PHARMACEUTICALS,matched,014918,NOVEN PHARMACEUTICALS INC,1,False,2,2011-08-25,2016-08-05,False,True,False,True,Drugs
Novo Nordisk A/S,NOVO NORDISK A S,matched,008020,NOVO NORDISK A/S,1,False,1,2012-12-12,2012-12-12,False,True,False,True,Drugs
NuVasive Inc,NUVASIVE,matched,264385,NUVASIVE INC,1,False,1,2013-03-12,2013-03-12,True,False,False,True,Devices
Nutra Pharma Corporation,NUTRA PHARMA,matched,145206,NUTRA PHARMA CORP,1,False,1,2019-03-11,2019-03-11,False,True,False,True,Drugs
