firm_name_fda,normalized_name,source,n_records,match_status,n_gvkey_candidates,gvkey,company_name_compustat,sic,costat,cik,cross_entity_family
Cardinal Health,CARDINAL HEALTH,part806_recall,168,out_of_industry,,2751.0,CARDINAL HEALTH INC,5122.0,,,
"Fresenius Medical Care Holdings, Inc.",FRESENIUS MEDICAL CARE,part806_recall,162,out_of_industry,,212782.0,FRESENIUS MEDICAL CARE AG,8090.0,,,
Beckman Coulter Inc,BECKMAN COULTER,part806_recall,156,out_of_industry,,15106.0,BECKMAN COULTER INC,3826.0,,,
AIRGAS USA,AIRGAS,part803_maude,144,out_of_industry,,12950.0,AIRGAS INC,5084.0,,,
KIMBERLY-CLARK,KIMBERLY CLARK,part803_maude,137,out_of_industry,,6435.0,KIMBERLY-CLARK CORP,2621.0,,,
RADIONICS,RADIONICS,part803_unmatched,130,out_of_industry,,8923.0,RADIONICS INC,3669.0,,,
KIMBERLY-CLARK CORP.,KIMBERLY CLARK,part803_maude,125,out_of_industry,,6435.0,KIMBERLY-CLARK CORP,2621.0,,,
SYSMEX,SYSMEX,part803_unmatched,121,out_of_industry,,212712.0,SYSMEX CORP,3826.0,,,
MEDLINE INDUSTRIES INC,MEDLINE INDUSTRIES,part803_maude,121,out_of_industry,,7224.0,MEDLINE INDUSTRIES INC,2300.0,,,
KIMBERLY CLARK,KIMBERLY CLARK,part803_maude,118,out_of_industry,,6435.0,KIMBERLY-CLARK CORP,2621.0,,,
BECKMAN COULTER INC,BECKMAN COULTER,part803_maude,118,out_of_industry,,15106.0,BECKMAN COULTER INC,3826.0,,,
RXSIGHT,RXSIGHT,part803_unmatched,116,out_of_industry,,39184.0,RXSIGHT INC,3851.0,,,
STAAR SURGICAL CO,STAAR SURGICAL,part803_maude,115,out_of_industry,,9969.0,STAAR SURGICAL CO,3851.0,,,
CANON,CANON,part803_unmatched,105,out_of_industry,,2721.0,CANON INC,3577.0,,,
Medline Industries Inc,MEDLINE INDUSTRIES,part806_recall,103,out_of_industry,,7224.0,MEDLINE INDUSTRIES INC,2300.0,,,
"MEDLINE INDUSTRIES, INC",MEDLINE INDUSTRIES,part803_maude,100,out_of_industry,,7224.0,MEDLINE INDUSTRIES INC,2300.0,,,
HILL ROM,HILL ROM,part803_maude,94,out_of_industry,,5639.0,HILL-ROM HOLDINGS INC,2590.0,,,
"Merge Healthcare, Inc.",MERGE HEALTHCARE,part806_recall,93,out_of_industry,,66630.0,MERGE HEALTHCARE INC,7373.0,,,
"HILL-ROM, INC",HILL ROM,part803_maude,91,out_of_industry,,5639.0,HILL-ROM HOLDINGS INC,2590.0,,,
IMPAC MEDICAL SYSTEMS,IMPAC MEDICAL SYSTEMS,part803_unmatched,90,out_of_industry,,149092.0,IMPAC MEDICAL SYSTEMS INC,7372.0,,,
CONAIR LLC.,CONAIR,part803_maude,89,out_of_industry,,13148.0,CONAIR CORP/DE,3634.0,,,
OSTEOTECH,OSTEOTECH,part803_unmatched,87,out_of_industry,,24198.0,OSTEOTECH INC,8090.0,,,
"Beckman Coulter, Inc.",BECKMAN COULTER,part806_recall,83,out_of_industry,,15106.0,BECKMAN COULTER INC,3826.0,,,
INTEGRA,INTEGRA,part803_unmatched,81,out_of_industry,,30291.0,INTEGRA INC,8093.0,,,
CYTYC,CYTYC,part803_unmatched,80,out_of_industry,,62336.0,CYTYC CORP,3826.0,,,
BENCHMARK ELECTRONICS,BENCHMARK ELECTRONICS,part803_unmatched,79,out_of_industry,,23084.0,BENCHMARK ELECTRONICS INC,3672.0,,,
CONAIR CORP.,CONAIR,part803_maude,79,out_of_industry,,13148.0,CONAIR CORP/DE,3634.0,,,
MATERIALISE,MATERIALISE,part803_unmatched,74,out_of_industry,,20129.0,MATERIALISE NV,7372.0,,,
