cik,company,sic,accession,document,file_date,period_ending,items,discovery_phrase,url,lead_source,doc_chars,has_fda_context,flag_warning_letter,body_mentions_warning_letter,flag_adverse_event,body_mentions_adverse_event,flag_recall,body_mentions_recall,flag_untitled_letter,body_mentions_untitled_letter,n_flags,n_flags_incl_untitled,domain_device_hits,domain_device_lead_hits,domain_drug_hits,domain_drug_lead_hits,domain_biologic_hits,domain_biologic_lead_hits,product_domain,is_device_domain
1196298,NEPHROS INC  (NEPH)  (CIK 0001196298),3841.0,0001493152-16-008788,ex99-1.htm,2016-04-11,2016-04-07,8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/1196298/000149315216008788/ex99-1.htm,exhibit_top,1421,True,True,True,False,False,False,False,False,False,1,1,0,0,0,0,0,0,unspecified,False
1196298,NEPHROS INC  (NEPH)  (CIK 0001196298),3841.0,0001493152-16-008788,form8-k.htm,2016-04-11,2016-04-07,8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/1196298/000149315216008788/form8-k.htm,item_anchored,3724,True,True,True,False,True,False,False,False,False,1,1,0,0,0,0,0,0,unspecified,False
1752828,"Celularity Inc  (CELU, CELUW)  (CIK 0001752828)",2834.0,0001493152-25-026383,form8-k.htm,2025-12-05,2025-12-05,8.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/1752828/000149315225026383/form8-k.htm,item_anchored,4308,True,True,True,False,False,False,False,False,False,1,1,0,0,0,0,0,0,unspecified,False
1433607,"InspireMD, Inc.  (NSPR)  (CIK 0001433607)",3841.0,0001493152-26-020891,ex99-1.htm,2026-05-01,2026-05-01,7.01; 8.01; 9.01,"""voluntary recall""",https://www.sec.gov/Archives/edgar/data/1433607/000149315226020891/ex99-1.htm,exhibit_top,10873,True,False,False,False,False,True,True,False,False,1,1,16,3,0,0,0,0,device,True
1433607,"InspireMD, Inc.  (NSPR)  (CIK 0001433607)",3841.0,0001493152-26-020891,form8-k.htm,2026-05-01,2026-05-01,7.01; 8.01; 9.01,"""voluntary recall""",https://www.sec.gov/Archives/edgar/data/1433607/000149315226020891/form8-k.htm,item_anchored,4555,True,False,False,False,False,True,True,False,False,1,1,4,3,0,0,0,0,device,True
1821323,"Sigilon Therapeutics, Inc.  (CIK 0001821323)",2834.0,0001558370-21-016343,sgtx-20211129xex99d1.htm,2021-11-29,2021-11-29,8.01; 9.01,"""adverse event report""",https://www.sec.gov/Archives/edgar/data/1821323/000155837021016343/sgtx-20211129xex99d1.htm,exhibit_top,5020,True,False,False,True,True,False,False,False,False,1,1,1,1,0,0,0,0,device,True
1237831,GLOBUS MEDICAL INC  (GMED)  (CIK 0001237831),3841.0,0001562762-24-000209,gmed-20240716x8k.htm,2024-08-13,2024-07-16,8.01,"""medical device report""; ""warning letter""",https://www.sec.gov/Archives/edgar/data/1237831/000156276224000209/gmed-20240716x8k.htm,item_anchored,6342,True,True,True,False,True,False,False,False,False,1,1,1,0,0,0,0,0,device,True
1006045,IRIDEX CORP  (IRIX)  (CIK 0001006045),3845.0,0001564590-18-003033,irix-ex991_7.htm,2018-02-23,2018-02-23,2.02; 7.01; 9.01,"""voluntary recall""",https://www.sec.gov/Archives/edgar/data/1006045/000156459018003033/irix-ex991_7.htm,exhibit_top,4565,True,False,False,False,True,True,True,False,False,1,1,0,0,0,0,0,0,unspecified,False
873303,"Sarepta Therapeutics, Inc.  (SRPT)  (CIK 0000873303)",2834.0,0001564590-19-030819,srpt-ex991_15.htm,2019-08-08,2019-08-08,7.01; 9.01,"""adverse event report""",https://www.sec.gov/Archives/edgar/data/873303/000156459019030819/srpt-ex991_15.htm,exhibit_top,2884,True,False,False,True,True,False,False,False,False,1,1,0,0,0,0,2,1,biologic,False
1751299,"Kaleido Biosciences, Inc.  (KLDO)  (CIK 0001751299)",2836.0,0001564590-21-047100,kldo-8k_20210827.htm,2021-09-03,2021-08-27,8.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/1751299/000156459021047100/kldo-8k_20210827.htm,item_anchored,3297,True,True,True,False,False,False,False,False,False,1,1,0,0,0,0,0,0,unspecified,False
1585364,PERRIGO Co plc  (PRGO)  (CIK 0001585364),2834.0,0001585364-24-000116,perrigoinfantformulareca.htm,2024-08-09,2024-08-06,7.01,"""voluntary recall""",https://www.sec.gov/Archives/edgar/data/1585364/000158536424000116/perrigoinfantformulareca.htm,exhibit_top,2616,True,False,False,False,True,True,True,False,False,1,1,0,0,0,0,0,0,unspecified,False
1059784,GENEREX BIOTECHNOLOGY CORP  (CIK 0001059784),2834.0,0001607062-17-000246,ex10_1.htm,2017-08-01,2017-08-01,1.01; 9.01,"""adverse event report""",https://www.sec.gov/Archives/edgar/data/1059784/000160706217000246/ex10_1.htm,exhibit_top,255823,True,False,False,True,True,False,False,False,False,1,1,5,0,28,0,70,0,biologic,False
1613103,Medtronic plc  (MDT)  (CIK 0001613103),3845.0,0001613103-21-000002,pressreleaseofmedtronicplc.htm,2021-02-17,2021-02-17,7.01,"""voluntary recall""",https://www.sec.gov/Archives/edgar/data/1613103/000161310321000002/pressreleaseofmedtronicplc.htm,exhibit_top,4438,True,False,False,False,True,True,True,False,False,1,1,9,3,0,0,0,0,device,True
1613103,Medtronic plc  (MDT)  (CIK 0001613103),3845.0,0001613103-21-000067,exhibit991-pressrelease121.htm,2021-12-15,2021-12-15,7.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/1613103/000161310321000067/exhibit991-pressrelease121.htm,exhibit_top,2167,True,True,True,False,False,False,False,False,False,1,1,2,2,0,0,0,0,device,True
1613103,Medtronic plc  (MDT)  (CIK 0001613103),3845.0,0001613103-21-000067,mdt-20211215.htm,2021-12-15,2021-12-15,7.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/1613103/000161310321000067/mdt-20211215.htm,item_anchored,7987,True,True,True,False,False,False,False,False,False,1,1,0,0,0,0,0,0,unspecified,False
1639691,LivaNova PLC  (LIVN)  (CIK 0001639691),3845.0,0001639691-16-000020,ex99_2.htm,2016-01-05,2016-01-05,8.01; 9.01,"""field safety notice""; ""warning letter""",https://www.sec.gov/Archives/edgar/data/1639691/000163969116000020/ex99_2.htm,exhibit_top,2533,True,True,True,False,False,True,True,False,False,2,2,1,1,0,0,0,0,device,True
1639691,LivaNova PLC  (LIVN)  (CIK 0001639691),3845.0,0001639691-16-000020,form8-k.htm,2016-01-05,2016-01-05,8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/1639691/000163969116000020/form8-k.htm,item_anchored,5378,True,True,True,False,False,False,False,False,False,1,1,4,1,0,0,0,0,device,True
1639691,LivaNova PLC  (LIVN)  (CIK 0001639691),3845.0,0001639691-22-000112,livn-20221212.htm,2022-12-13,2022-12-12,8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/1639691/000163969122000112/livn-20221212.htm,item_anchored,3397,True,True,True,False,False,False,False,False,False,1,1,1,1,0,0,0,0,device,True
1639691,LivaNova PLC  (LIVN)  (CIK 0001639691),3845.0,0001639691-23-000010,a4q22earningspressrelease.htm,2023-02-22,2023-02-15,2.02; 5.02; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/1639691/000163969123000010/a4q22earningspressrelease.htm,exhibit_top,43821,True,True,True,False,False,False,False,False,False,1,1,4,0,0,0,0,0,device,True
1386570,ChromaDex Corp.  (CDXC)  (CIK 0001386570),2833.0,0001654954-20-012774,cdxc-20201231.htm,2020-11-23,2020-11-17,8.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/1386570/000165495420012774/cdxc-20201231.htm,item_anchored,6091,True,True,True,False,False,False,False,False,False,1,1,0,0,0,0,0,0,unspecified,False
1815776,"LENZ Therapeutics, Inc.  (LENZ)  (CIK 0001815776)",2836.0,0001815776-25-000077,lenz-20251212.htm,2025-12-12,2025-12-12,8.01,"""adverse event report""",https://www.sec.gov/Archives/edgar/data/1815776/000181577625000077/lenz-20251212.htm,item_anchored,4211,True,False,False,True,True,False,False,False,False,1,1,0,0,0,0,0,0,unspecified,False
