product_code,dev_device_name,dev_device_class,dev_medical_specialty,dev_medical_specialty_description,dev_review_panel,dev_regulation_number,dev_definition,dev_implant_flag,dev_life_sustain_support_flag,dev_gmp_exempt_flag,dev_third_party_flag,dev_summary_malfunction_reporting,dev_submission_type_id,dev_unclassified_reason,dev_device_class_num,dev_implant_flag_bool,dev_life_sustain_support_flag_bool,dev_gmp_exempt_flag_bool,dev_third_party_flag_bool
OTZ,Graft Insertion Instrument For Endothelial Keratoplasty,1,OP,Ophthalmic,OP,886.4300,A graft insertion device for endothelial keratoplasty is a device intended to be inserted into the eye during surgery to direct the insertion of a corneal graft and be removed after insertion is completed.,N,N,N,N,Eligible,1,,1,False,False,False,False
QAI,Powered Microneedle Device,2,SU,"General, Plastic Surgery",SU,878.4430,A powered microneedle device is a device using one or more needles to mechanically puncture and injure skin tissue for aesthetic use.,N,N,N,N,Eligible,1,,2,False,False,False,False
OKE,Port Introducer Kit,2,HO,General Hospital,HO,880.5965,"This product code has been established in accordance with the may 20, 1997, guidance entitled, convenience kits interim regulatory guidance, found at www.Fda.Gov/cdrh/ode/convkit.Html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.",N,N,N,N,Eligible,7,,2,False,False,False,False
QPS,Immunoassay For Host Biomarkers Of Infection,2,MI,Microbiology,MI,866.3215,A semi-quantitative immunoassay that quantifies the relative levels of host response proteins isolated from serum or similar specimens.,N,N,N,N,Ineligible,1,,2,False,False,False,False
JIH,"Flame Photometry, Lithium",2,TX,Clinical Toxicology,TX,862.3560,,N,N,N,Y,Eligible,1,,2,False,False,False,True
RDB,Electric Blanket,N,,Unknown,,,A machine that utilizes microwave or elf radiation in an electric blanket.,,,Y,,Ineligible,,,,,,True,
RHP,"Uv Lamp, Germicidal",N,,Unknown,,,"An ultraviolet wavelength noncoherent light source intended for use in general purpose, germicidal systems.",,,Y,,Ineligible,,,,,,True,
EIG,"Retractor, All Types",1,DE,Dental,DE,872.4565,,N,N,N,N,Eligible,4,,1,False,False,False,False
JEJ,"Tubing, Instrumentation, Bronchoscope (Brush Sheath A/O Aspirating)",2,EN,"Ear, Nose, Throat",EN,874.4680,"If the device is reusable, validated reprocessing instructions and reprocessing validation data for this device type must be included in a 510(k) submission (82 FR 26807, available at https://www.gpo.gov/fdsys/pkg/FR-2017-06-09/pdf/2017-12007.pdf).",N,N,N,Y,Ineligible,1,,2,False,False,False,True
KGE,"Forceps, Biopsy, Electric",2,GU,"Gastroenterology, Urology",GU,876.4300,,N,N,N,Y,Eligible,1,,2,False,False,False,True
QIP,Rickettsia Spp. (Spotted Fever Group Or Typhus Group) Serological Reagents,N,,Unknown,MI,,Tests or reagents used to detect IgG and/or IgM antibodies to Ricketsia spp. (Spotted Fever Group or Typhus Group) in human serum or plasma. Used to aid in the diagnosis of either present or past infection with Ricketsia spp. in patients suspected of exposure.,N,N,N,N,Ineligible,3,3,,False,False,False,False
FTZ,"Locator, Magnetic",1,OP,Ophthalmic,OP,886.4445,,N,N,Y,N,Eligible,4,,1,False,False,True,False
HLX,"Photostimulator, Ac-Powered",2,OP,Ophthalmic,OP,886.1630,,N,N,N,Y,Eligible,1,,2,False,False,False,True
