product_code,dev_device_name,dev_device_class,dev_medical_specialty,dev_medical_specialty_description,dev_review_panel,dev_regulation_number,dev_definition,dev_implant_flag,dev_life_sustain_support_flag,dev_gmp_exempt_flag,dev_third_party_flag,dev_summary_malfunction_reporting,dev_submission_type_id,dev_unclassified_reason,dev_device_class_num,dev_implant_flag_bool,dev_life_sustain_support_flag_bool,dev_gmp_exempt_flag_bool,dev_third_party_flag_bool
BTG,"Brush, Biopsy, Bronchoscope (Non-Rigid)",2,EN,"Ear, Nose, Throat",EN,874.4680,"If the device is reusable, validated reprocessing instructions and reprocessing validation data for this device type must be included in a 510(k) submission (82 FR 26807, available at https://www.gpo.gov/fdsys/pkg/FR-2017-06-09/pdf/2017-12007.pdf).",N,N,N,Y,Ineligible,1,,2,False,False,False,True
JZB,"Scissors, Ear",1,EN,"Ear, Nose, Throat",EN,874.4420,,N,N,N,N,Eligible,4,,1,False,False,False,False
EZW,"Stimulator, Electrical, Implantable, For Incontinence",3,GU,"Gastroenterology, Urology",GU,876.5270,PMAs to be filed by 12/26/96 (61 FR 50707 (9/27/96)),Y,N,N,N,Eligible,2,,3,True,False,False,False
JQK,"Immunodiffusion, Protein Fractionation",1,CH,Clinical Chemistry,CH,862.1630,,N,N,N,N,Eligible,4,,1,False,False,False,False
OND,Osmolality Of Tears,1,CH,Clinical Chemistry,CH,862.1540,"To measure the osmolality of human tears to aid in the diagnosis of patients with signs or symptoms of dry eye disease, in conjunction with other methods of clinical evaluation.",N,N,N,N,Eligible,4,,1,False,False,False,False
MYT,"Biosensor, Immunoassay, Cpk Or Isoenzymes",2,CH,Clinical Chemistry,CH,862.1215,,N,N,N,Y,Eligible,1,,2,False,False,False,True
PJB,Catheter Remote Control System,2,CV,Cardiovascular,CV,870.5700,"A steerable cardiac ablation catheter remote control system is a device that is external to the body and interacts with the manual handle of a steerable cardiac ablation catheter to remotely control the advancement, retraction, rotation, and deflection of a steerable ablation catheter used for the treatment of cardiac arrhythmias in the right side of the heart.  The device allows reversion to manual control of the steerable cardiac ablation catheter without withdrawal of the catheter and interruption of the procedure.",N,N,N,N,Eligible,1,,2,False,False,False,False
NRD,"Unit, Operative Dental, Accessories",1,DE,Dental,DE,872.6640,"Air compressor and vacuum unit that are connected to dental operative unit to provide compressed air and vacuum capability to power and drive other dental devices, which are attached to the dental operative unit.",N,N,N,N,Eligible,4,,1,False,False,False,False
LLL,"Extractable Antinuclear Antibody, Antigen And Control",2,IM,Immunology,IM,866.5100,,N,N,N,Y,Eligible,1,,2,False,False,False,True
QRZ,External Condom For Anal Intercourse Or Vaginal Intercourse,2,OB,Obstetrics/Gynecology,OB,884.5305,An external condom for anal intercourse or vaginal intercourse is a barrier device which covers the penis and is used to prevent the transmission of sexually transmitted infections (when used for anal intercourse or vaginal intercourse) and for contraception (when used for vaginal intercourse). This classification does not include condoms intended for vaginal intercourse only.,N,N,N,N,Ineligible,1,,2,False,False,False,False
OUU,Polymeric Neurovascular Embolization,f,,Unknown,NE,,Treatment of intracranial aneurysms,Y,N,N,N,Ineligible,6,,,True,False,False,False
MWD,"Electrosurgical, Radio Frequency, Refractive Correction",3,,Unknown,OP,,,N,N,N,N,Eligible,2,,3,False,False,False,False
OZT,Balloon Aortic Valvuloplasty,2,CV,Cardiovascular,CV,870.1255,A balloon aortic valvuloplasty catheter is indicated for balloon valvuloplasty of the aortic valve.,N,N,N,N,Eligible,1,,2,False,False,False,False
FJP,"Adaptor, Y",2,GU,"Gastroenterology, Urology",GU,876.5820,,N,N,N,Y,Eligible,1,,2,False,False,False,True
OLZ,Automatic Event Detection Software For Polysomnograph With Electroencephalograph,2,NE,Neurology,NE,882.1400,"Automatically mark electroencephalograph and polysomongraph signals in order to aid in identification of such events and annotation of prolonged PSG traces; Automatically calculate simple measures obtained from recorded signals (e.G. Magnitude, time, frequency and simple statistical measures of marked events); All output subject to verification by qualified user",N,N,N,N,Eligible,1,,2,False,False,False,False
EXR,"Urinometer, Mechanical",2,GU,"Gastroenterology, Urology",GU,876.1800,,N,N,N,N,Eligible,4,,2,False,False,False,False
FDC,"Resectoscope, Working Element",2,GU,"Gastroenterology, Urology",GU,876.1500,,N,N,N,N,Ineligible,1,,2,False,False,False,False
KNQ,"Dilator, Esophageal",2,GU,"Gastroenterology, Urology",GU,876.5365,,N,N,N,N,Eligible,4,,2,False,False,False,False
IZI,"System, X-Ray, Angiographic",2,RA,Radiology,RA,892.1600,,N,N,N,N,Eligible,1,,2,False,False,False,False
FNC,"Tent, Pediatric Aerosol",2,AN,Anesthesiology,AN,868.5710,,N,N,N,N,Eligible,1,,2,False,False,False,False
FKH,"Solution-Test Standard-Conductivity, Dialysis",2,GU,"Gastroenterology, Urology",GU,876.5820,,N,N,N,Y,Eligible,1,,2,False,False,False,True
DWQ,"Stripper, Vein, External",2,CV,Cardiovascular,CV,870.4885,,N,N,N,Y,Eligible,1,,2,False,False,False,True
LSO,"Dna-Reagents, Cytomegalovirus",2,MI,Microbiology,MI,866.3175,,N,N,N,Y,Eligible,1,,2,False,False,False,True
LFZ,"Enzyme Linked Immunoabsorbent Assay, Cytomegalovirus",2,MI,Microbiology,MI,866.3175,,N,N,N,N,Eligible,1,,2,False,False,False,False
QMV,Device To Detect And Identify Selected Microbial Agents That Cause Acute Febrile Illness,2,MI,Microbiology,MI,866.3966,"A device to detect and identify selected microbial agents that cause acute febrile illness is identified as a in vitro device intended for the detection and identification of microbial agents in human clinical specimens from patients with signs and symptoms of acute febrile illness who are at risk for exposure or who may have been exposed to these agents. It is intended to aid in the diagnosis of acute febrile illness in conjunction with other clinical, epidemiologic, and laboratory data, including patient travel, pathogen endemicity, or other risk factors.",N,N,N,N,Ineligible,1,,2,False,False,False,False
QVO,Computerized Behavioral Therapy Device For Insomnia,2,NE,Neurology,NE,882.5801,The device is intended to provide cognitive behavioral therapy to treat insomnia.,N,N,N,N,Ineligible,1,,2,False,False,False,False
MOL,"Condom, Synthetic",2,OB,Obstetrics/Gynecology,OB,884.5300,,N,N,N,Y,Eligible,1,,2,False,False,False,True
PJG,Cancer-Related Germline Gene Mutation Detection System,3,,Unknown,PA,,The germline gene mutation test system is an in vitro diagnostic nucleic acid amplification and detection system for the identification of genetic mutations in DNA extracted from human clinical specimens.,N,N,N,N,Ineligible,2,,3,False,False,False,False
INT,Plinth,1,PM,Physical Medicine,PM,890.3520,,N,N,Y,N,Eligible,4,,1,False,False,True,False
ITI,"Wheelchair, Powered",2,PM,Physical Medicine,PM,890.3860,A powered wheelchair is a battery-operated device with wheels that is intended for medical purposes to provide mobility to persons restricted to a sitting position. FDA interprets mobility to persons restricted to a sitting position to mean the device type is intended to provide mobility to individuals who have mobility impairments and require an assistive device for mobility.  NOTE: This type of device is not intended to climb stairs (see product code: IMK).,N,N,N,Y,Eligible,1,,2,False,False,False,True
KYA,"System, Thermographic, Liquid Crystal, Nonpowered (Adjunctive Use)",1,OB,Obstetrics/Gynecology,RA,884.2982,,N,N,N,N,Eligible,1,,1,False,False,False,False
GEN,"Forceps, General & Plastic Surgery",1,SU,"General, Plastic Surgery",SU,878.4800,,N,N,N,N,Eligible,4,,1,False,False,False,False
LRQ,Tracheostomy And Nasal Suctioning Kit,1,,Unknown,SU,,"This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.",N,N,N,N,Eligible,7,,1,False,False,False,False
NWM,"Immunoassay, Anti-Seizure Drug",2,TX,Clinical Toxicology,TX,862.3350,To aid in management of patients treated with anti-seizure drug.,N,N,N,Y,Eligible,1,,2,False,False,False,True
HXJ,Staple Driver,1,OR,Orthopedic,OR,888.4540,,N,N,N,N,Eligible,4,,1,False,False,False,False
QKQ,Digital Pathology Image Viewing And Management Software,2,PA,Pathology,PA,864.3700,Digital pathology image viewing and management software device is a software intended for viewing and management of digital images of scanned surgical pathology slides prepared from formalin-fixed paraffin embedded (FFPE) tissue. It is an aid to the pathologist to review and interpret these digital images for the purposes of primary diagnosis.,N,N,N,N,Ineligible,1,,2,False,False,False,False
DPA,"Apparatus, General Use, Thin Layer Chromatography",1,CH,Clinical Chemistry,TX,862.2270,,N,N,Y,N,Eligible,4,,1,False,False,True,False
OKN,"Hyperthermia System, Bladder Cancer Treatment, With Chemotherapy",3,,Unknown,GU,,To heat the bladder wall concomitant with intravesical instillation of a chemotherapy drug.  For the prophylactic treatment of bladder cancer recurrence following standard resection of tumors.,N,N,N,N,Ineligible,2,,3,False,False,False,False
POR,Parenteral Administration Kit,2,HO,General Hospital,HO,880.5440,"This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at http://www.fda.gov/MedicalDevices/DeviceRegulationandGuidance/GuidanceDocuments/ucm080216.htm .  This kit, as described in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market.",N,N,N,N,Eligible,7,,2,False,False,False,False
GNZ,"Antisera, Neutralization, Adenovirus 1-33",1,MI,Microbiology,MI,866.3020,,N,N,N,N,Eligible,4,,1,False,False,False,False
JTN,"Susceptibility Test Discs, Antimicrobial",2,MI,Microbiology,MI,866.1620,,N,N,N,Y,Ineligible,1,,2,False,False,False,True
PYS,Zika Virus Serological Reagents (Emergency Use),N,,Unknown,MI,,Zika virus serological reagents are devices that consist of antigens and antisera for the diagnosis of Zika virus infection in human clinical specimens from individuals that have signs and symptoms consistent with Zika virus infection and/or epidemiological risk factors.  The device aids in the presumptive clinical diagnosis of Zika virus infection in conjunction with other clinical and laboratory findings.,N,N,N,N,Eligible,8,11,,False,False,False,False
MPA,Endoilluminator,2,GU,"Gastroenterology, Urology",OP,876.1500,,N,N,N,Y,Eligible,1,,2,False,False,False,True
HMK,"Euthyscope, Ac-Powered",2,OP,Ophthalmic,OP,886.1250,,N,N,N,N,Eligible,4,,2,False,False,False,False
HPL,"Device, Fixation, Ac-Powered, Ophthalmic",1,OP,Ophthalmic,OP,886.1290,A fixation device is an AC-powered device intended for use as a fixation target for the patient during ophthalmologic examination.  The patient directs his or her gaze so that the visual image of the object falls on the fovea centralis (the center of the macular retina of the eye.),N,N,N,N,Eligible,4,,1,False,False,False,False
MJO,"Prosthesis, Intervertebral Disc",3,,Unknown,OR,,,Y,N,N,N,Eligible,2,,3,True,False,False,False
HZX,Silver Nitrate,1,HE,Hematology,PA,864.1850,,N,N,Y,N,Eligible,4,,1,False,False,True,False
IBK,"Microscope, Fluorescence/U.V.",1,PA,Pathology,PA,864.3600,,N,N,Y,N,Eligible,4,,1,False,False,True,False
FWD,"Camera, Television, Microsurgical, Without Audio",1,SU,"General, Plastic Surgery",SU,878.4160,,N,N,N,N,Eligible,4,,1,False,False,False,False
KWE,"Prosthesis, Finger, Constrained, Metal, Uncemented",3,OR,Orthopedic,OR,888.3200,call for pmas to be filed by 12/26/96 per 61 FR 50709 on 9/27/96,Y,N,N,N,Eligible,2,,3,True,False,False,False
FTT,"Camera, Still, Surgical",1,SU,"General, Plastic Surgery",SU,878.4160,,N,N,N,N,Eligible,4,,1,False,False,False,False
MOM,"System, Hemodynamic, Implantable",3,,Unknown,CV,,,Y,N,N,N,Ineligible,2,,3,True,False,False,False
NVG,"Tissue Culture, Accessories, Dental",1,HE,Hematology,HE,864.2240,Intended to temporarilty nourish cells on an avulsed tooth,N,N,Y,N,Eligible,4,,1,False,False,True,False
QBG,"Assay, Oral Direct Thrombin Inhibitor",N,,Unknown,HE,,An assay used to determine the level of oral direct thrombin inhibitors (DTI) present in human plasma,N,N,N,N,Ineligible,3,3,,False,False,False,False
PGV,Anti-Phospholipase A2 Receptor,2,MI,Microbiology,IM,866.5780,"The test system is intended for the qualitative determination of IgG class autoantibodies against phospholipase A2 receptor (PLA2R) in human serum. It is used as an aid in the diagnosis of primary membranous glomerulonephritis (pMGN), in conjunction with other  laboratory and clinical findings.",N,Y,N,Y,Ineligible,1,,2,False,True,False,True
MJL,"Eia, Blastomyces Dermatitidis",2,MI,Microbiology,MI,866.3060,,N,N,N,N,Eligible,4,,2,False,False,False,False
HDE,"Hook, Fibroid, Gynecological",1,OB,Obstetrics/Gynecology,OB,884.4520,,N,N,N,N,Eligible,4,,1,False,False,False,False
HLD,"Engine, Trephine, Accessories, Gas-Powered",1,OP,Ophthalmic,OP,886.4070,,N,N,N,N,Eligible,4,,1,False,False,False,False
HOX,"Chart, Visual Acuity",1,OP,Ophthalmic,OP,886.1150,,N,N,Y,N,Eligible,4,,1,False,False,True,False
LFH,"U.V. Spectrometry, Tricyclic Antidepressant Drugs",2,TX,Clinical Toxicology,TX,862.3910,,N,N,N,Y,Eligible,1,,2,False,False,False,True
RDF,Motor,N,,Unknown,,,A machine that utilizes microwave or elf radiation in a motor.,,,Y,,Ineligible,,,,,,True,
FDF,"Colonoscope And Accessories, Flexible/Rigid",2,GU,"Gastroenterology, Urology",GU,876.1500,"To examine or perform procedures in the colon or rectum    For reusable, flexible endoscopes in this product code, validated reprocessing instructions and reprocessing validation data must be included in a 510(k) submission (82 FR 26807, available at https://www.gpo.gov/fdsys/pkg/FR-2017-06-09/pdf/2017-12007.pdf).",N,N,N,N,Ineligible,1,,2,False,False,False,False
KNS,"Unit, Electrosurgical, Endoscopic (With Or Without Accessories)",2,GU,"Gastroenterology, Urology",GU,876.4300,,N,N,N,Y,Eligible,1,,2,False,False,False,True
PHO,Normothermic Preservation System For Transplantation Of Initially Unacceptable Donor Lungs,3,,Unknown,GU,,Preservation of donor lungs for transplantation.,N,Y,N,N,Ineligible,2,,3,False,True,False,False
LEE,"Stains, Dye Solution",1,HE,Hematology,PA,864.1850,,N,N,Y,N,Eligible,4,,1,False,False,True,False
ILZ,"Accessories, Traction",1,PM,Physical Medicine,PM,890.5925,,N,N,Y,N,Eligible,4,,1,False,False,True,False
FJA,"Manometer, Water",2,GU,"Gastroenterology, Urology",GU,876.5820,,N,N,N,Y,Eligible,1,,2,False,False,False,True
LCX,"Kit, Test, Pregnancy, Hcg, Over The Counter",2,CH,Clinical Chemistry,CH,862.1155,,N,N,N,Y,Eligible,1,,2,False,False,False,True
LCM,"Enzyme Immunoassay, Phencyclidine",U,,Unknown,TX,,,N,N,N,N,Eligible,1,1,,False,False,False,False
RFI,Print Industry Plate Maker,N,,Unknown,,,"A laser intended to etch, engrave or otherwise create printer's plates used in an industrial or commercial environment.",,,Y,,Ineligible,,,,,,True,
SCK,"Ldt, Non-Molecular Antisera For Rare Rbc Antigens When There Is No Alternative Ivd",N,,Unknown,HE,,"Non-molecular antisera laboratory developed tests (LDTs) for rare red blood cell (RBC) antigens when manufactured and performed by blood establishments, including transfusion services and immunohematology laboratories, and when there is no alternative in vitro diagnostic product (IVD) available to meet the patient's need for a compatible blood transfusion within the scope described in Section V.B.3 of the preamble to the Final LDT Rule (89 FR 37286).",N,N,N,N,Ineligible,7,6,,False,False,False,False
MSQ,"Test, Urea (Breath Or Blood)",1,MI,Microbiology,MI,866.3110,,N,N,N,Y,Eligible,1,,1,False,False,False,True
HPC,"Set, Lens, Trial, Ophthalmic",1,OP,Ophthalmic,OP,886.1405,,N,N,N,N,Eligible,4,,1,False,False,False,False
HZM,"Hematoxylin, Acid, Phosphotungstic",1,HE,Hematology,PA,864.1850,,N,N,Y,N,Eligible,4,,1,False,False,True,False
LFP,"Conductivity Rate, Urea Nitrogen",2,CH,Clinical Chemistry,CH,862.1770,,N,N,N,Y,Eligible,1,,2,False,False,False,True
DNO,"Hemagglutination Inhibition, Gentamicin",2,TX,Clinical Toxicology,TX,862.3450,,N,N,N,Y,Eligible,1,,2,False,False,False,True
QCT,"Scaffold, Dissection Repair",3,,Unknown,CV,,For the repair of dissections following percutaneous transluminal angioplasty in the lower extremity arteries,Y,Y,N,N,Ineligible,2,,3,True,True,False,False
KTS,Second Antibody (Species Specific Anti-Animal Gamma Globulin),2,IM,Immunology,IM,866.5510,,N,N,N,Y,Eligible,1,,2,False,False,False,True
QUK,Human Leukocyte Antigen (Hla) Typing Companion Diagnostic Test,2,IM,Immunology,IM,866.5960,"A Human Leukocyte Antigen (HLA) Typing Companion Diagnostic (CDx) Test is a prescription genotyping or phenotyping assay intended for use as an aid in identifying patients who have specific HLA allele(s) or express specific HLA antigen(s) and may benefit from treatment with a corresponding therapeutic product, or are likely to be at increased risk for serious adverse reactions as a result of treatment with a corresponding therapeutic product.",N,N,N,N,Ineligible,1,,2,False,False,False,False
CAD,"Vaporizer, Anesthesia, Non-Heated",2,AN,Anesthesiology,AN,868.5880,,N,N,N,Y,Eligible,1,,2,False,False,False,True
KOK,"Sterilizer, Endodontic Dry Heat",3,DE,Dental,DE,872.6730,Call for PMAs on 4/21/97 per 62 FR 2902 on 1/21/97,N,N,N,N,Eligible,2,,3,False,False,False,False
MTS,"Vials, Challenge, Endotoxin",N,,Unknown,HE,,,N,N,N,N,Eligible,3,4,,False,False,False,False
OCI,"Indicator, Physical/Chemical, Storage Temperature",2,HO,General Hospital,HO,880.2800,"The time-temperature indicator provides a visual signal that a selected time-temperature profile has been exceeded.  When affixed to a device, a time temperature indicator is indicated, via a permanent color change, for the purpose of distinguishing between medical products that have exceeded a selected time-temperature profile of interest to the user from products that have not exceeded that profile.",N,N,N,Y,Ineligible,1,,2,False,False,False,True
QLC,Interleukin 6,N,,Unknown,IM,,In vitro Diagnostic devices for the quantitative determination of IL-6 (interleukin 6) in human specimens,N,N,N,N,Ineligible,8,11,,False,False,False,False
SCW,Digital Prismatic Correction,1,OP,Ophthalmic,OP,886.1655,The device is intended to provide digital image adjustments in a display system in accordance with a users prism prescription. The device can be used in conjunction with optical lenses for refractive correction.,N,N,N,N,Ineligible,4,,1,False,False,False,False
HZT,"Reagent, Schiff",1,HE,Hematology,PA,864.1850,,N,N,Y,N,Eligible,4,,1,False,False,True,False
NEU,"Marker, Radiographic, Implantable",2,SU,"General, Plastic Surgery",SU,878.4300,,Y,N,N,N,Eligible,1,,2,True,False,False,False
LCT,"Radioimmunoassay, Digoxin (3-H)",2,TX,Clinical Toxicology,TX,862.3320,,N,N,N,Y,Eligible,1,,2,False,False,False,True
LCL,"Radioimmunoassay, Phencyclidine",U,,Unknown,TX,,,N,N,N,N,Eligible,1,1,,False,False,False,False
RHA,Ir Data Transmit/Control,N,,Unknown,,,A noncoherent infrared source used for data transmission or remote control of another product or machine.,,,Y,,Ineligible,,,,,,True,
OBH,"Monitor, Extracellular Fluid, Lymphedema, Extremity",2,CV,Cardiovascular,GU,870.2770,"Measure impedances in affected and unaffected but opposite extremity to periodically monitor the level of extracellular fluid or the differences in bioimpedance between opposing extremities for patients who have been previously diagnosed with unilateral lymphedema (that is, in one affected extremity)",N,N,N,N,Eligible,1,,2,False,False,False,False
NVI,"Diagnostic Software, K-Nearest Neighbor Algorithm, Autoimmune Disease",2,TX,Clinical Toxicology,IM,862.3100,The device is intended to suggest a systemic autoimmune disease association as an aid for differential diagnosis to be evaluated in conjunction with clinical findings and other laboratory tests.,N,N,N,Y,Eligible,1,,2,False,False,False,True
QYI,"Ablation Catheter, Renal Denervation",3,,Unknown,CV,,For denervating the renal nerves to lower blood pressure,N,N,N,N,Ineligible,2,,3,False,False,False,False
ETK,"Tube, Toynbee Diagnostic",1,EN,"Ear, Nose, Throat",EN,874.1925,,N,N,N,N,Eligible,4,,1,False,False,False,False
GCM,"Endoscope, Rigid",2,GU,"Gastroenterology, Urology",GU,876.1500,,N,N,N,N,Ineligible,1,,2,False,False,False,False
FNS,Ring Cutter,1,HO,General Hospital,HO,880.6200,,N,N,Y,N,Eligible,4,,1,False,False,True,False
BXA,"Analyzer, Gas, Water Vapor, Gaseous-Phase",1,AN,Anesthesiology,AN,868.1975,,N,N,N,N,Eligible,4,,1,False,False,False,False
CZR,"Hemopexin, Rhodamine, Antigen, Antiserum, Control",2,IM,Immunology,IM,866.5490,,N,N,N,N,Eligible,4,,2,False,False,False,False
LQI,Hepatitis Delta Serological Reagents,3,,Unknown,MI,,,N,N,N,N,Ineligible,2,,3,False,False,False,False
QFT,Digital Therapeutic Software For Attention Deficit Hyperactivity Disorder,2,OB,Obstetrics/Gynecology,NE,882.5803,A digital therapy device for Attention Deficit Hyperactivity Disorder (ADHD) is a software intended to provide therapy for ADHD or any of its individual symptoms as an adjunct to clinician supervised treatment.,N,N,N,N,Ineligible,1,,2,False,False,False,False
QPD,Personal Lubricant Ring,2,OB,Obstetrics/Gynecology,OB,884.5300,"This device is a personal lubricant, for vaginal application, intended to moisturize and lubricate, to enhance the ease and comfort of intimate sexual activity, and supplement the body's natural lubrication. This product may or may not be compatible with natural rubber latex, polyisoprene, polyurethane, and/or internal condoms.",N,N,N,N,Ineligible,1,,2,False,False,False,False
KJX,Jenner Stain,1,HE,Hematology,PA,864.1850,,N,N,Y,N,Eligible,4,,1,False,False,True,False
IPR,Crutch,1,PM,Physical Medicine,PM,890.3150,,N,N,Y,N,Eligible,4,,1,False,False,True,False
HJE,"Lamp, Fluorescein, Ac-Powered",2,SU,"General, Plastic Surgery",SU,878.4580,,N,N,N,Y,Eligible,1,,2,False,False,False,True
LYI,"Stimulator, Subcortical, Implanted  For Epilepsy",3,,Unknown,NE,,,Y,N,N,N,Ineligible,3,,3,True,False,False,False
LZV,"System, Cement Removal Extraction",2,OR,Orthopedic,OR,888.4580,,N,N,N,N,Eligible,4,,2,False,False,False,False
LEK,Transilluminator (Diaphanoscope),3,RA,Radiology,RA,892.1990,"Classified August 17, 1995:  60 fr 36639: Classification into Class III for the transilluminator (diaphanoscope or lightscanner) for breast evaluation requires manufacturers of transilluminators to submit safety and effectiveness tests for the device.",N,N,N,N,Eligible,2,,3,False,False,False,False
LTD,Paraquat Assay,3,,Unknown,TX,,,N,N,N,N,Eligible,3,,3,False,False,False,False
QMS,Adjunctive Open Loop Fluid Therapy Recommender,2,CV,Cardiovascular,CV,870.5600,The adjunctive open loop fluid therapy recommender is a prescription device that uses software algorithms to analyze cardiovascular vital signs and predict a patients estimated response to fluid therapy. The device is intended for adjunctive use with other physical vital sign parameters and patient information and is not intended to independently direct therapy.,N,N,N,Y,Ineligible,1,,2,False,False,False,True
MRQ,"Analyzer, Nitrogen Dioxide",2,AN,Anesthesiology,AN,868.2385,,N,Y,N,Y,Eligible,1,,2,False,True,False,True
QIR,Pediatric Hemodialysis System,2,GU,"Gastroenterology, Urology",GU,876.5861,For use in acute kidney injury or fluid overloaded patients requiring hemodialysis or hemofiltration therapy. It is intended to provide continuous renal replacement therapy (CRRT) to patients weighing between 2.5 and 10 kilograms.,N,Y,N,N,Ineligible,1,,2,False,True,False,False
OOX,Automated Occult Blood Analyzer,2,HE,Hematology,HE,864.6550,The automated test system is intended for the qualitative detection of fecal occult blood in feces by professional laboratories.  The automated test is used for the determination of gastrointestinal bleeding.,N,N,N,Y,Eligible,1,,2,False,False,False,True
DFM,"Ige, Ferritin, Antigen, Antiserum, Control",2,IM,Immunology,IM,866.5510,,N,N,N,Y,Eligible,1,,2,False,False,False,True
OWR,"Mesh, Surgical, Non-Absorbable, Facial Implants For Plastic Surgery",2,SU,"General, Plastic Surgery",SU,878.3300,For reinforcement of soft tissue where weakness exists in facial plastic surgery.,Y,N,N,N,Eligible,1,,2,True,False,False,False
HFP,"Monitor, Phonocardiographic, Fetal",2,OB,Obstetrics/Gynecology,OB,884.2640,,N,N,N,Y,Ineligible,1,,2,False,False,False,True
JDP,Condylar Plate Fixation Implant,2,OR,Orthopedic,OR,888.3030,,Y,N,N,N,Eligible,1,,2,True,False,False,False
NDI,"Staple, Fixation, Bone, Metallic",2,OR,Orthopedic,OR,888.3030,,Y,N,N,N,Eligible,1,,2,True,False,False,False
FCD,Barium Enema Kit,1,GU,"Gastroenterology, Urology",RA,876.5210,"This product code has been established in accordance with the may 20, 1997, guidance entitled, convenience kits interim regulatory guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.",N,N,N,N,Eligible,4,,1,False,False,False,False
PCS,Liver Iron Concentration Imaging Companion Diagnostic For Deferasirox,2,RA,Radiology,RA,892.1001,"Intended for diagnostic use to present images that reflect the magnetic resonance spectra for the determination of iron in the liver for any indication where an assessment of liver iron concentration is needed.  For non-transfusion-dependent thalassemia (NTDT) patients, is intended as an aid in the assessment of NTDT patients for whom deferasirox therapy is being considered and for monitoring of NTDT patients receiving deferasirox therapy.",N,N,N,N,Eligible,1,,2,False,False,False,False
RDQ,Cb Amateur Radio,N,,Unknown,,,A machine that utilizes microwave radiation for communication in a cb amateur radio.,,,Y,,Ineligible,,,,,,True,
OLM,Deep Brain Stimulator For Obsessive Compulsive Disorder (Ocd),f,,Unknown,NE,,"The device is indicated for bilateral stimulation of the anterior limb of the internal capsule, this device is indicated as an adjunct to medications and as an alternative to anterior capsulotomy for treatment of chronic, severe, treatment-resistant Obsessive Compulsive Disorder (OCD) in adult patients who have failed at least three Selective Serotonin Reuptake Inhibitors (SSRIs).",Y,N,N,N,Ineligible,6,,,True,False,False,False
HFH,"Coagulator, Hysteroscopic (And Accessories)",2,OB,Obstetrics/Gynecology,OB,884.4160,,N,N,N,Y,Eligible,1,,2,False,False,False,True
NKI,Goniometer With Electrodes,2,OR,Orthopedic,NE,888.1500,"A goniometer is an AC-powered or battery powered  device intended to evaluate joint function by measuring and recording range of motion, acceleration, or forces exerted by a joint. The class II (special controls) goniometer uses transcutaneous adhesive electrode lead wires and patient cables to transmit and record patient data.",N,N,N,N,Eligible,4,,2,False,False,False,False
HTN,"Washer, Bolt Nut",2,OR,Orthopedic,OR,888.3030,,Y,N,N,N,Eligible,1,,2,True,False,False,False
LPF,"Prosthesis, Hip, Semi-Constrained, Metal/Ceramic/Ceramic, Cemented",3,,Unknown,OR,,,Y,N,N,N,Eligible,2,,3,True,False,False,False
IWL,"System, Radiation Therapy, Neutron, Medical",2,RA,Radiology,RA,892.5300,,N,N,N,N,Eligible,1,,2,False,False,False,False
QEW,Peripheral Mechanical Thrombectomy With Aspiration,2,CV,Cardiovascular,CV,870.5150,To mechanically disrupt thrombus and/or debris prior to removal from the peripheral vasculature through aspiration.,N,N,N,N,Eligible,1,,2,False,False,False,False
QWN,"Stent Graft, Infrapopliteal, Venous Arterialization",3,,Unknown,CV,,For performing percutaneous arterialization of the deep veins to restore blood flow in the lower limbs,Y,Y,N,N,Ineligible,2,,3,True,True,False,False
EKS,"File, Pulp Canal, Endodontic",1,DE,Dental,DE,872.4565,,N,N,N,N,Eligible,4,,1,False,False,False,False
FBW,Filiform And Filiform Follower,1,GU,"Gastroenterology, Urology",GU,876.5520,,N,N,N,N,Eligible,4,,1,False,False,False,False
FOC,"Bag, Urine Collection, Newborn",2,GU,"Gastroenterology, Urology",GU,876.5250,,N,N,N,N,Eligible,4,,2,False,False,False,False
FPK,"Tubing, Fluid Delivery",2,HO,General Hospital,HO,880.5440,,N,N,N,Y,Eligible,1,,2,False,False,False,True
OSG,Piezo-Electric Stimulator For Relief Of Mosquito Bite Itch,2,NE,Neurology,NE,882.5894,Relief / Reduction of Mosquito Bite Itch,N,N,N,N,Eligible,4,,2,False,False,False,False
NKA,"System, Documentation, Breast Lesion",2,OB,Obstetrics/Gynecology,OB,884.2990,A Breast lesion documentation device is a device for recording and documenting palpable breast lesions detected during a clinical breast exam.,N,N,N,N,Eligible,1,,2,False,False,False,False
HKY,"Tonometer, Manual",2,OP,Ophthalmic,OP,886.1930,,N,N,N,Y,Eligible,1,,2,False,False,False,True
MSI,"Solution, Cleaning / Lubricating, Artificial Eye",3,,Unknown,OP,,,N,N,N,N,Eligible,2,,3,False,False,False,False
