sponsor_norm,gvkey,map_source,map_score,compustat_conm,compustat_tic,cik,permno
synta pharmaceuticals corp,162770,fuzzy_extended,100.0,SYNTA PHARMACEUTICALS CORP,SNTA,,91832
"arcutis biotherapeutics, inc",036028,fuzzy_extended,100.0,ARCUTIS BIOTHERAPEUTICS INC,ARQT,0001787306,19184
"cara therapeutics, inc",023358,fuzzy_extended,95.45454545454545,CIDARA THERAPEUTICS INC,CDTX,0001610618,15286
duramed research,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
"oregon research behavioral intervention strategies, inc",009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
gan & lee pharmaceuticals,006641,fuzzy_extended,100.0,LEE PHARMACEUTICALS,LPHM.1,,57373
"amag pharmaceuticals, inc",012250,fuzzy_extended,100.0,AMAG PHARMACEUTICALS INC,AMAG,0000792977,10363
zars pharma inc,020611,fuzzy_extended,92.85714285714286,ZS PHARMA INC,ZSPH,0001459266,14712
bioray laboratories,002220,fuzzy_extended,92.3076923076923,BIO-RAD LABORATORIES INC,BIO,0000012208,61516
zimvie,040758,fuzzy_extended,100.0,ZIMVIE INC,ZIMV,0001876588,22757
"esperion therapeutics, inc",018162,fuzzy_extended,100.0,ESPERION THERAPEUTICS INC,ESPR,0001434868,13954
smith & nephew orthopaedics ag,101317,fuzzy_extended,100.0,SMITH & NEPHEW PLC,SNN,0000845982,87444
"sinovac life sciences co., ltd",006721,fuzzy_extended,100.0,LIFE SCIENCES INC,LFSCQ,0000059401,49526
sihuan pharmaceutical holdings group ltd,043638,fuzzy_extended,92.3076923076923,SU GROUP HOLDINGS LTD,SUGP,0001969863,24719
alfasigma s.p.a,001059,fuzzy_extended,100.0,A P S INC,APS.1,,58958
johnson & johnson taiwan ltd,006266,fuzzy_extended,100.0,JOHNSON & JOHNSON,JNJ,0000200406,22111
viatris innovation gmbh,007637,fuzzy_extended,100.0,VIATRIS INC,VTRS,0001792044,20057
"vir biotechnology, inc",035638,fuzzy_extended,100.0,VIR BIOTECHNOLOGY INC,VIR,0001706431,19032
"deciphera pharmaceuticals, llc",260838,fuzzy_extended,93.61702127659575,CIPHER PHARMACEUTICALS INC,CPHRF,0001358575,15061
xenon pharmaceuticals inc,021744,fuzzy_extended,100.0,XENON PHARMACEUTICALS INC,XENE,0001582313,15089
"verastem, inc",194255,fuzzy_extended,100.0,VERASTEM INC,VSTM,0001526119,13202
fate therapeutics,018562,fuzzy_extended,100.0,FATE THERAPEUTICS INC,FATE,0001434316,14245
vaxart,033114,fuzzy_extended,100.0,VAXART INC,VXRT,0000072444,57913
human genome sciences inc,029312,fuzzy_extended,100.0,HUMAN GENOME SCIENCES INC,HGSI,0000901219,79977
"otonomy, inc",021145,fuzzy_extended,100.0,OTONOMY INC,OTIC,0001493566,14874
can-fite biopharma,291881,fuzzy_extended,94.44444444444444,CAN FITE BIOPHARMA LTD,CANF,0001536196,14272
genfit,284353,fuzzy_extended,100.0,GENFIT SA,GNFT,0001757064,18468
"zai lab (shanghai) co., ltd",032334,fuzzy_extended,100.0,ZAI LAB LTD,ZLAB,0001704292,16938
"instituto grifols, s.a",277812,fuzzy_extended,100.0,GRIFOLS S A,GRFS,0001438569,12886
"cerevel therapeutics, llc",037275,fuzzy_extended,100.0,CEREVEL THERAPEUTICS HOLDING,CERE,0001805387,19547
"sinovac research and development co., ltd",009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
"casi pharmaceuticals, inc",063030,fuzzy_extended,100.0,CASI PHARMACEUTICALS INC,CASI,0001962738,83651
"scios, inc",002616,fuzzy_extended,100.0,SCIOS INC,SCIO.,0000726512,20678
"infinity pharmaceuticals, inc",175533,fuzzy_extended,100.0,INFINITY PHARMACEUTICALS INC,INFIQ,0001113148,88434
"karuna therapeutics, inc., a bristol myers squibb company",002401,fuzzy_extended,100.0,BRISTOL CORP,BRSL,,19351
"angiodynamics, inc",264387,fuzzy_extended,100.0,ANGIODYNAMICS INC,ANGO,0001275187,90179
"encore medical, l.p",062395,fuzzy_extended,100.0,ENCORE MEDICAL CORP,ENMC,0000944763,84639
"amphastar pharmaceuticals, inc",020659,fuzzy_extended,98.24561403508773,AMPHASTAR PHARMACEUTICLS INC,AMPH,0001297184,14688
"epizyme, inc",017808,fuzzy_extended,100.0,EPIZYME INC,EPZM,0001571498,13924
insulet corporation,177227,fuzzy_extended,100.0,INSULET CORP,PODD,0001145197,92050
adc therapeutics s.a,035649,fuzzy_extended,100.0,ADC THERAPEUTICS SA,ADCT,0001771910,19391
assembly biosciences,185289,fuzzy_extended,100.0,ASSEMBLY BIOSCIENCES INC,ASMB,0001426800,12497
"athenex, inc",031405,fuzzy_extended,100.0,ATHENEX INC,ATNXQ,0001300699,16777
pharming technologies b.v,232135,fuzzy_extended,100.0,PHARMING GROUP NV,PHAR,0001828316,20314
"naurex, inc, an affiliate of allergan plc",015708,fuzzy_extended,100.0,ALLERGAN INC,AGN.2,0000850693,75646
telix pharmaceuticals (innovations) pty limited,325899,fuzzy_extended,100.0,TELIX PHARMACEUTICALS LTD,TLX,0002007191,25817
vion pharmaceuticals,061167,fuzzy_extended,100.0,VION PHARMACEUTICALS INC,3VIONQ,0000944522,82201
polaris group,014311,fuzzy_extended,100.0,POLARIS INC,PII,0000931015,75182
"impax laboratories, llc",061745,fuzzy_extended,100.0,IMPAX LABORATORIES INC,IPXL,0001003642,82702
alvotech swiss ag,037351,fuzzy_extended,100.0,ALVOTECH,ALVO,0001898416,23172
respirent pharmaceuticals co ltd,016480,fuzzy_extended,92.0,RESPIRERX PHARMACEUTICALS,RSPI,0000849636,75962
bharat biotech international limited,037612,fuzzy_extended,93.33333333333333,TH INTERNATIONAL LIMITED,THCH,0001877333,23427
tracon pharmaceuticals inc,022697,fuzzy_extended,100.0,TRACON PHARMACEUTICALS INC,TCON,0001394319,15184
"kadmon corporation, llc",027476,fuzzy_extended,100.0,KADMON HOLDINGS INC,KDMN,0001557142,16154
kubota vision inc,006506,fuzzy_extended,100.0,KUBOTA CORP,KUBTY,0000109821,59344
immunovant sciences gmbh,035982,fuzzy_extended,100.0,IMMUNOVANT INC,IMVT,0001764013,18776
"molecular insight pharmaceuticals, inc",028470,fuzzy_extended,92.6829268292683,RA PHARMACEUTICALS INC,RARX,0001481512,16398
"altimmune, inc",031249,fuzzy_extended,100.0,ALTIMMUNE INC,ALT,0001326190,90926
rocket pharmaceuticals inc,032908,fuzzy_extended,100.0,ROCKET PHARMACEUTICALS INC,RCKT,0001281895,15221
"rockwell medical technologies, inc",066366,fuzzy_extended,100.0,ROCKWELL MEDICAL INC,RMTI,0001041024,85744
"scynexis, inc",020040,fuzzy_extended,100.0,SCYNEXIS INC,SCYX,0001178253,14668
gaia ag,125601,fuzzy_extended,100.0,GAIA INC,GAIA,0001089872,87321
bellus health inc. - a gsk company,137090,fuzzy_extended,100.0,BELLUS HEALTH INC,BLU,0001259942,89833
"trius therapeutics llc, a subsidiary of merck & co., inc. (rahway, new jersey usa)",007257,fuzzy_extended,100.0,MERCK & CO,MRK,0000310158,22752
"mesoblast, inc",271607,fuzzy_extended,100.0,MESOBLAST LTD,MESO,0001345099,15848
redhill biopharma limited,296885,fuzzy_extended,100.0,REDHILL BIOPHARMA LTD,RDHL,0001553846,13707
"eyepoint pharmaceuticals, inc",253527,fuzzy_extended,100.0,EYEPOINT PHARMACEUTICALS INC,EYPT,0001314102,90542
spectranetics corporation,024853,fuzzy_extended,100.0,SPECTRANETICS CORP,SPNC,0000789132,77271
olympus corporation of the americas,011151,fuzzy_extended,100.0,GROUP INC (THE),THEG,,80603
candela corporation,012390,fuzzy_extended,100.0,CANDELA CORP,CLZR,0000793279,10371
"cvrx, inc",039127,fuzzy_extended,100.0,CVRX INC,CVRX,0001235912,21527
electrocore inc,033614,fuzzy_extended,100.0,ELECTROCORE INC,ECOR,0001560258,17877
labopharm inc,063128,fuzzy_extended,100.0,LABOPHARM INC,DDSSF,0001284519,91174
"stemline therapeutics, inc",171022,fuzzy_extended,100.0,STEMLINE THERAPEUTICS INC,STML,0001264587,13761
meda pharmaceuticals,064717,fuzzy_extended,92.6829268292683,INMED PHARMACEUTICALS INC,INM,0001728328,20149
sierra oncology llc - a gsk company,025129,fuzzy_extended,100.0,SIERRA ONCOLOGY,SRRA,0001290149,15507
novocure ltd,026123,fuzzy_extended,100.0,NOVOCURE LIMITED,NVCR,0001645113,15789
agc biologics s.p.a,001059,fuzzy_extended,100.0,A P S INC,APS.1,,58958
urogen pharma ltd,031061,fuzzy_extended,100.0,UROGEN PHARMA LTD,URGN,0001668243,16711
"zogenix, inc",179686,fuzzy_extended,100.0,ZOGENIX INC,ZGNX,0001375151,12413
"tandem diabetes care, inc",018899,fuzzy_extended,100.0,TANDEM DIABETES CARE INC,TNDM,0001438133,14325
"talphera, inc",185908,fuzzy_extended,100.0,TALPHERA INC,TLPH,0001427925,12573
taiwan liposome company,308989,fuzzy_extended,100.0,TAIWAN LIPOSOME CO LTD,TLC,0001722890,18262
"biolinerx, ltd",282715,fuzzy_extended,100.0,BIOLINERX LTD,BLRX,0001498403,12912
denali therapeutics inc,065861,fuzzy_extended,100.0,DENALI INC,3DNLI,0001046594,85542
"madrigal pharmaceuticals, inc",027716,fuzzy_extended,100.0,MADRIGAL PHARMACEUTICALS INC,MDGL,0001157601,91832
"orexigen therapeutics, inc",176861,fuzzy_extended,100.0,OREXIGEN THERAPEUTICS INC,OREXQ,0001382911,91965
forum pharmaceuticals inc,004856,fuzzy_extended,100.0,FORUM GROUP INC,FOUR.2,0000033939,37365
crinetics pharmaceuticals inc,028470,fuzzy_extended,92.6829268292683,RA PHARMACEUTICALS INC,RARX,0001481512,16398
technolas perfect vision gmbh,037669,fuzzy_extended,100.0,PERFECT CORP,PERF,0001899830,23498
"dicerna pharmaceuticals, inc., a novo nordisk company",019470,fuzzy_extended,100.0,DICERNA PHARMACEUTICALS INC,DRNA,0001399529,14426
glycomimetics incorporated,018878,fuzzy_extended,100.0,GLYCOMIMETICS INC,GLYC,0001253689,14431
la jolla pharmaceutical company,030281,fuzzy_extended,100.0,LA JOLLA PHARMACEUTICAL CO,LJPC,0000920465,80640
allakos inc,033721,fuzzy_extended,100.0,ALLAKOS INC,ALLK,0001564824,17948
"tasly pharmaceuticals, inc",028470,fuzzy_extended,92.6829268292683,RA PHARMACEUTICALS INC,RARX,0001481512,16398
facet biotech,182015,fuzzy_extended,100.0,FACET BIOTECH CORP,FACT.1,0001441848,92869
"kang stem biotech co., ltd",038722,fuzzy_extended,100.0,STEM INC,STEM,0001758766,19919
"mentor worldwide, llc",007250,fuzzy_extended,100.0,MENTOR CORP,MNT,0000064892,52792
cerus corporation,064327,fuzzy_extended,100.0,CERUS CORP,CERS,0001020214,84413
"loxo oncology, inc",021016,fuzzy_extended,100.0,LOXO ONCOLOGY INC,LOXO,0001581720,14871
"anika therapeutics, inc",028209,fuzzy_extended,100.0,ANIKA THERAPEUTICS INC,ANIK,0000898437,79150
conatus pharmaceuticals inc,018161,fuzzy_extended,100.0,CONATUS PHARMACEUTICALS INC,CNAT,,14046
"arog pharmaceuticals, inc",037495,fuzzy_extended,93.61702127659575,ARS PHARMACEUTICALS INC,SPRY,0001671858,20318
"therapeutics, inc",002903,fuzzy_extended,100.0,CHAD THERAPEUTICS INC,CHADQ,0000713492,22518
coopervision international limited (cvil),037612,fuzzy_extended,93.33333333333333,TH INTERNATIONAL LIMITED,THCH,0001877333,23427
"kura oncology, inc",026081,fuzzy_extended,100.0,KURA ONCOLOGY INC,KURA,0001422143,15847
the archer-daniels-midland company,001722,fuzzy_extended,100.0,ARCHER-DANIELS-MIDLAND CO,ADM,0000007084,10516
"cyclacel pharmaceuticals, inc",160809,fuzzy_extended,100.0,CYCLACEL PHARMACEUTICALS,CYCC,0001130166,90098
regenxbio inc,026146,fuzzy_extended,100.0,REGENXBIO INC,RGNX,0001590877,15658
"aegerion pharmaceuticals, inc",177313,fuzzy_extended,100.0,AEGERION PHARMACEUTICALS INC,AEGR,0001338042,12347
"krystal biotech, inc",032348,fuzzy_extended,100.0,KRYSTAL BIOTECH INC,KRYS,0001711279,16928
"toray industries, inc",010549,fuzzy_extended,92.3076923076923,THOR INDUSTRIES INC,THO,0000730263,76081
guidant corporation,031166,fuzzy_extended,100.0,GUIDANT CORP,GDT,0000929987,81126
"lisata therapeutics, inc",004632,fuzzy_extended,100.0,LISATA THERAPEUTICS INC,LSTA,0000320017,34666
"sight sciences, inc",039171,fuzzy_extended,100.0,SIGHT SCIENCES INC,SGHT,0001531177,21764
celularity incorporated,039277,fuzzy_extended,100.0,CELULARITY INC,CELU,0001752828,18840
agennix,238455,fuzzy_extended,100.0,AGENNIX AG,GPCBY,0001117629,90226
orthofix inc,028380,fuzzy_extended,100.0,ORTHOFIX MEDICAL INC,OFIX,0000884624,78756
transonic systems inc,025013,fuzzy_extended,100.0,PLC SYSTEMS INC,PLCSF,,77568
aurinia pharmaceuticals inc,117829,fuzzy_extended,100.0,AURINIA PHARMACEUTICALS INC,AUPH,0001600620,14924
exactech,062948,fuzzy_extended,100.0,EXACTECH INC,EXAC,0000913165,83503
lumiradx uk limited,037813,fuzzy_extended,100.0,LUMIRADX LTD,LMDXF,0001685428,21941
clinuvel pharmaceuticals limited,247881,fuzzy_extended,93.87755102040816,GW PHARMACEUTICALS LIMITED,GWPH,0001351288,13926
"galera therapeutics, inc",035768,fuzzy_extended,100.0,GALERA THERAPEUTICS INC,GRTX,0001563577,19072
biohaven therapeutics ltd,041622,fuzzy_extended,100.0,BIOHAVEN LTD,BHVN,0001935979,23395
"biomet orthopedics, llc",002230,fuzzy_extended,100.0,BIOMET INC,5938B,0000351346,18092
"regenexx, llc",023039,fuzzy_extended,93.33333333333333,REGENEX INC,3RGNXE,0000863187,76429
nuvation bio inc,038076,fuzzy_extended,100.0,NUVATION BIO INC,NUVB,0001811063,19606
"tetraphase pharmaceuticals, inc",017350,fuzzy_extended,100.0,TETRAPHASE PHARMACEUTICALS,TTPH,0001373707,13829
mundipharma research gmbh & co kg,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
"aragon pharmaceuticals, inc",028470,fuzzy_extended,92.6829268292683,RA PHARMACEUTICALS INC,RARX,0001481512,16398
pain therapeutics,038333,fuzzy_extended,94.11764705882354,GAIN THERAPEUTICS INC,GANX,0001819411,20796
kimberly-clark corporation,006435,fuzzy_extended,100.0,KIMBERLY-CLARK CORP,KMB,0000055785,17750
"taigen biotechnology co., ltd",012408,fuzzy_extended,92.3076923076923,IGENE BIOTECHNOLOGY INC,IGNE,0000793160,10512
"kartos therapeutics, inc",036328,fuzzy_extended,93.33333333333333,KEROS THERAPEUTICS INC,KROS,0001664710,19349
"immunogen, inc",017101,fuzzy_extended,100.0,IMMUNOGEN INC,IMGN,0000855654,75860
"revolution medicines, inc",036083,fuzzy_extended,100.0,REVOLUTION MEDICINES INC,RVMD,0001628171,19201
rti surgical,008918,fuzzy_extended,100.0,RTI INC,RTIIQ,0000081699,65446
rsp systems a/s,025013,fuzzy_extended,100.0,PLC SYSTEMS INC,PLCSF,,77568
geron corporation,063405,fuzzy_extended,100.0,GERON CORP,GERN,0000886744,83756
targacept inc,162958,fuzzy_extended,100.0,TARGACEPT INC,TRGT,,91184
"click therapeutics, inc",050266,fuzzy_extended,100.0,CLICK HOLDINGS LTD,CLIK,0002020027,25717
"bioverativ, a sanofi company",101204,fuzzy_extended,100.0,SANOFI,SNY,0001121404,89475
"g1 therapeutics, inc",031294,fuzzy_extended,100.0,G1 THERAPEUTICS INC,GTHX,0001560241,16705
trevena inc,018925,fuzzy_extended,100.0,TREVENA INC,TRVN,0001429560,14442
"biohaven pharmaceuticals, inc",041622,fuzzy_extended,100.0,BIOHAVEN LTD,BHVN,0001935979,23395
bellicum pharmaceuticals,022258,fuzzy_extended,100.0,BELLICUM PHARMACEUTICALS INC,BLCM,0001358403,15125
"sirion therapeutics, inc",062632,fuzzy_extended,93.33333333333333,SIRNA THERAPEUTICS INC,RNAI.1,0000892112,83412
research insight llc,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
immunocore ltd,037812,fuzzy_extended,100.0,IMMUNOCORE HOLDINGS PLC,IMCR,0001671927,20604
"arbor pharmaceuticals, inc",013365,fuzzy_extended,93.87755102040816,BARR PHARMACEUTICALS INC,BRL,0000010081,11415
ampio pharmaceuticals. inc,184465,fuzzy_extended,100.0,AMPIO PHARMACEUTICALS INC,AMPE,0001411906,12789
"target pharmasolutions, inc",003813,fuzzy_extended,100.0,TARGET CORP,TGT,0000027419,49154
"juno therapeutics, inc., a bristol-myers squibb company",022230,fuzzy_extended,100.0,JUNO THERAPEUTICS INC,JUNO,0001594864,15134
pulmatrix inc,024506,fuzzy_extended,100.0,PULMATRIX INC,PULM,0001574235,14551
mabxience research s.l,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
suven life sciences limited,006721,fuzzy_extended,100.0,LIFE SCIENCES INC,LFSCQ,0000059401,49526
neurobo pharmaceuticals inc,028470,fuzzy_extended,92.6829268292683,RA PHARMACEUTICALS INC,RARX,0001481512,16398
mati therapeutics inc,160770,fuzzy_extended,95.45454545454545,MIRATI THERAPEUTICS INC,MRTX,0001576263,14054
sofar s.p.a,001059,fuzzy_extended,100.0,A P S INC,APS.1,,58958
"spark therapeutics, inc",022709,fuzzy_extended,100.0,SPARK THERAPEUTICS INC,ONCE,0001609351,15183
ascendis pharma a/s,022604,fuzzy_extended,97.29729729729729,ASCENDIS PHARMA AS,ASND,0001612042,15171
hal allergy,005398,fuzzy_extended,100.0,HAL INC,9048B,,57832
"annexon, inc",036768,fuzzy_extended,100.0,ANNEXON INC,ANNX,0001528115,19544
imunon,002990,fuzzy_extended,100.0,IMUNON INC,IMNN,0000749647,88208
"nema research, inc",009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
morphic medical inc,035280,fuzzy_extended,100.0,MORPHIC HOLDING INC,MORF,0001679363,18779
globus medical inc,171002,fuzzy_extended,100.0,GLOBUS MEDICAL INC,GMED,0001237831,13543
avita medical,253355,fuzzy_extended,100.0,AVITA MEDICAL INC,RCEL,0001762303,19022
myrexis inc,183101,fuzzy_extended,100.0,MYREXIS INC,MYRX,0001459450,92941
"afferent pharmaceuticals, inc., a subsidiary of merck & co., inc. (rahway, new jersey usa)",007257,fuzzy_extended,100.0,MERCK & CO,MRK,0000310158,22752
"enzon pharmaceuticals, inc",004409,fuzzy_extended,100.0,ENZON PHARMACEUTICALS INC,ENZN,0000727510,33137
aligos therapeutics,037084,fuzzy_extended,100.0,ALIGOS THERAPEUTICS INC,ALGS,0001799448,19944
fresenius medical care north america,007206,fuzzy_extended,100.0,MEDICAL CARE AMERICA,MRX.1,0000890207,77896
bioxcel therapeutics inc,032941,fuzzy_extended,100.0,BIOXCEL THERAPEUTICS INC,BTAI,0001720893,17349
"ns pharma, inc",014221,fuzzy_extended,100.0,NS GROUP INC,NSS.1,0000745026,75262
wave life sciences ltd,026340,fuzzy_extended,100.0,WAVE LIFE SCIENCES LTD,WVE,0001631574,15857
"mast therapeutics, inc",063790,fuzzy_extended,100.0,MAST THERAPEUTICS,MSTX.1,,90101
inari medical,036236,fuzzy_extended,100.0,INARI MEDICAL INC,NARI,0001531048,19358
medtronic surgical technologies,022264,fuzzy_extended,100.0,SURGICAL TECHNOLOGIES INC,SGTI.,,76174
neuroderm ltd,021818,fuzzy_extended,100.0,NEURODERM LTD,NDRM,0001598696,15074
mateon therapeutics,028795,fuzzy_extended,100.0,MATEON THERAPEUTICS INC -OLD,MATN.1,,79516
"clovis oncology, inc",196055,fuzzy_extended,100.0,CLOVIS ONCOLOGY INC,CLVSQ,0001466301,13107
"pulse biosciences, inc",027252,fuzzy_extended,100.0,PULSE BIOSCIENCES INC,PLSE,0001625101,16066
"cogent biosciences, inc",036949,fuzzy_extended,100.0,COGENT BIOSCIENCES INC,COGT,0001622229,17372
"travere therapeutics, inc",016848,fuzzy_extended,100.0,TRAVERE THERAPEUTICS INC,TVTX,0001438533,14440
"medivation, inc",164266,fuzzy_extended,100.0,MEDIVATION INC,MDVN,0001011835,91141
janssen-cilag s.p.a,001059,fuzzy_extended,100.0,A P S INC,APS.1,,58958
"phathom pharmaceuticals, inc",028470,fuzzy_extended,92.6829268292683,RA PHARMACEUTICALS INC,RARX,0001481512,16398
"iovance biotherapeutics, inc",180057,fuzzy_extended,100.0,IOVANCE BIOTHERAPEUTICS INC,IOVA,0001425205,15222
mediwound ltd,019988,fuzzy_extended,100.0,MEDIWOUND LTD,MDWD,0001593984,14546
vericel corporation,064334,fuzzy_extended,100.0,VERICEL CORP,VCEL,0000887359,84511
elutia inc,036985,fuzzy_extended,100.0,ELUTIA INC,ELUT,0001708527,19947
volcano corporation,174118,fuzzy_extended,100.0,VOLCANO CORP,VOLC,0001354217,91371
"clearside biomedical, inc",026798,fuzzy_extended,100.0,CLEARSIDE BIOMEDICAL INC,CLSD,0001539029,16090
neuren pharmaceuticals limited,247881,fuzzy_extended,93.87755102040816,GW PHARMACEUTICALS LIMITED,GWPH,0001351288,13926
caredx,179834,fuzzy_extended,100.0,CAREDX INC,CDNA,0001217234,14797
bioventus llc,027644,fuzzy_extended,100.0,BIOVENTUS INC,BVS,0001665988,20581
sigma-tau i.f.r. s.p.a,001059,fuzzy_extended,100.0,A P S INC,APS.1,,58958
"fujifilm medical systems usa, inc",025013,fuzzy_extended,100.0,PLC SYSTEMS INC,PLCSF,,77568
corindus inc,021520,fuzzy_extended,100.0,CORINDUS VASCULAR ROBOTICS,CVRS,0001528557,15344
"mesoblast, ltd",271607,fuzzy_extended,100.0,MESOBLAST LTD,MESO,0001345099,15848
tabula rasa healthcare,026788,fuzzy_extended,100.0,TABULA RASA HEALTHCARE INC,TRHC,0001651561,16308
pt. prodia stem cell indonesia,038722,fuzzy_extended,100.0,STEM INC,STEM,0001758766,19919
verona pharma plc,284453,fuzzy_extended,100.0,VERONA PHARMA PLC,VRNA,0001657312,16684
life molecular imaging sa,006719,fuzzy_extended,100.0,LIFE IMAGING CORP,LIFQC,0001105538,49462
acutus medical,036757,fuzzy_extended,100.0,ACUTUS MEDICAL INC,AFIB,0001522860,19619
"kadmon, a sanofi company",101204,fuzzy_extended,100.0,SANOFI,SNY,0001121404,89475
agouron pharmaceuticals,013308,fuzzy_extended,100.0,AGOURON PHARMACEUTICALS INC,AGPH,0000811210,11192
"kalvista pharmaceuticals, ltd",029251,fuzzy_extended,100.0,KALVISTA PHARMACEUTICALS,KALV,0001348911,15285
apnimed,001658,fuzzy_extended,92.3076923076923,ANIMED INC,3VTESE,0000773936,21398
optinose us inc,032451,fuzzy_extended,100.0,OPTINOSE INC,OPTN,0001494650,16992
"akili interactive labs, inc",038945,fuzzy_extended,100.0,AKILI INC,AKLI,0001850266,21534
"synvista therapeutics, inc",024648,fuzzy_extended,100.0,SYNVISTA THERAPEUTICS INC,SYNI,0000878903,77086
frontier biotechnologies inc,004914,fuzzy_extended,100.0,FRONTIER HOLDINGS INC,FA.1,0000701259,40387
reckitt benckiser llc,065920,fuzzy_extended,100.0,BENCKISER NV,BNV.,0001048131,85632
"dynasplint systems, inc",025013,fuzzy_extended,100.0,PLC SYSTEMS INC,PLCSF,,77568
"catalyst pharmaceuticals, inc",175966,fuzzy_extended,100.0,CATALYST PHARMACEUTICALS INC,CPRX,0001369568,91606
"armata pharmaceuticals, inc",332115,fuzzy_extended,100.0,ARMATA PHARMACEUTICALS INC,ARMP,0000921114,80577
kyowa kirin pharmaceutical development ltd,018729,fuzzy_extended,100.0,KIRIN HOLDINGS CO LTD,KNBWY,0000800901,47897
"sprout pharmaceuticals, inc",028470,fuzzy_extended,92.6829268292683,RA PHARMACEUTICALS INC,RARX,0001481512,16398
united pharmaceuticals,010848,fuzzy_extended,95.45454545454545,UNIMED PHARMACEUTICALS INC,UMED.,0000100759,78116
pulmonx corporation,036260,fuzzy_extended,100.0,PULMONX CORP,LUNG,0001127537,19979
"gen-probe, incorporated",014186,fuzzy_extended,100.0,GEN-PROBE INC,GPRO.2,0000820237,89502
"oramed, ltd",170450,fuzzy_extended,100.0,ORAMED PHARMACEUTICALS INC,ORMP,0001176309,13798
enzymotec,018609,fuzzy_extended,100.0,ENZYMOTEC LTD,ENZY,0001578809,14157
"mei pharma, inc",157865,fuzzy_extended,100.0,MEI PHARMA INC,MEIP,0001262104,89935
"sirtris, a gsk company",005180,fuzzy_extended,100.0,GSK PLC,GSK,0001131399,75064
celyad oncology sa,315639,fuzzy_extended,100.0,CELYAD ONCOLOGY SA,CYADY,0001637890,15419
"cidara therapeutics inc., a subsidiary of merck & co., inc. (rahway, new jersey usa)",007257,fuzzy_extended,100.0,MERCK & CO,MRK,0000310158,22752
atos medical ab,022308,fuzzy_extended,95.65217391304348,ATS MEDICAL INC,ATSI,0000824068,76367
"protagonist therapeutics, inc",027670,fuzzy_extended,100.0,PROTAGONIST THERAPEUTICS INC,PTGX,0001377121,16263
"arcturus therapeutics, inc",012873,fuzzy_extended,100.0,ARCTURUS INC,5221B,0001126252,10936
"idera pharmaceuticals, inc",024908,fuzzy_extended,93.87755102040816,DURA PHARMACEUTICALS INC,DURA.1,0000882098,77325
tiziana life sciences ltd,240066,fuzzy_extended,100.0,TIZIANA LIFE SCIENCES LTD,TLSA,0001723069,22261
"shanghai chia tai tianqing pharmaceutical technology development co., ltd",010377,fuzzy_extended,100.0,TECHNOLOGY DEVELOPMENT CORP,TDCXE,0000770719,92364
noven therapeutics,015803,fuzzy_extended,92.3076923076923,NOVELION THERAPEUTICS INC,NVLNF,0000827809,78688
usmari research & innovation centre,009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
meril life sciences pvt. ltd,006721,fuzzy_extended,100.0,LIFE SCIENCES INC,LFSCQ,0000059401,49526
"scilex pharmaceuticals, inc",037707,fuzzy_extended,100.0,SCILEX HOLDING CO,SCLX,0001820190,20884
phasebio pharmaceuticals inc,034194,fuzzy_extended,93.33333333333333,PHASEBIO PHARMACEUTIC,PHASQ,0001169245,18210
"eyegate pharmaceuticals, inc",028470,fuzzy_extended,92.6829268292683,RA PHARMACEUTICALS INC,RARX,0001481512,16398
"the center for applied health sciences, llc",011151,fuzzy_extended,100.0,GROUP INC (THE),THEG,,80603
"alcon, a novartis company",101310,fuzzy_extended,100.0,NOVARTIS AG,NVS,0001114448,88233
alumis inc,045447,fuzzy_extended,100.0,ALUMIS INC,ALMS,0001847367,25205
"human genome sciences inc., a gsk company",029312,fuzzy_extended,100.0,HUMAN GENOME SCIENCES INC,HGSI,0000901219,79977
"rose research center, llc",009071,fuzzy_extended,100.0,RESEARCH INC,RESRQ,0000216983,66545
tempus ai,045462,fuzzy_extended,100.0,TEMPUS AI INC,TEM,0001717115,25142
"curis, inc",138341,fuzzy_extended,100.0,CURIS INC,CRIS,0001108205,88511
"national vaccine and serum institute, china",013649,fuzzy_extended,100.0,NATIONAL HOLDINGS CORP,NHLD,0001023844,11441
"inspire medical systems, inc",025013,fuzzy_extended,100.0,PLC SYSTEMS INC,PLCSF,,77568
"si-bone, inc",034193,fuzzy_extended,100.0,SI-BONE INC,SIBN,0001459839,18212
"illumina, inc",138205,fuzzy_extended,100.0,ILLUMINA INC,ILMN,0001110803,88446
"achaogen, inc",019718,fuzzy_extended,100.0,ACHAOGEN INC,AKAOQ,0001301501,14530
"cougar biotechnology, inc",176663,fuzzy_extended,100.0,COUGAR BIOTECHNOLOGY INC,CGRB,0001335102,92459
vantia ltd,125863,fuzzy_extended,92.3076923076923,VANTIVA SA,TCLRY,0001080259,87446
