sponsor_norm,gvkey,map_source,map_score,compustat_conm,compustat_tic,cik,permno
omrix biopharmaceuticals,166450,resolved,100.0,OMRIX BIOPHARMACEUTICALS,OMRI,0001349426,91178
nivalis therapeutics,023986,resolved,100.0,NIVALIS THERAPEUTICS INC,NVLS,,15432
on target laboratories,039481,resolved,100.0,ON HOLDING AG,ONON,0001858985,22077
portola pharmaceuticals,017931,resolved,100.0,PORTOLA PHARMACEUTICALS INC,PTLA,0001269021,13940
opexa therapeutics,125531,resolved,100.0,OPEXA THERAPEUTICS INC,OPXA,,91471
progenics pharmaceuticals,065872,resolved,100.0,PROGENICS PHARMACEUTICAL INC,PGNX,0000835887,85571
progen pharmaceuticals,212639,resolved,100.0,PROGEN PHARMACEUTICALS LTD,PGLA.1,,85494
principia biopharma a sanofi,034015,resolved,100.0,PRINCIPIA BIOPHARMA,PRNB,0001510487,18126
praxis precision medicines,037187,resolved,100.0,PRAXIS PRECIS MEDI INC,PRAX,0001689548,19986
navidea biopharmaceuticals,025924,resolved,100.0,NAVIDEA BIOPHARMACEUTICALS,NAVB,0000810509,78066
poniard pharmaceuticals,014622,resolved,100.0,PONIARD PHARMACEUTICALS INC,PARD,0000755806,12063
polypid,021967,resolved,100.0,POLYPID LTD,PYPD,0001611842,19487
pliant therapeutics,036464,resolved,100.0,PLIANT THERAPEUTICS INC,PLRX,0001746473,19485
phathom pharmaceuticals,035728,resolved,100.0,PHATHOM PHARMA INC,PHAT,0001783183,19017
pharmasset,174507,resolved,100.0,PHARMASSET INC,VRUS.1,0001301081,91971
pharmacyclics,061448,resolved,100.0,PHARMACYCLICS INC,PCYC,0000949699,82513
pfizer,008530,resolved,100.0,PFIZER INC,PFE,0000078003,21936
pfenex,020798,resolved,100.0,PFENEX INC,PFNX,0001478121,14774
pepgen,041225,resolved,100.0,PEPGEN INC,PEPG,0001835597,23117
pdl biopharma,024878,resolved,100.0,PDL BIOPHARMA INC,PDLI,0000882104,77292
paxmedica,036789,resolved,100.0,PAXMEDICA INC,PXMD,0001811623,23269
pardes biosciences,037907,resolved,100.0,PARDES BIOSCIENCES INC,PRDS,0001822711,20596
opko health,061490,resolved,100.0,OPKO HEALTH INC,OPK,0000944809,82567
opthea,211559,resolved,100.0,OPTHEA LTD,OPT,0001815620,19982
optinose us,032451,resolved,100.0,OPTINOSE INC,OPTN,0001494650,16992
oragenics,154605,resolved,100.0,ORAGENICS INC,OGEN,0001174940,90170
oramed,170450,resolved,100.0,ORAMED PHARMACEUTICALS INC,ORMP,0001176309,13798
orexigen therapeutics,176861,resolved,100.0,OREXIGEN THERAPEUTICS INC,OREXQ,0001382911,91965
oncolytics biotech,126122,resolved,100.0,ONCOLYTICS BIOTECH INC,ONCY,0001129928,89175
organon and,038821,resolved,100.0,ORGANON & CO,OGN,0001821825,21124
osi pharmaceuticals,012180,resolved,100.0,OSI PHARMACEUTICALS INC,OSIP,0000729922,10143
