lead_sponsor_name,orig_conm,drop_sic,n_trials
G Medical Innovations Ltd.,G MEDICAL INNOVATIONS HLDGS,3841,3
Xtant Medical,XTANT MEDICAL HOLDINGS INC,3841,3
"Star Scientific, Inc",STAR HOLDINGS,6519,3
Prism Pharmaceuticals,PRISM GROUP INC,7370,3
AEYE Health Inc,AEYE INC,3714,3
Harbinger Health,HARBINGER CORP,7370,3
Gateway Health Alliance,GATEWAY INC,3571,3
Swedish Match AB,SWEDISH MATCH AB,2111,3
"Global Stem Cell Center, Baghdad",STEM INC,7373,3
"Respironics, California, Inc.",RESPIRONICS INC,3842,3
Emerald Health Pharmaceuticals,EMERALD HOLDING INC,7389,3
R3 Stem Cell,STEM INC,7373,3
"22nd Century Group, Inc.",22ND CENTURY GROUP INC,2111,3
Guided Therapeutics,GUIDED THERAPEUTICS INC,3845,3
Talkspace,TALKSPACE INC,8000,3
Stem Cell Therapeutics Corp.,STEM INC,7373,3
EverEx Inc.,EVEREX SYSTEMS INC,3571,3
Swiss Footcare Laboratories - Poderm Professional,PROFESSIONAL HOLDING CORP,6021,3
"Pear Therapeutics, Inc.",PEAR THERAPEUTICS INC,8000,3
"Q Therapeutics, Inc.",CHAD THERAPEUTICS INC,3842,2
"Twin Star Medical, Inc.",STAR HOLDINGS,6519,2
Univar BV,UNIVAR CORP,5160,2
Bio-Rad Laboratories,BIO-RAD LABORATORIES INC,3826,2
ProCore Ltd.,PROCORE TECHNOLGY INC,7372,2
Pulmonx International Sàrl,PULMONX CORP,3841,2
Midas Pharma GmbH,MIDAS INC,5010,2
National Services for Health Improvement Ltd,NATIONAL HOLDINGS CORP,6200,2
Blue Earth Therapeutics Ltd,BLUE EARTH INC,4991,2
"BioSig Technologies, Inc.",BIOSIG TECHNOLOGIES INC,3845,2
Nanovibronix,NANOVIBRONIX INC,3842,2
"ATI Holdings, LLC",ATI INC,5140,2
"4C Medical Technologies, Inc.",BIOJECT MEDICAL TECHNOLOGIES,3841,2
Semler Scientific,SEMLER SCIENTIFIC INC,3845,2
Molekule,MOLEKULE GROUP INC,3564,2
ZS Associates,AG ASSOCIATES INC,3559,2
Blue Lake Biotechnology Inc.,BLUE HOLDINGS INC,2300,2
NMT Medical,NMT MEDICAL INC,3841,2
"ROM Technologies, INC",RCM TECHNOLOGIES INC,7363,2
"SenoRx, Inc.",SENORX INC,3841,2
"RTM Vital Signs, LLC",VITAL SIGNS INC,3841,2
NEC Bio B.V,NEC CORP,3570,2
AIQ Solutions,ASI SOLUTIONS INC,7361,2
Blue Blood Biotech Corp.,BLUE HOLDINGS INC,2300,2
Boston Scientific Japan K.K.,BOSTON SCIENTIFIC CORP,3841,2
"PAQ Therapeutics, Inc.",PEAR THERAPEUTICS INC,8000,2
"Presidio Medical, Inc",PRESIDIO INC,5045,2
"Nexgen Pharma, Inc",NEXGEN INC,3674,2
Aleris Obesity,ALERIS CORP,3341,2
Nuvectra,NUVECTRA CORP,3841,2
Aspen Global Incorporated,ASPEN GROUP INC,8200,2
Asensus Surgical,ASENSUS SURGICAL INC,3841,2
Ascendis Pharma Oncology Division A/S,ONCOLOGY PHARMA INC,7372,2
Pearson/Clinical Assessment,PEARSON PLC,2731,2
Asahi Kasei Pharma America Corporation,ASAHI/AMERICA INC,3081,2
Aptorum International Limited,APTORUM GROUP LIMITED,3829,2
Allegro NV/SA,ALLEGRO BIODIESEL CORP,2860,2
"Orchestra BioMed, Inc",ORCHESTRA BIOMED HOLDING INC,3841,2
PTS International Inc.,FTS INTERNATIONAL INC,1389,2
"Vivani Medical, Inc",VIVANI MEDICAL INC,3845,2
Origin Inc.,DIGITAL ORIGIN INC,7372,2
Orion Biotechnology Polska Sp. z o.o.,ORION SA,2890,2
"Alpine Immune Sciences Inc, A Subsidiary of Vertex",VERTEX INC,7372,2
Viewray Inc.,VIEWRAY INC,3845,2
Orthovita d/b/a Stryker,ORTHOVITA INC,3841,2
Vital Signs Solutions Ltd,VITAL SIGNS INC,3841,2
"Restoration Robotics, Inc.",RESTORATION ROBOTIC INC,3845,2
Rostrum Medical Innovations Inc.,MEDICAL INNOVATIONS INC,8082,2
"Perle Bioscience, Inc.",PURE BIOSCIENCE INC,2890,2
WW International Inc,WW INTERNATIONAL INC,7200,2
"Noah Tech, Corp.",NOAH HOLDINGS LIMITED,6282,2
Prenetics Global,PRENETICS GLOBAL LTD,3826,2
"Acuity Polymers, Inc.",ACUITY INC,3640,2
Adom Advanced Optical Technologies Ltd.,GT ADVANCED TECHNOLOGIES INC,3674,2
PAVmed Inc.,PAVMED INC,3841,2
Noah Medical,NOAH HOLDINGS LIMITED,6282,2
Plexus Worldwide,PLEXUS CORP,3672,2
Beauty Health,BEAUTY HEALTH CO (THE),3841,2
Beam,BEAM INC,2080,2
Remedy,REMEDY CORP,7372,2
Atlas Molecular Pharma,ATLAS CORP,4412,2
Beachbody,BEACHBODY CO INC (THE),5960,2
Bausch & Lomb GmbH,BAUSCH & LOMB HLDGS  -REDH,3851,2
Nova Mentis Life Science Corp,NOVA LTD,3827,2
"Remedy Plan, Inc.",REMEDY CORP,7372,2
BRC Operations Pty. Ltd.,BRC HOLDINGS INC,7370,2
Avant Immunotherapeutics,AVANT CORP,7372,2
NovaMed Pharmaceuticals Inc.,NOVAMED INC,8090,2
Vasogen,VASOGEN INC,3841,2
"Building Block Nutritionals, LLC",BLOCK INC,7372,2
Sudimplant SAS - Groupe TBR,GROUPE AB SA,7812,2
"CAO Group, Inc.",NCO GROUP INC,7320,2
CBA Research,RESEARCH INC,3567,2
Intelligent Bio Solutions Inc.,INTELLIGENT GROUP LTD,8742,2
Inverness Medical Innovations,MEDICAL INNOVATIONS INC,8082,2
"Invuity, Inc.",INVUITY INC,3841,2
Teladoc Health,TELADOC HEALTH INC,8011,2
"Jenny Craig, Inc.",CRAIG (JENNY) INC,7200,2
De Motu Cordis,CORDIS CORP,3841,2
Smith & Nephew Orthopaedics (Beijing) Limited,SMITH & NEPHEW PLC,3842,2
Kellogg Company,WK KELLOGG CO,2040,2
Danone Specialized Nutrition (M) Sdn Bhd,DANONE SA,2000,2
Tenon Medical,TENON MEDICAL INC,3841,2
Endra Lifesciences,ENDRA LIFE SCIENCES INC,3845,2
Danone Early Life Nutrition Brazil,DANONE SA,2000,2
"LKC Technologies, Inc.",QLIK TECHNOLOGIES INC,7372,2
The Boeing Company,BOEING CO,3721,2
The Coca-Cola Company,COCA-COLA CO,2080,2
Leaf Vertical Inc.,LEAF GROUP LTD,7374,2
"Lexent Bio, Inc.",LEXENT INC,7385,2
"Liaoning Medical Diagnosis and Treatment Technology Research and Development Co., Ltd.",TECHNOLOGY DEVELOPMENT CORP,3825,2
"Covidien, GI Solutions",COVIDIEN PLC,3841,2
The Dial Corporation,DIAL CORPORATION,2840,2
"EndoChoice Innovation Center, Ltd.",ENDOCHOICE HOLDINGS INC,3841,2
Solventum Orthodontics Corporation,SOLVENTUM CORP,3841,2
Lorillard Tobacco Company,LORILLARD INC,2111,2
Hummingbird Diagnostics,HUMMINGBIRD LTD,7372,2
Stryker Spine,STRYKER CORP,3841,2
GenMark Diagnostics,GENMARK DIAGNOSTICS INC,3841,2
Switch Health Solutions Inc.,SWITCH INC,7370,2
Gaia Medical Institute,GAIA INC,7812,2
HealthWatch Ltd.,HEALTHWATCH INC,7389,2
"HeartBeam, Inc.",HEARTBEAM INC,3841,2
Gaia Herbs Inc.,GAIA INC,7812,2
Histogenics Corporation,HISTOGENICS CORP,3842,2
Fresenius Medical Care Korea,FRESENIUS MEDICAL CARE AG,8090,2
"Freedom Laser, Inc.",FREEDOM HOLDING CORP,6211,2
"Engage Therapeutics, Inc.",ENGAGE INC,7389,2
"Freedom Laser Therapy, Inc.",FREEDOM HOLDING CORP,6211,2
FoxHollow Technologies,FOXHOLLOW TECHNOLOGIES INC,3841,2
IMS HEALTH GmbH & Co. OHG,IMS HEALTH HOLDINGS INC,7374,2
"IR Technology, LLC",SIRF TECHNOLOGY HOLDINGS INC,3674,2
"ITF Research Pharma, S.L.U.",RESEARCH INC,3567,2
"Fortis Therapeutics, Inc.",FORTIS INC,4911,2
Sonic Incytes,SONIC CORP,5812,2
Immunicon,IMMUNICON CORP/DE,3826,2
Indigo Diabetes NV,INDIGO NV,3555,2
1QB Information Technologies Inc.,INFORMATION HOLDINGS INC,2731,2
Danone Specialized Nutrition,DANONE SA,2000,2
Topical Remedy,REMEDY CORP,7372,2
Catheter Precision. Inc.,CATHETER PRECISION INC,3841,2
Codexis Inc.,CODEXIS INC,2860,2
CONMED Corporation,CONMED CORP,3845,2
"MDI Therapeutics, Inc.",MDI INC,3861,2
Siemens Medical Solutions USA - CSG,SIEMENS AG,3600,2
Siemens Healthcare QT,SIEMENS AG,3600,2
Medtronic Hellas Medical Devices ΑEE,MEDTRONIC PLC,3845,2
CardioDynamics,CARDIODYNAMICS INTL CORP,3845,2
"Coherent Biopharma (Suzhou) Co., Ltd.",COHERENT INC,3826,2
Siemens Healthcare Diagnostics Inc,SIEMENS AG,3600,2
"Third Harmonic Bio, Inc.",HARMONIC INC,3663,2
Tivic Health Systems,TIVIC HEALTH SYSTEMS INC,3845,2
Luxottica Group S.p.A.,LUXOTTICA GROUP SPA,3851,2
MedDerm Associates,AG ASSOCIATES INC,3559,2
Maxim Pharmaceuticals,MAXIM PHARMACEUTICALS INC,2833,2
"Thermo Fisher Scientific, Inc",THERMO FISHER SCIENTIFIC INC,3829,2
"Medtronic Xomed, Inc.",MEDTRONIC PLC,3845,2
Chase Therapeutics Corporation,CHASE CORP,3640,2
Thomas Advanced Medical LLC,THOMAS GROUP INC,8742,2
Sensus,SENSUS HEALTHCARE INC,3841,1
"TKL Research, Inc.",RESEARCH INC,3567,1
Stem Cell Medicine Ltd.,STEM INC,7373,1
World Heart Corporation,WORLD HEART CORP,3845,1
"The West Clinic, Memphis",WEST CORP,7389,1
Speech Technology and Applied Research Corp.,TECHNOLOGY RESEARCH CORP,3613,1
"Westwood Institute for Anxiety Disorders, Inc",WESTWOOD GROUP INC,7948,1
Titan Spine,TITAN CORP,7373,1
Sophia Genetics SAS,SOPHIA GENETICS SA,7374,1
Westlake Therapeutics,WESTLAKE CORP,2860,1
"Titan Condoms, LLC",TITAN CORP,7373,1
"Remedy Robotics, Inc.",REMEDY CORP,7372,1
Tilray,TILRAY BRANDS INC,2833,1
TPM Medical Systems Ltd.,PLC SYSTEMS INC,3845,1
"Tianjin Ever Union Biotechnology Co., Ltd.",UNION CORP,7320,1
Vyant Bio,VYANT BIO INC,8071,1
Sensible Medical Innovations Ltd.,MEDICAL INNOVATIONS INC,8082,1
Stem Med Pte. Ltd.,STEM INC,7373,1
Yellow Jersey Therapeutics AG,YELLOW CORP,4213,1
Real Time Diagnostics Ventures INC,TIME INC,2721,1
iCo Therapeutics Inc.,ICO INC,3089,1
Surgalign Spine Technologies,SURGALIGN HOLDINGS INC,3842,1
eXRt Intelligent Healthcare,INTELLIGENT GROUP LTD,8742,1
"Surgical Innovation Associates, Inc.",AG ASSOCIATES INC,3559,1
RE.DOCTOR LLC,COMPANY DOCTOR,8093,1
R.A.W. - S.R.L.,W HOLDING CO INC,6022,1
Shamir Optical Industry Ltd,SHAMIR OPTICAL INDUSTRY LTD,3851,1
"Shaanxi Giant Biotechnology Co., Ltd",GIANT GROUP LTD,9995,1
Syneron Candela,CANDELA CORP,3845,1
"TrueVision Systems, Inc",TRUEVISION INC,3571,1
"Zynex Medical, Inc.",ZYNEX INC,3845,1
"Toshiba Medical Systems Corporation, Japan",TOSHIBA CORP,3570,1
Stryker GI Ltd.,STRYKER CORP,3841,1
"Toro Neurovascular, Inc.",TORO CO,3524,1
"Szabocsik and Associates, Inc.",AG ASSOCIATES INC,3559,1
ReDent Nova,NOVA LTD,3827,1
Stryker Australia Pty Ltd.,STRYKER CORP,3841,1
Strata Medical Innovations,MEDICAL INNOVATIONS INC,8082,1
Shanghai Geping Information Technology Company,INFORMATION HOLDINGS INC,2731,1
"ZIN Technologies, Inc.",ZING TECHNOLOGIES INC,3674,1
York Sound Inc,YORK GROUP INC,3990,1
"TSI, LLC",TSI CORP,8734,1
"TARIS Biomedical, Inc.",TALIS BIOMEDICAL CORP,3826,1
"TRex Bio, Inc.",TREX CO INC,2400,1
Vitamin Energy®,NV ENERGY INC,4931,1
"Tactile Systems Technology, Inc.",TACTILE SYSTEMS TECHNOLOGY,3841,1
"Santech, Inc",SANTECH HOLDINGS LTD -ADR,6282,1
Vector Y Therapeutics,VECTOR GROUP LTD,2111,1
Sirona Dental Systems GmbH,SIRONA DENTAL SYSTEMS INC,3843,1
"Sinclair Technologies, LLC",SINCLAIR INC,4833,1
"Silverchair Science & Communications, LLC",B COMMUNICATIONS LTD,4899,1
Siemens Medical Solutions,SIEMENS AG,3600,1
Rowan,ROWAN COMPANIES LTD,1381,1
Thermo Fisher Scientific Oy,THERMO FISHER SCIENTIFIC INC,3829,1
Signal Relief,SIGNAL CORP,6035,1
Vector Vitale LLC,VECTOR GROUP LTD,2111,1
Rowdy Energy,NV ENERGY INC,4931,1
"Signal House Co., Ltd.",SIGNAL CORP,6035,1
Unigene Laboratories Inc.,UNIGENE LABORATORIES INC,2833,1
Vascular Neurology of Southern California Inc.,SOUTHERN CO,4911,1
SFI Research,RESEARCH INC,3567,1
Sigma Tau Research Switzerland SA,SIGMA RESEARCH INC,3827,1
SGX Nova LLC,NOVA LTD,3827,1
Varian Medical Systems,VARIAN MEDICAL SYSTEMS INC,3845,1
Theragenics Corporation,THERAGENICS CORP,3825,1
"SK Telecom Americas, Inc.",SK TELECOM CO LTD,4812,1
The Hillshire Brands Company,HILLSHIRE BRANDS CO,2000,1
SPIRE Therapeutics Inc.,SPIRE INC,4924,1
The Learning Corp,LEARNING CO INC,7372,1
Valhalla Project Niagara,NIAGARA CORP,3317,1
Texas Plastic Surgery,PLASTIC SURGERY CO,8741,1
"Veracyte, Inc.",VERACYTE INC,8071,1
Siemens Healthcare A/S,SIEMENS AG,3600,1
Unilever Israel,UNILEVER PLC,2840,1
"Thomas Wright, MD",THOMAS GROUP INC,8742,1
The Perfect Series Sdn Bhd,PERFECT CORP,7372,1
"Research Center, LLC",LEGAL RESEARCH CENTER INC,8111,1
Target Health Inc.,TARGET CORP,5331,1
Resolution Blue Labs Inc,BLUE HOLDINGS INC,2300,1
Thomas Antalffy,THOMAS GROUP INC,8742,1
Target Tape,TARGET CORP,5331,1
Team Foods Colombia S.A.,TEAM INC,7600,1
Restore Medical Ltd,RESTORE MEDICAL INC,3842,1
Team Working Life Denmark,TEAM INC,7600,1
Seer Medical Pty Ltd,SEER INC,3826,1
Visionary Intelligence Ltd.,VISIONARY HOLDINGS INC,8200,1
Results Group LLC,NEWGEN RESULTS CORP,7389,1
"Solo Pace, Inc.",PACE HOLDINGS CORP,6770,1
Unilever SEAC,UNILEVER PLC,2840,1
"Vicor Technologies, Inc.",VICOR CORP,3679,1
Smith & Nephew Pte Ltd,SMITH & NEPHEW PLC,3842,1
Verity Pharmaceuticals Inc.,VERITY INC,7374,1
"Siemens Gamesa Renewable Energy Blades, S.A.",SIEMENS AG,3600,1
Riverside Pharmacueticals Corporation,RIVERSIDE GROUP INC,5211,1
R3 Medical Research,RESEARCH MEDICAL INC,3841,1
"1800 Contacts, Inc.",1-800 CONTACTS INC,5961,1
R&R Inc.,BLOCK H & R INC,7200,1
"Clarent Biopharma, Inc.",CLARENT CORP,7372,1
Danone North America,DANONE SA,2000,1
"Dalian Holley Kingkong Pharmaceutical Co., Ltd",HOLLEY INC,3714,1
"DHA Coffee Co., Ltd",COFFEE HOLDING CO INC,2090,1
Cyanotech Corporation,CYANOTECH CORP,2833,1
Core Scientific Creations Ltd.,CORE SCIENTIFIC INC,6199,1
Conmed Pharmaceutical & Bio-Medical Corporation,CONMED CORP,3845,1
Concha Inc.,VINA CONCHA Y TORO SA,5180,1
Concept Medicals BV,CONCEPT INC,3845,1
"Concentra AI, inc",CONCENTRA CORP,7372,1
ConMed Linvatec Beijing,CONMED CORP,3845,1
"Computer Technology Associates, Inc.",AG ASSOCIATES INC,3559,1
"Coherent Biopharma (Hefei) Co., Ltd.",COHERENT INC,3826,1
Cogna Technology Solutions LLC,TECHNOLOGY SOLUTIONS CO,7373,1
City Therapeutics,CITY HOLDING CO,6021,1
Danone Spain,DANONE SA,2000,1
Circadian Therapeutics Ltd,CIRCADIAN INC,3845,1
Circadian Technologies Ltd.,CIRCADIAN INC,3845,1
"Chesson Laboratory Associates, Inc",AG ASSOCIATES INC,3559,1
Certara,CERTARA INC,7372,1
Ceres Heilmittel AG,CERES INC,0100,1
"Celsius Therapeutics, Inc.",CELSIUS HOLDINGS INC,2086,1
"Cellex, Inc.",CELLEX BIOSCIENCES INC,3826,1
Cardinal Health,CARDINAL HEALTH INC,5122,1
Capri Medical Limited,CAPRI HOLDINGS LTD,3100,1
"Canon Medical Systems, USA",CANON INC,3861,1
Candela France,CANDELA CORP,3845,1
Cambridge Heart Inc.,CAMBRIDGE HEART INC,3845,1
"CORD, LLC",GLOBAL CORD BLOOD CORP,8090,1
Danone Nutricia SpA Società Benefit,DANONE SA,2000,1
Datascope Patient Monitoring,DATASCOPE CORP,3845,1
CHX Technologies Inc.,ICX TECHNOLOGIES INC,3826,1
"Everest Medicines (China) Co.,Ltd.",EVEREST GROUP LTD,6331,1
Genesis Limited,GENESIS WORLDWIDE INC-OLD,3540,1
Gene Signal SAS,SIGNAL CORP,6035,1
Gateway Pharmaceutical LLC,GATEWAY INC,3571,1
"Gateway Biotechnology, Inc.",GATEWAY INC,3571,1
Garmin International,GARMIN LTD,3812,1
GM Associates,AG ASSOCIATES INC,3559,1
GAIA BioMedicine Inc.,GAIA INC,7812,1
Fresenius Medical Care France,FRESENIUS MEDICAL CARE AG,8090,1
"Fresenius Kabi USA, LLC",FRESENIUS USA INC,3841,1
Freedom Meditech,FREEDOM HOLDING CORP,6211,1
Freedom For All Diagnostics,FREEDOM HOLDING CORP,6211,1
Focal Healthcare Inc.,FOCAL INC,3841,1
"Express Rx, Inc",EXPRESS INC,5600,1
"Everest Medicines (Beijing) Co., Ltd.",EVEREST GROUP LTD,6331,1
Diablo Eye Associates,AG ASSOCIATES INC,3559,1
"Everest Detection, Inc.",EVEREST GROUP LTD,6331,1
EndoChoice Inc.,ENDOCHOICE HOLDINGS INC,3841,1
"Encore Vision, Inc.",ENCORE GROUP INC,3690,1
Encore Medical Inc.,ENCORE MEDICAL CORP,3842,1
Emergent Product Development Seattle LLC,EMERGENT GROUP INC,5090,1
Embecta Corp.,EMBECTA CORP,3841,1
Elevance Health,ELEVANCE HEALTH INC,6324,1
"Electromed, Inc.",ELECTROMED INC,3845,1
Elbit Systems LTD,ELBIT LTD,3690,1
"Edwards (Shanghai) Lifesciences Medical Supplies Co., Ltd.",EDWARDS LIFESCIENCES CORP,3842,1
EP MedSystems,EP MEDSYSTEMS INC,3841,1
Dr. Noah Biotech Inc.,NOAH HOLDINGS LIMITED,6282,1
"Doma Biopharmaceutical（Suzhou）Co., Ltd.",DOMA HOLDINGS INC,6361,1
"CNS Pharmaceuticals, Inc.",CNS INC,3845,1
CFD Research Corporation,RESEARCH INC,3567,1
Quit Genius,GENIUS GROUP LTD,7372,1
Advanced Protein Technologies Corporation,GT ADVANCED TECHNOLOGIES INC,3674,1
Amarna Stem Cells BV,STEM INC,7373,1
Alpine Biotech LLC,ALPINE GROUP INC,3357,1
Alpha Republic GmbH,REPUBLIC CORP,6021,1
Alixer Nexgen Therapeutics Limited,NEXGEN INC,3674,1
Alfa Wassermann Tunisia,ALFA CORP,6331,1
Alfa Intes Industria Terapeutica Splendore s.r.l.,ALFA CORP,6331,1
Aleris Eye,ALERIS CORP,3341,1
"Alcon LenSx, Inc.",ALCON INC,3851,1
Alcamena Stem Cell Therapeutics,STEM INC,7373,1
Afon Technology,ON TECHNOLOGY CORP,7372,1
"Aetna, Inc.",AETNA INC,6324,1
Aesthetic Group,COLLAGEN AESTHETIC INC,3842,1
Aegis Medical Innovations,MEDICAL INNOVATIONS INC,8082,1
"Advanced Aesthetic Technologies, Inc",GT ADVANCED TECHNOLOGIES INC,3674,1
Amway Corp,AMWAY JAPAN LTD,5122,1
Adient Medical,ADIENT PLC,3714,1
"Acuity Medical International, Inc.",ACUITY INC,3640,1
"Acorn Cardiovascular, Inc.",AVECOR CARDIOVASCULAR INC,3841,1
Aclarion,ACLARION INC,8071,1
Academy for Educational Development,EDUCATIONAL DEVELOPMENT CORP,5190,1
AbleLink Smart Living Technologies,SMART TECHNOLOGIES INC,3577,1
"Ability Prosthetics and Orthotics, Inc.",ABILITY INC,3669,1
"ANSwers Neuroscience, Inc.",ANSWERS CORP,7372,1
AKL Research and Development,RESEARCH INC,3567,1
"ABO Holdings, Inc.",WABCO HOLDINGS INC,3711,1
4B Technologies Limited,BK TECHNOLOGIES CORP,3663,1
"22nd Century Limited, LLC",22ND CENTURY GROUP INC,2111,1
20/10 Perfect Vision,PERFECT CORP,7372,1
American International Biotechnology,AMERICAN INTERNATIONAL GROUP,6331,1
Analogic Corporation,ANALOGIC CORP,3825,1
Butterfly Network,BUTTERFLY NETWORK INC,3844,1
"Beijing Gene Key Life Technology Co., Ltd",KEY TECHNOLOGY INC,3550,1
Bruker Daltonics,BRUKER CORP,3826,1
Bone Biologics Corp,BONE BIOLOGICS CORP,3842,1
BnH Research,RESEARCH INC,3567,1
Bionano Genomics,BIONANO GENOMICS INC,3826,1
Biomet Nederland BV,BIOMET INC,3842,1
Biolase Inc,BIOLASE INC,3843,1
"Biocept, Inc.",BIOCEPT INC,8071,1
BioRestorative Therapies,BIORESTORATIVE THERAPIES INC,8090,1
BioMS Technology Corp.,IBIS TECHNOLOGY CORP,3674,1
"Big Blue Biotech, Inc.",BLUE HOLDINGS INC,2300,1
"Best Vascular, Inc.",BEST INC,4210,1
"Berry Genomics Co., Ltd.",BERRY CORP,1311,1
Bellamy's Organic Pty Ltd,ORGANIC INC,8742,1
Behavioral Health of the Palm Beaches,PALM INC,3575,1
Andover Eye Associates,AG ASSOCIATES INC,3559,1
Bark Technology LLP,BARK INC,5990,1
"BEYOND GENOMiX SA, AG, Ltd",BEYOND INC,5961,1
"BEIJING YUANBEN INFORMATION CONSULTING CO., LTD",INFORMATION HOLDINGS INC,2731,1
BE Technologies Inc,BE INC,7373,1
"Avon Products, Inc.",AVON PRODUCTS,2844,1
Aurora Cannabis Inc,AURORA CANNABIS INC,2833,1
Aura,AURA SYSTEMS INC,3690,1
Aspen USA Inc,ASPEN GROUP INC,8200,1
Aspen Neuroscience,ASPEN GROUP INC,8200,1
"Asia Stem Cell Regenerative Pharmaceutical Co., Ltd.",STEM INC,7373,1
Arlene Fink Associates,AG ASSOCIATES INC,3559,1
Andrew Kennedy,ANDREW CORP,3357,1
Andrew Gvozdanovic,ANDREW CORP,3357,1
"Genus Oncology, LLC",GENUS INC,3559,1
Global Research Solutions,RESEARCH SOLUTIONS INC,7389,1
Glucotrack,GLUCOTRACK INC,3841,1
National Enzyme Company,NATIONAL HOLDINGS CORP,6200,1
Nova Vita Laboratory,NOVA LTD,3827,1
Nova Therapeutics LLC,NOVA LTD,3827,1
Nova Laboratories Sdn Bhd,NOVA LTD,3827,1
Nova Immunotherapeutics Limited,NOVA LTD,3827,1
Nova Eye Medical Pty Ltd.,NOVA LTD,3827,1
Nova Argentia S.r.l.,NOVA LTD,3827,1
"Noah Rosenberg, MD",NOAH HOLDINGS LIMITED,6282,1
"Noah Pharmaceuticals, Inc.",NOAH HOLDINGS LIMITED,6282,1
NextGen Company Limited,NEXTGEN HEALTHCARE INC,7373,1
New View Optometric Center,VIEW INC,3211,1
NeuroOne Medical Technologies Corporation,NEUROONE MED TECHNOLOGIES CO,3841,1
"NeuroMetrix, Inc.",NEUROMETRIX INC,3841,1
National Healing Corporation,NATIONAL HOLDINGS CORP,6200,1
"Nanosphere, Inc.",NANOSPHERE INC,3841,1
Nucor,NUCOR CORP,3312,1
NEC Corporation,NEC CORP,3570,1
NATCO Pharma Ltd.,NATCO GROUP INC,3443,1
Move Up SAS,MOVE INC,6531,1
"Monsanto Company, LLC",MONSANTO CO,2870,1
Molex Ventures LLC,MOLEX INC,3678,1
Mitsukoshi Health and Welfare Foundation,FOUNDATION HEALTH CORP,6324,1
"Millennium Magnetic Technologies, LLC",MAGNETIC TECHNOLOGIES CORP,3679,1
"Milestone Scientific, Inc",MILESTONE SCIENTIFIC INC,3842,1
"Microbot Medical, INC",MICROBOT MEDICAL INC,3841,1
"Michael Wilson & Associates Health Care Consulting, LLC",AG ASSOCIATES INC,3559,1
"Metis Associates, Inc.",AG ASSOCIATES INC,3559,1
Meta Healthcare Ltd,META GROUP INC,8700,1
Medtronic Latin America,MEDTRONIC PLC,3845,1
Novamed Laboratories Pvt. Ltd.,NOVAMED INC,8090,1
Nucryst Pharmaceuticals,NUCRYST PHARMACEUTICALS CORP,3841,1
Green Signal Biopharma Private Limited,SIGNAL CORP,6035,1
Physio-Control,PHYSIO-CONTROL INTL CORP,3845,1
Quantum Imaging Limited,QUANTUM CORP,3572,1
"Qualigen Theraputics, Inc.",QUALIGEN THERAPEUTICS INC,6199,1
Qmed Consulting A/S,QMED INC,8090,1
Psychometrix Associates,AG ASSOCIATES INC,3559,1
Prof. Dr. Thomas Forst,THOMAS GROUP INC,8742,1
Procter & Gamble Beauty,PROCTER & GAMBLE CO,2840,1
ProSight,PROSIGHT GLOBAL INC,6331,1
Premier G Med Cardio Kft,PREMIER INC,8741,1
PreMD,PREMD INC,8071,1
Portage Biotech,PORTAGE BIOTECH INC,6199,1
Polski Bank Komorek Macierzystych JSC (PBKM),BANK HOLDINGS INC,6022,1
"Pinnacle Pharmaceuticals, Inc.",PINNACLE HOLDINGS INC,6798,1
Pinnacle Pain Medicine,PINNACLE HOLDINGS INC,6798,1
"Personalized Stem Cells, Inc.",STEM INC,7373,1
Nyxoah Inc.,NYXOAH S A,3841,1
Personalis Inc.,PERSONALIS INC,8071,1
"Palomar Medical Technologies, Inc.",PALOMAR HOLDINGS INC,6331,1
PT Novell Pharmaceutical Laboratories,NOVELL INC,7372,1
"PRD Therapeutics, Inc.",PEAR THERAPEUTICS INC,8000,1
"POC Medical Systems, Inc.",PLC SYSTEMS INC,3845,1
PG Medical Systems Ltd.,PLC SYSTEMS INC,3845,1
PDC*line Pharma SAS,LINE CORP,7370,1
"Osteotech, Inc",OSTEOTECH INC,3841,1
Orion Biotech Inc.,ORION SA,2890,1
"Optimal Mobility, Inc",OPTIMAL GROUP INC,7389,1
"Optical Imaging, Ltd.",OIS OPTICAL IMAGING SYSTEMS,3679,1
Opti'Mouv,OPTI INC,3674,1
OmniVision GmbH,OMNIVISION TECHNOLOGIES INC,3674,1
Medtronic France SAS,MEDTRONIC PLC,3845,1
Medtronic Comercial Ltda.,MEDTRONIC PLC,3845,1
Medstone International,MEDSTONE INTERNATIONAL INC,3845,1
Hong Kong Prospect Group Co. Limited,PROSPECT GROUP INC,4011,1
Inamed,INAMED CORP,3842,1
Igen BioLab SLU,IGEN INC,6794,1
Icarus Medical Innovations,MEDICAL INNOVATIONS INC,8082,1
"IMEIK Technology Development Co., Ltd.",TECHNOLOGY DEVELOPMENT CORP,3825,1
"IMAC Holdings, Inc.",IMAC HOLDINGS INC,8093,1
"IGI Technologies, Inc.",IRG TECHNOLOGIES INC,5045,1
ICU Medical Technologies S.L.,ICU MEDICAL INC,3841,1
"ICE Intelligent Healthcare Co., Ltd",INTELLIGENT GROUP LTD,8742,1
Hyperfine,HYPERFINE INC,3845,1
Hutchinson Technology Inc,HUTCHINSON TECHNOLOGY INC,3679,1
Humana Inc.,HUMANA INC,6324,1
Humana Co.Ltd.,HUMANA INC,6324,1
