lead_sponsor_name,orig_conm,drop_sic,n_trials
"Anika Therapeutics, Inc.",ANIKA THERAPEUTICS INC,3841,17
"Therapeutics, Inc.",CHAD THERAPEUTICS INC,3842,17
The Archer-Daniels-Midland Company,ARCHER-DANIELS-MIDLAND CO,2070,17
Orthofix Inc.,ORTHOFIX MEDICAL INC,3841,17
Cerus Corporation,CERUS CORP,3841,17
"Mentor Worldwide, LLC",MENTOR CORP,3842,17
"TaiGen Biotechnology Co., Ltd.",IGENE BIOTECHNOLOGY INC,2870,16
Kimberly-Clark Corporation,KIMBERLY-CLARK CORP,2670,16
RSP Systems A/S,PLC SYSTEMS INC,3845,16
"Click Therapeutics, Inc.",CLICK HOLDINGS LTD,7361,16
Avita Medical,AVITA MEDICAL INC,3841,15
Globus Medical Inc,GLOBUS MEDICAL INC,3841,15
"NS Pharma, Inc.",NS GROUP INC,3312,15
"Target PharmaSolutions, Inc.",TARGET CORP,5331,15
Fresenius Medical Care North America,MEDICAL CARE AMERICA,8093,15
Bioventus LLC,BIOVENTUS INC,3841,14
Corindus Inc.,CORINDUS VASCULAR ROBOTICS,3841,14
PT. Prodia Stem Cell Indonesia,STEM INC,7373,14
MediWound Ltd,MEDIWOUND LTD,2833,14
Volcano Corporation,VOLCANO CORP,3845,14
Tabula Rasa HealthCare,TABULA RASA HEALTHCARE INC,7389,14
Inari Medical,INARI MEDICAL INC,3841,14
"Pulse Biosciences, Inc.",PULSE BIOSCIENCES INC,3841,14
CareDx,CAREDX INC,8071,14
Acutus Medical,ACUTUS MEDICAL INC,3841,14
Reckitt Benckiser LLC,BENCKISER NV,2840,13
Tempus AI,TEMPUS AI INC,7370,13
"Akili Interactive Labs, Inc.",AKILI INC,3841,13
Pulmonx Corporation,PULMONX CORP,3841,13
Enzymotec,ENZYMOTEC LTD,2833,13
"Shanghai Chia Tai Tianqing Pharmaceutical Technology Development Co., Ltd.",TECHNOLOGY DEVELOPMENT CORP,3825,13
"Arcturus Therapeutics, Inc.",ARCTURUS INC,6770,13
"SI-BONE, Inc.",SI-BONE INC,3841,13
"Gen-Probe, Incorporated",GEN-PROBE INC,3841,13
"National Vaccine and Serum Institute, China",NATIONAL HOLDINGS CORP,6200,13
Intersect ENT,INTERSECT ENT INC,3841,12
"Castle Creek Biosciences, LLC.",CASTLE BIOSCIENCES INC,8071,12
